Code,idTree,Plot,SubPlot,FieldNbr,Genus,Species,spName,Family,PrefHabitat,Habitat,FW,SW,DW,LSWC,Posmo,Ptlp,mean_Pmidday,FvFm,LA,gmin,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,Position_Crown,Forest,CodeFTH,Measure,SLA,LT,CC,LDMC,RWC,Xutm,Yutm,DBH,TWI,Leaf area,Midrib VLA,2VLA,3VLA,MajVLA
1,145493,15,1,182,Iryanthera,hostmannii,Iryanthera_hostmannii,Myristicaceae,BF,BF,1.268,1.263,0.501,1.523,-1.13,-1.568,,0.786,45.231,1.235,12,4,10,4,Sup,Paracou,,,,,,,,,,,,49.55910417,0.311733524,1.732025812,3.895902389,5.939661725
2,147663,15,3,178,Gustavia,hexapetala,Gustavia_hexapetala,Lecythidaceae,TF,TF,1.293,1.32,0.464,1.842,-1.56,-1.911,,0.797,48.827,0.916,11,2,9,2,Sup,Paracou,,,,,,,,,,,,53.79393611,0.294204748,1.128749475,3.261022014,4.683976237
3,147783,15,3,298,Iryanthera,hostmannii,Iryanthera_hostmannii,Myristicaceae,BF,BF,0.877,0.874,0.349,1.503,-1.028,-1.486,,0.807,41.215,1.046,12,2,13,3,Sup,Paracou,,,,,,,,,,,,45.27519028,0.302325974,1.439870003,4.639536613,6.38173259
4,147625,15,3,140,Tachigali,melinonii,Tachigali_melinonii,Fabaceae,Generalist,TF,0.258,0.256,0.121,1.118,-1.51,-1.871,,0.84,9.776,3.368,33,5,23,4,Mid,Paracou,,,,,,,,,,,,10.77581944,0.546569777,2.538922392,4.256712641,7.34220481
5,148586,15,3,1103,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Sapotaceae,Generalist,TF,1.087,1.123,0.535,1.1,-2.403,-2.585,26.067,0.773,31.427,1.869,24,4,21,4,Sup,Paracou,,,,,,,,,,,,33.90810278,0.333429075,1.076097558,5.692870441,7.102397074
6,149072,15,4,369,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,TF,2.196,2.211,1.01,1.188,-1.328,-1.726,21.58,0.8,64.251,6.776,15,2,14,3,Sup,Paracou,,,,,,,,,,,,70.34390833,0.218959948,0.836178098,2.235224117,3.290362163
7,146131,15,1,824,Licania,membranacea,Licania_membranacea,Chrysobalanaceae,TF,TF,1.19,1.211,0.54,1.242,-1.605,-1.947,36.205,0.82,36.862,3.64,20,4,15,2,Inf,Paracou,,,,,,,,,,,,40.56281667,0.209453203,1.084290379,1.381240312,2.674983894
8,149660,15,4,960,Iryanthera,hostmannii,Iryanthera_hostmannii,Myristicaceae,BF,BF,1.451,1.453,0.666,1.181,-1.22,-1.64,14.967,0.76,24.225,1.196,12,2,11,3,Sup,Paracou,,,,,,,,,,,,26.57938056,0.404034379,1.834080243,3.445755423,5.683870045
9,146342,15,2,84,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Chrysobalanaceae,Generalist,TF,0.688,0.699,0.286,1.445,-1.168,-1.598,14.897,0.784,27.816,7.089,20,4,18,3,Inf,Paracou,,,,,,,,,,,,30.42738611,0.295178617,1.165084156,3.146078157,4.60634093
10,146466,15,2,209,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,TF,2.261,2.297,1.081,1.124,-1.515,-1.875,8.697,0.812,39.49,9.621,18,3,16,3,Sup,Paracou,,,,,,,,,,,,43.07095694,0.24928567,0.85303324,2.672860014,3.775178924
11,146404,15,2,147,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Chrysobalanaceae,Generalist,TF,0.307,0.311,0.143,1.175,-1.058,-1.51,12.877,0.79,13.79,4.459,22,2,18,3,Inf,Paracou,,,,,,,,,,,,15.09324444,0.470920254,2.204451695,5.382497452,8.057869401
12,148074,15,3,590,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Bignoniaceae,Generalist,TF,0.3729,0.3782,0.1403,1.695652174,,,,0.794,21.5087095,6.269598263,28,5,26,5,Sup,Paracou,,,,,,,,,,,,23.60600417,0.354820614,1.452423512,3.834046428,5.641290553
13,146431,15,2,174,Dicorynia,guianensis,Dicorynia_guianensis,Fabaceae,TF,TF,1.708,1.727,0.67,1.579,-0.823,-1.322,9.863,0.814,44.42,5.157,32,5,26,3,Mid,Paracou,,,,,,,,,,,,48.69007778,0.239988775,1.500403236,2.53387524,4.274267251
14,146475,15,2,218,Dicorynia,guianensis,Dicorynia_guianensis,Fabaceae,TF,TF,1.627,1.664,0.645,1.579,-0.848,-1.342,12.54,0.818,29.609,3.34,30,4,24,2,Mid,Paracou,,,,,,,,,,,,32.4115375,0.311391576,1.660683584,2.418404907,4.390480067
