Code,DateField,Plot,Subplot,idTree,FieldNbr,Species_Name,Forest,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,CommentField,CommentLab,Site,Genus,Species,Habitat,FW,SW,DW,Comment_Lab,LSWC,FvFm,LA,gmin,Ptlp
245,2021-03-01T00:00:00Z,3,1,4451,22,Jac.cop,Bafog,26,5,24,4,sup,,,Bafog,Jacaranda,copaia,TF,0.7118,0.7356,0.2895,,1.54093264248705,822,10.92924225,6.821482903,
246,2021-03-01T00:00:00Z,3,1,15283,32,Esc.cor,Bafog,13,3,14,4,middle,,,Bafog,Eschweilera,coriacea,TF,0.748,0.7643,0.3496,,1.18621281464531,812,58.35262271,2.005877323,-1.00058
247,2021-03-01T00:00:00Z,3,9,41396,63,Vou.ame,Bafog,12,2,10,3,inf,,,Bafog,Vouacapoua,americana,TF,0.5585,0.58,0.3083,,0.881284463185209,828,38.63055026,3.32482477,-1.3860975
248,2021-03-01T00:00:00Z,3,17,41678,70,Cas.jav,Bafog,16,2,14,2,middle,,,Bafog,Casearia,javitensis,TF,0.768,0.8628,0.292,,1.95479452054795,765,45.68677103,7.395667267,-0.9186825
249,2021-03-01T00:00:00Z,3,17,41670,62,Con.gui,Bafog,7,3,6,3,middle,etete,,Bafog,Conceveiba,guianensis,TF,5.3164,5.6581,2.0834,,1.71580109436498,816,277.9322398,3.503858293,-1.6457725
250,2021-03-01T00:00:00Z,3,17,41655,47,Gus.hex,Bafog,13,2,11,2,middle,,,Bafog,Gustavia,hexapetala,TF,1.3294,1.391,0.4691,,1.9652526113835,783,91.80220299,1.774180447,-1.7696175
251,2021-03-01T00:00:00Z,3,17,41659,51,Vir.mic,Bafog,24,4,18,3,middle,,,Bafog,Virola,michelii,TF,1.0982,1.1682,0.4617,,1.53021442495127,736,42.92573572,8.727872496,-1.683725
252,2021-03-01T00:00:00Z,3,18,15399,29,Iry.sag,Bafog,20,2,16,2,inf,,,Bafog,Iryanthera,sagotiana,TF,0.576,0.5722,0.2184,,1.61996336996337,809,27.82265101,1.371742335,-1.6138125
253,2021-03-01T00:00:00Z,3,18,41699,55,Lic.mem,Bafog,23,2,19,2,middle,,,Bafog,Licania,membranacea,TF,1.1858,1.251,0.4649,,1.69090126909013,816,82.13369662,3.976642976,-1.8934625
254,2021-03-01T00:00:00Z,3,18,4543,16,Con.gui,Bafog,16,3,16,3,sup,,,Bafog,Conceveiba,guianensis,TF,2.1148,2.2069,0.9199,,1.39906511577345,777,85.81362374,2.564300424,-1.8734875
255,2021-03-01T00:00:00Z,3,18,15406,40,Pro.ste,Bafog,18,3,16,2,middle,,,Bafog,Protium,stevensonii,TF,0.8927,0.9206,0.4712,,0.953735144312394,835,42.42316112,7.289698829,
256,2021-03-01T00:00:00Z,3,10,41416,53,Chr.pri,Bafog,20,2,18,2,inf,,,Bafog,Chrysophyllum,prieurii,TF,2.9312,3.2176,1.3887,,1.31698711024699,775,73.36951304,19.14562773,-2.115185
257,2021-03-01T00:00:00Z,3,10,41420,57,Pro.ste,Bafog,16,2,13,2,sup,,,Bafog,Protium,stevensonii,TF,0.7731,0.8111,0.348,,1.33074712643678,830,48.59302277,3.157043437,-2.1571325
