Code,CodeFTH,Habitat,Forest,Genus,Species,Plot,SubPlot,TreeFieldNum,Measure,LA,SLA,LT,CC,LDMC,FvFm,RWC,LSWC,Ptlp,gmin,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,Xutm,Yutm,DBH,TWI
688,89,TF,Paracou,Casearia,javitensis,6,1,435,1,41.85367641,89.66309954,200.6666667,64.69829395,0.545557046,0.821,0.968860816,2.093288103,-2.1012025,1.87391411,18,3,16,3,286468.9688,583130.8125,14.48309982,1.235325694
673,38,TF,Paracou,Protium,stevensonii,16,1,215,1,43.79678948,82.14540718,254.3333333,85.43815834,0.514139091,837,0.959522111,2.17864649,-2.474735,8.33347812,17,3,15,3,285106,581616.6,15.75633937,1.288940668
678,49,BF,Paracou,Chrysophyllum,prieurii,16,3,103,1,100.5237436,91.62429539,214.3333333,89.20165147,0.457571367,813,0.932716049,2.294520548,-2.4367825,1.52391093,30,4,30,4,285249.5938,581735.125,27.6929601,2.48790288
679,58,BF,Paracou,Virola,michelii,16,5,2730,1,54.85021553,118.9271302,181.6666667,66.53169898,0.393629734,987,0.942099989,2.617906683,-2.059255,4.75677812,13,2,12,3,285477.8,581705.2,17.82535363,2.07482934
674,41,TF,Paracou,Casearia,javitensis,16,6,286,1,96.39981384,116.0737482,156.1111111,65.07363708,0.600838698,911,0.970079535,2.05909881,-1.8814775,2.33236214,10,3,9,4,285132.4,581572.3,19.73521294,1.095117331
675,43,TF,Paracou,Casearia,javitensis,16,6,340,1,103.0040752,127.2070808,163.2222222,59.43195771,0.486132022,923,0.933626549,2.055719713,,3.7115345,8,2,5,3,285154.1,581576.8,16.55211408,1.63758862
691,96,TF,Paracou,Casearia,javitensis,16,6,340,1,85.72721139,136.9344523,157,49.76455706,0.483758991,0.928,0.980263158,2.153863585,-1.7176825,1.963493745,12,2,8,3,285154.1,581576.8,16.55211408,1.63758862
677,47,BF,Paracou,Chrysophyllum,prieurii,16,6,395,1,46.21862852,95.90640785,212,78.1930451,0.416417508,915,0.886355411,2.452681388,-2.243025,1.63751187,30,5,26,3,285181.3,581533.7,28.64788976,2.469789028
676,44,BF,Paracou,Virola,michelii,16,6,460,1,50.8677464,136.3531764,157.4444444,94.60429632,0.409279852,921,0.917167571,2.439333193,-1.843525,3.33938802,20,3,17,2,285195.8,581541.1,20.37183272,2.101145983
692,98,BF,Paracou,Chrysophyllum,prieurii,16,10,53,1,103.1194008,75.98970682,215.5555556,110.9570572,0.517605511,0.932,0.958261685,2.654574846,-2.139155,0.891908118,13,5,10,3,285483.7188,581675.125,34.85493254,2.973404169
687,77,BF,Paracou,Virola,michelii,16,10,444,1,81.758432,108.31122,186.3333333,95.94748891,0.472601011,850,0.907559128,2.240222393,-1.739655,5.88248454,22,4,16,4,285570.3,581696.8,24.50986124,1.844842196
669,21,BF,Paracou,Tachigali,melinonii,16,11,403,1,13.84198413,84.21009712,178.4444444,52.8811206,1.724038641,833,0.870724123,1.989885664,,5.31834171,25,5,25,5,285212.5,581460,39.31127094,2.991383791
662,9,BF,Paracou,Virola,surinamensis,16,14,378,1,38.51752883,110.6297782,273.7777778,86.31609285,0.342261636,0.803,0.934164449,2.750613046,-1.6977075,3.13551357,28,4,25,3,285486.5,581527.4,37.40141163,5.444906235
661,5,TF,Paracou,Casearia,javitensis,16,14,413,1,62.59321412,93.37366115,200.6666667,70.39725995,0.637197417,0.886,0.957883817,2.329105198,-2.2010775,1.41609762,8,3,5,2,285520.8,581517.3,15.91549431,2.202769041
660,4,TF,Paracou,Gustavia,hexapetala,16,15,106,1,94.7885732,138.3991453,223.7777778,67.57850471,0.298952436,0.87,0.982512809,3.579885057,-2.1571325,6.49826405,10,1,8,2,285536.9,581599.3,12.89155039,2.897271872
664,12,BF,Paracou,Laetia,procera,16,15,204,1,44.50865584,95.65104118,233.3333333,87.00369657,0.327398186,0.791,0.910029499,2.599433829,-1.875485,5.24651866,33,5,33,5,285561.3,581546.1,61.75211792,1.942211032
663,11,BF,Paracou,Chrysophyllum,prieurii,16,15,205,1,83.86250319,65.89408156,279.3333333,103.4232223,0.561379894,0.808,0.9155742,2.173971928,-2.6245475,2.12360191,28,4,24,3,285564.2,581547,30.87605896,1.833286405
657,1,BF,Paracou,Virola,surinamensis,16,15,320,1,35.55058933,73.82247876,394.4444444,78.65558828,0.391836691,0.69,0.942436645,2.463548305,-1.7836,2.59671714,25,5,25,5,285569.3,581590.8,40.2662006,6.632184982
659,3,BF,Paracou,Virola,surinamensis,16,15,2727,1,45.17115617,84.64869642,323.6666667,65.56965215,0.357460333,0.822,1.007667355,2.753814326,-1.67174,4.53211428,18,4,18,4,285566.3,581602.4,23.87324146,5.746085167
658,2,BF,Paracou,Jacaranda,copaia,16,15,2745,1,13.93241937,190.9570035,216.1111111,50.74741562,0.264461507,0.82,0.83026493,3.866151866,-1.66375,1.30077235,20,5,20,5,285572.2,581598.4,18.14366351,5.986422539
666,15,TF,Paracou,Protium,stevensonii,16,16,13,1,29.98301451,94.58364198,187.3333333,47.00612014,0.496087637,,,,,,,,,,285180.7,581305.8,26.41972055,2.448768616
665,13,TF,Paracou,Protium,stevensonii,16,16,101,1,32.13894077,98.2822825,213.5555556,51.75138103,0.481036982,815,0.989212513,2.162018176,-1.9374075,5.40220933,28,4,26,4,285150.8,581385.6,47.58732798,1.519776583
689,94,TF,Paracou,Protium,stevensonii,16,16,101,1,24.10970221,89.94074817,208.7777778,50.93596899,0.50603,0.891,0.926871591,2.040495228,-2.3289175,2.265091365,32,4,30,4,285150.8,581385.6,47.58732798,1.519776583
667,15,TF,Paracou,Protium,stevensonii,16,16,136,1,30.74652851,96.26047795,193,47.23832317,0.482984227,815,0.963968292,1.808977847,-2.1691175,8.2431865,25,3,22,3,285172.6,581379.1,38.35634129,2.338923216
668,16,TF,Paracou,Conceveiba,guianensis,16,16,226,1,92.21988061,101.6283168,165.5555556,60.62140563,0.491302194,830,0.943525686,2.136686331,-1.9533875,2.87797736,10,3,10,3,285209.2,581316.9,15.27887454,2.198944092
670,24,BF,Paracou,Chrysophyllum,prieurii,16,16,556,1,101.4807807,295.703873,220.4444444,85.20268008,0.208338534,860,0.919231586,2.393683899,-2.562625,1.66766124,26,5,26,5,285234.4,581380.4,33.42253805,1.684329271
671,30,BF,Paracou,Protium,stevensonii,16,17,273,1,21.39498575,82.79541728,205.6666667,73.26879919,0.525220482,800,0.902446578,2.022158911,-2.56662,21.7564,25,4,19,3,285285.7,581382.2,66.8450761,1.590028405
672,31,BF,Paracou,Jacaranda,copaia,16,17,2799,1,20.16622809,110.6300369,201.5555556,71.97342397,0.384700848,785,0.910425844,2.959148446,-1.6617525,8.83447002,15,5,15,5,285270.6,581392.2,14.80140971,2.393920898
684,69,BF,Paracou,Virola,michelii,16,18,77,1,44.54018372,164.8562042,151,69.25441012,0.374762753,902,0.969922528,2.797651557,-1.9573825,2.63912425,17,4,14,3,285357.6,581422.6,20.6901426,1.997401834
686,75,TF,Paracou,Protium,stevensonii,16,19,438,1,19.88828493,84.32219194,231.4444444,43.19807156,0.491667266,881,0.909111311,2.128386933,-2.4967075,5.48297602,30,5,28,5,285529.3,581445.8,30.71690402,2.270088196
681,63,BF,Paracou,Protium,stevensonii,16,21,122,1,21.23610183,84.83985393,246.8888889,45.80165055,0.503762918,818,0.978703115,1.998413202,-2.5206775,10.5689183,17,4,15,3,285192.8,581269.2,26.73803044,2.306102753
690,95,TF,Paracou,Protium,stevensonii,16,21,122,1,33.48343894,77.10852628,250.8888889,74.9292315,0.511317617,0.895,0.968756642,2.072731418,-2.003325,2.967236874,15,3,11,3,285192.8,581269.2,26.73803044,2.306102753
682,65,BF,Paracou,Virola,surinamensis,16,21,364,1,42.98038331,81.12325655,353.1111111,73.39177697,0.441493006,767,0.960321896,2.745075093,-1.82355,2.16791913,17,4,15,3,285245.6,581265.7,55.70423008,8.400744438
683,67,BF,Paracou,Virola,surinamensis,16,21,625,1,38.47687446,96.31482313,272.3333333,77.39613841,0.358585047,869,0.98632543,2.95128519,-1.7895925,2.53439775,17,4,15,3,285266.5,581255.2,19.89436789,4.121319294
680,60,TF,Paracou,Conceveiba,guianensis,16,22,396,1,55.73672976,154.7195736,185,70.24835527,0.561449687,836,0.970624741,2.369405099,-2.21506,1.43675424,15,2,15,3,285351.6,581267.8,14.16478994,3.057911634
685,70,BF,Paracou,Virola,michelii,16,25,50,1,64.91051335,102.2805955,207.1111111,90.47624015,0.435849666,875,0.940002697,2.502025111,-1.7536375,8.10711313,20,3,15,3,285587,581367.2,23.55493158,2.009055376
