Code,idTree,Plot,Subplot,FieldNr,Genus,Species,Name,Family,PrefHabitat,Habitat,Spcode,Fresh_Weight(g),Saturated_Weight(g),Dry_Weight(g),LSWC,Posmo,Ptlp,mean_Pmidday,FvFm,LA,gmin,Height_Tree,Dawkin_Tree,Height_Branch,Dawkin_Branch,Position_Crown
1,145493,15,1,182,Iryanthera,hostmannii,Iryanthera hostmannii,Myristicaceae,BF,BF,Iry.hos,1.268,1.263,0.501,1.523,-1.13,-1.568,,0.786,45.231,1.235,12,4,10,4,Sup
2,147663,15,3,178,Gustavia,hexapetala,Gustavia hexapetala,Lecythidaceae,TF,TF,Gus.hex,1.293,1.32,0.464,1.842,-1.56,-1.911,,0.797,48.827,0.916,11,2,9,2,Sup
3,147783,15,3,298,Iryanthera,hostmannii,Iryanthera hostmannii,Myristicaceae,BF,BF,Iry.hos,0.877,0.874,0.349,1.503,-1.028,-1.486,,0.807,41.215,1.046,12,2,13,3,Sup
4,147625,15,3,140,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,TF,Tac.mel,0.258,0.256,0.121,1.118,-1.51,-1.871,,0.84,9.776,3.368,33,5,23,4,Mid
5,148586,15,3,1103,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,TF,Chr.pri,1.087,1.123,0.535,1.1,-2.403,-2.585,26.067,0.773,31.427,1.869,24,4,21,4,Sup
6,149072,15,4,369,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,TF,Con.gui,2.196,2.211,1.01,1.188,-1.328,-1.726,21.58,0.8,64.251,6.776,15,2,14,3,Sup
7,146131,15,1,824,Licania,membranacea,Licania membranacea,Chrysobalanaceae,TF,TF,Lic.mem,1.19,1.211,0.54,1.242,-1.605,-1.947,36.205,0.82,36.862,3.64,20,4,15,2,Inf
8,149660,15,4,960,Iryanthera,hostmannii,Iryanthera hostmannii,Myristicaceae,BF,BF,Iry.hos,1.451,1.453,0.666,1.181,-1.22,-1.64,14.967,0.76,24.225,1.196,12,2,11,3,Sup
9,146342,15,2,84,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,TF,Hym.het,0.688,0.699,0.286,1.445,-1.168,-1.598,14.897,0.784,27.816,7.089,20,4,18,3,Inf
10,146466,15,2,209,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,TF,Con.gui,2.261,2.297,1.081,1.124,-1.515,-1.875,8.697,0.812,39.49,9.621,18,3,16,3,Sup
11,146404,15,2,147,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,TF,Hym.het,0.307,0.311,0.143,1.175,-1.058,-1.51,12.877,0.79,13.79,4.459,22,2,18,3,Inf
12,148074,15,3,590,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,TF,Jac.cop,0.3729,0.3782,0.1403,1.695652174,,,,0.794,21.5087095,6.269598263,28,5,26,5,Sup
13,146431,15,2,174,Dicorynia,guianensis,Dicorynia guianensis,Fabaceae,TF,TF,Dic.gui,1.708,1.727,0.67,1.579,-0.823,-1.322,9.863,0.814,44.42,5.157,32,5,26,3,Mid
14,146475,15,2,218,Dicorynia,guianensis,Dicorynia guianensis,Fabaceae,TF,TF,Dic.gui,1.627,1.664,0.645,1.579,-0.848,-1.342,12.54,0.818,29.609,3.34,30,4,24,2,Mid
15,147620,15,3,135,Casearia,javitensis,Casearia javitensis,Salicaceae,TF,TF,Cas.jav,2.002,2.057,1.009,1.04,-1.703,-2.025,,0.797,88.905,2.481,10,3,10,3,Sup
16,148282,15,3,798,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,TF,Hym.het,2.611,2.693,1.11,1.426,-1.09,-1.536,15.063,0.747,33.96,2.079,17,3,17,3,Mid
17,147574,15,3,89,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,BF,Boc.pro,1.386,1.396,0.843,0.656,-1.588,-1.933,,0.789,22.997,4.063,18,4,16,4,Sup
18,148283,15,3,799,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,TF,Chr.pri,0.886,0.914,0.421,1.169,-2.46,-2.631,12.733,0.785,32.59,0.87,23,5,21,5,Mid
19,147656,15,3,171,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,TF,Hym.het,0.503,0.514,0.23,1.239,-1.085,-1.532,21.06,0.744,21.444,7.383,15,3,13,3,Sup
20,148077,15,3,593,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,TF,Boc.pro,1.58,1.602,0.742,1.16,-1.258,-1.67,11.693,0.788,42.174,1.64,22,3,16,4,Mid
21,149561,15,4,860,Iryanthera,hostmannii,Iryanthera hostmannii,Myristicaceae,BF,BF,Iry.hos,2.311,2.308,1.017,1.269,-1.275,-1.684,13.487,0.812,36.132,0.885,12,2,11,4,Sup
22,149441,15,4,740,Carapa,surinamensis,Carapa surinamensis,Meliaceae,BF,BF,Car.sur,2.248,2.27,0.831,1.733,-1.333,-1.73,7.237,0.771,89.345,1.043,20,3,20,3,Sup
23,149447,15,4,746,Eperua,falcata,Eperua falcata,Fabaceae,BF,BF,Epe.fal,0.69,0.699,0.291,1.4,-1.258,-1.67,13.487,0.771,33.694,1.397,26,4,20,4,Sup
24,149545,15,4,844,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,4.011,4.082,1.977,1.065,-0.94,-1.416,10.563,0.814,74.399,3.071,18,3,16,3,Mid
25,,,,,,,NA NA,,,,,,,,,,,,,,,,,,,
26,149683,15,4,984,Hymenopus,heteromorphus,Hymenopus heteromorphus,Chrysobalanaceae,Generalist,BF,Hym.het,0.363,0.368,0.179,1.052,-0.948,-1.422,,0.807,12.265,17.868,16,3,14,3,Sup
27,149727,15,4,1029,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,BF,Boc.pro,0.522,0.525,0.27,0.948,-1.395,-1.78,,0.814,7.248,2.511,26,2,24,3,Sup
28,149733,15,4,1035,Eperua,falcata,Eperua falcata,Fabaceae,BF,BF,Epe.fal,0.63,0.658,0.313,1.102,-1.528,-1.885,,0.807,16.897,2.136,20,4,16,3,Mid
