Code,DateField,Forest,idTree,Plot,Subplot,FieldNbr,Genus,Species,Name,Habitat,Type,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,Circ,DBH,CommentField,CommentLab
245,2021-03-01T00:00:00Z,Bafog,4451,3,1,22,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,TF,Generalists,26,5,24,4,Sup,90,28.66242038,,
246,2021-03-01T00:00:00Z,Bafog,15283,3,1,32,Eschweilera,coriacea,Eschweilera_coriacea,TF,Generalists,13,3,14,4,Mid,80,25.47770701,,
247,2021-03-01T00:00:00Z,Bafog,41396,3,9,63,Vouacapoua,americana,Vouacapoua_americana,TF,TF,12,2,10,3,Inf,37.5,11.94267516,,
248,2021-03-01T00:00:00Z,Bafog,41678,3,17,70,Casearia,javitensis,Casearia_javitensis,TF,TF,16,2,14,2,Mid,52.5,16.71974522,,
249,2021-03-01T00:00:00Z,Bafog,41670,3,17,62,Conceveiba,guianensis,Conceveiba_guianensis,TF,Generalists,7,3,6,3,Mid,46,14.64968153,etete,
250,2021-03-01T00:00:00Z,Bafog,41655,3,17,47,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,13,2,11,2,Mid,39,12.42038217,,
251,2021-03-01T00:00:00Z,Bafog,41659,3,17,51,Virola,michelii,Virola_michelii,TF,Generalists,24,4,18,3,Mid,45,14.33121019,,
252,2021-03-01T00:00:00Z,Bafog,15399,3,18,29,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,20,2,16,2,Inf,75.5,24.04458599,,
253,2021-03-01T00:00:00Z,Bafog,41699,3,18,55,Licania,membranacea,Licania_membranacea,TF,TF,23,2,19,2,Mid,55.5,17.67515924,,
254,2021-03-01T00:00:00Z,Bafog,4543,3,18,16,Conceveiba,guianensis,Conceveiba_guianensis,TF,Generalists,16,3,16,3,Sup,78,24.84076433,,
255,2021-03-01T00:00:00Z,Bafog,15406,3,18,40,Protium,stevensonii,Protium_stevensonii,TF,Generalists,18,3,16,2,Mid,64,20.38216561,,
256,2021-03-01T00:00:00Z,Bafog,41416,3,10,53,Chrysophyllum,prieurii,Chrysophyllum_prieurii,TF,Generalists,20,2,18,2,Inf,52,16.56050955,,
257,2021-03-01T00:00:00Z,Bafog,41420,3,10,57,Protium,stevensonii,Protium_stevensonii,TF,Generalists,16,2,13,2,Sup,46,14.64968153,,
258,2021-03-01T00:00:00Z,Bafog,15353,3,10,36,Eschweilera,coriacea,Eschweilera_coriacea,TF,Generalists,21,3,18,3,Mid,81.5,25.95541401,,
