Code,Forest,idTree,specCode,Species,Genus,Plot,Subplot,FieldNbr,gmin.slope,Code_Meas_quality,R2,beta,Leaf_area,Vpsat.kPa_mean,VPD_mean,T.cels_mean,RH.perc_mean,t0,timeMeas_chosen.h,timeMeas_chosen.min,time_start,time_end,nMeas_chosen,nMeas_total,first_chosen_meas,last_chosen_meas,mass_start,mass_end,mass_Loss_Meas_chosen,file,Comment
245,Bafog,4451,Jac.cop,copaia subsp. copaia,Jacaranda,3,1,22,6.8214828749761,1,1,-1.85658149282606e-4,10.9292423,3.30320344531084,0.0115289941347806,25.7,64.64,2021-03-01 16:18:29,2.1,126,2021-03-01 17:27:00,2021-03-01 19:33:00,5,8,3,7,0.3197,0.2963,0.0234,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Bafog/input/g_min_METRADICA_BAFOG_01_03_2021.csv,NA
246,Bafog,15283,Esc.cor,coriacea,Eschweilera,3,1,32,2.0058773234975,1,1,-2.86419895893582e-4,58.3526227,3.30976291243353,0.0113288201495641,25.7333333333333,65.3166666666667,2021-03-01 16:12:30,2.63333333333333,158,2021-03-01 16:56:00,2021-03-01 19:34:00,6,8,2,7,1.3669,1.3217,0.0451999999999999,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Bafog/input/g_min_METRADICA_BAFOG_01_03_2021.csv,NA
247,Bafog,41396,Vou.ame,americana,Vouacapoua,3,9,63,3.32482476608533,1,1,-3.20610850064075e-4,38.6305503,3.30814336056572,0.011556459689717,25.725,64.6,2021-03-01 16:22:20,1.53333333333333,92,2021-03-01 16:57:00,2021-03-01 18:29:00,4,8,2,5,0.4169,0.3873,0.0296,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Bafog/input/g_min_METRADICA_BAFOG_01_03_2021.csv,NA
248,Bafog,41678,Cas.jav,javitensis,Casearia,3,17,70,7.39566727156265,1,1,-8.42848218603903e-4,45.686771,3.30320344531084,0.0115485588920493,25.7,64.58,2021-03-01 16:22:47,2.1,126,2021-03-01 17:28:00,2021-03-01 19:34:00,5,8,3,7,0.8334,0.7265,0.1069,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Bafog/input/g_min_METRADICA_BAFOG_01_03_2021.csv,NA
249,Bafog,41670,Con.gui,guianensis,Conceveiba,3,17,62,3.50385829120854,1,1,-0.00239100138484314,277.93224,3.30976291243353,0.0113668627331422,25.7333333333333,65.2,2021-03-01 16:24:32,2.65,159,2021-03-01 16:57:00,2021-03-01 19:36:00,6,8,2,7,5.3949,5.0115,0.3834,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Bafog/input/g_min_METRADICA_BAFOG_01_03_2021.csv,NA
250,Bafog,41655,Gus.hex,hexapetala,Gustavia,3,17,47,1.77418044667291,1,0.99,-4.00597763208637e-4,91.802203,3.30320851025455,0.011386857274019,25.7,65.075,2021-03-01 16:26:22,1.61666666666667,97,2021-03-01 17:59:00,2021-03-01 19:36:00,4,7,3,6,2.0518,2.0128,0.0390000000000001,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Bafog/input/g_min_METRADICA_BAFOG_01_03_2021.csv,NA
251,Bafog,41659,Vir.mic,michelii,Virola,3,17,51,7.44659095674818,3,1,-7.82680538555702e-4,42.9257357,3.30972907262477,0.0113358877867498,25.7333333333333,65.3,2021-03-01 16:27:06,1.1,66,2021-03-01 18:31:00,2021-03-01 19:37:00,3,8,5,7,0.8455,0.7938,0.0517000000000001,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Bafog/input/g_min_METRADICA_BAFOG_01_03_2021.csv,NA
252,Bafog,15399,Iry.sag,sagotiana,Iryanthera,3,18,29,1.37174233509366,1,1,-9.54184791364607e-5,27.822651,3.30320344531084,0.0115746452350742,25.7,64.5,2021-03-01 16:29:43,2.1,126,2021-03-01 17:31:00,2021-03-01 19:37:00,5,8,3,7,0.5897,0.5778,0.0119,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Bafog/input/g_min_METRADICA_BAFOG_01_03_2021.csv,NA
253,Bafog,41699,Lic.mem,membranacea,Licania,3,18,55,3.97664297666811,1,1,-8.01922387481227e-4,82.1336966,3.30976291243353,0.0113668627331422,25.7333333333333,65.2,2021-03-01 16:12:37,2.63333333333333,158,2021-03-01 16:59:00,2021-03-01 19:37:00,6,8,2,7,1.8769,1.7496,0.1273,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Bafog/input/g_min_METRADICA_BAFOG_01_03_2021.csv,NA
254,Bafog,4543,Con.gui,guianensis,Conceveiba,3,18,16,2.56430042500365,1,1,-5.41231137724555e-4,85.8136237,3.30320851025455,0.011386857274019,25.7,65.075,2021-03-01 16:12:37,1.61666666666667,97,2021-03-01 18:01:00,2021-03-01 19:38:00,4,8,4,7,1.6959,1.6432,0.0527,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Bafog/input/g_min_METRADICA_BAFOG_01_03_2021.csv,NA
