Code,Genus,Species,Name,Count_x20,Count_x40,AncienneCamera,ImageResolution,Ancienne_ImageSizex20_mm2,Ancienne_ImageSizex40_mm2,Nouvelle_ImageSizex10_mm2,Comment,SD,Nouvelle_ImageSizex20_mm2,Nouvelle_ImageSizex40_mm2
245,Jacaranda,copaia,Jacaranda copaia,91,NA,oui,1392*1040,0.312,NA,NA,,291.6666666666667,NA,NA
246,Eschweilera,coriacea,Eschweilera coriacea,162,NA,oui,1392*1040,0.312,NA,NA,,519.2307692307693,NA,NA
248,Casearia,javitensis,Casearia javitensis,85,NA,oui,1392*1040,0.312,NA,NA,,272.43589743589746,NA,NA
249,Conceveiba,guianensis,Conceveiba guianensis,52,NA,oui,1392*1040,0.312,NA,NA,,166.66666666666666,NA,NA
250,Gustavia,hexapetala,Gustavia hexapetala,89,NA,oui,1392*1040,0.312,NA,NA,,285.2564102564103,NA,NA
252,Iryanthera,sagotia,Iryanthera sagotia,50,NA,oui,1392*1040,0.312,NA,NA,,160.25641025641025,NA,NA
254,Conceveiba,guianensis,Conceveiba guianensis,139,NA,oui,1392*1040,0.312,NA,NA,,445.5128205128205,NA,NA
255,Protium,stevensonii,Protium stevensonii,158,NA,oui,1392*1040,0.312,NA,NA,,506.4102564102564,NA,NA
257,Protium,stevensonii,Protium stevensonii,220,NA,oui,1392*1040,0.312,NA,NA,,705.1282051282051,NA,NA
258,Eschweilera,coriacea,Eschweilera coriacea,162,NA,oui,1392*1040,0.312,NA,NA,,519.2307692307693,NA,NA
259,Dicorynia,guianensis,Dicorynia guianensis,84,NA,oui,1392*1040,0.312,NA,NA,,269.2307692307692,NA,NA
260,Iryanthera,sagotia,Iryanthera sagotia,49,NA,oui,1392*1040,0.312,NA,NA,,157.05128205128204,NA,NA
261,Tachigali,melinonii,Tachigali melinonii,76,NA,oui,1392*1040,0.312,NA,NA,,243.5897435897436,NA,NA
262,Eschweilera,coriacea,Eschweilera coriacea,207,NA,oui,1392*1040,0.312,NA,NA,,663.4615384615385,NA,NA
263,Poraqueiba,guianensis,Poraqueiba guianensis,79,NA,oui,1392*1040,0.312,NA,NA,,253.2051282051282,NA,NA
264,Eschweilera,coriacea,Eschweilera coriacea,92,NA,oui,1392*1040,0.312,NA,NA,,294.87179487179486,NA,NA
266,Virola,michelii,Virola michelii,81,NA,oui,1392*1040,0.312,NA,NA,,259.61538461538464,NA,NA
267,Iryanthera,hostmannii,Iryanthera hostmannii,48,NA,oui,1392*1040,0.312,NA,NA,,153.84615384615384,NA,NA
271,Dicorynia,guianensis,Dicorynia guianensis,NA,31,oui,1392*1040,NA,0.0792,NA,,391.4141414141414,NA,NA
272,Poraqueiba,guianensis,Poraqueiba guianensis,116,NA,oui,1392*1040,0.312,NA,NA,,371.79487179487177,NA,NA
275,Poraqueiba,guianensis,Poraqueiba guianensis,60,NA,oui,1392*1040,0.312,NA,NA,,192.30769230769232,NA,NA
276,Conceveiba,guianensis,Conceveiba guianensis,103,NA,oui,1392*1040,0.312,NA,NA,,330.12820512820514,NA,NA
278,Hymenopus,heteromorphus,Hymenopus heteromorphus,78,NA,oui,1392*1040,0.312,NA,NA,,250,NA,NA
279,Tachigali,melinonii,Tachigali melinonii,104,NA,oui,1392*1040,0.312,NA,NA,,333.3333333333333,NA,NA
265,Iryanthera,hostmannii,Iryanthera hostmannii,55,NA,non,2560*1922,NA,NA,NA,,233.843537414966,0.2352,NA
277,Protium,stevensonii,Protium stevensonii,195,NA,non,2560*1922,NA,NA,NA,,829.0816326530612,0.2352,NA
281,Poraqueiba,guianensis,Poraqueiba guianensis,57,NA,non,2560*1922,NA,NA,NA,,242.3469387755102,0.2352,NA
284,Dicorynia,guianensis,Dicorynia guianensis,30,NA,non,2560*1922,NA,NA,NA,,127.55102040816327,0.2352,NA
285,Poraqueiba,guianensis,Poraqueiba guianensis,88,NA,non,2560*1922,NA,NA,NA,,374.1496598639456,0.2352,NA
287,Eschweilera,coriacea,Eschweilera coriacea,98,NA,non,2560*1922,NA,NA,NA,,416.6666666666667,0.2352,NA
291,Eschweilera,coriacea,Eschweilera coriacea,147,NA,non,2560*1922,NA,NA,NA,,625,0.2352,NA
294,Eschweilera,coriacea,Eschweilera coriacea,141,NA,non,2560*1922,NA,NA,NA,,599.4897959183673,0.2352,NA
297,Conceveiba,guianensis,Conceveiba guianensis,NA,23,non,2560*1922,NA,NA,NA,,391.15646258503403,NA,0.0588
298,Jacaranda,copaia,Jacaranda copaia,75,NA,non,2560*1922,NA,NA,NA,,318.8775510204082,0.2352,NA
299,Tachigali,melinonii,Tachigali melinonii,91,NA,non,2560*1922,NA,NA,NA,,386.9047619047619,0.2352,NA
300,Eschweilera,coriacea,Eschweilera coriacea,108,NA,non,2560*1922,NA,NA,NA,,459.18367346938777,0.2352,NA
301,Eschweilera,coriacea,Eschweilera coriacea,111,NA,non,2560*1922,NA,NA,NA,,471.9387755102041,0.2352,NA
302,Conceveiba,guianensis,Conceveiba guianensis,56,NA,non,2560*1922,NA,NA,NA,,238.0952380952381,0.2352,NA
304,Symphonia,globulifera,Symphonia globulifera,27,NA,non,2560*1922,NA,NA,NA,,114.79591836734694,0.2352,NA
305,Eschweilera,coriacea,Eschweilera coriacea,100,NA,non,2560*1922,NA,NA,NA,,425.1700680272109,0.2352,NA
308,Iryanthera,hostmannii,Iryanthera hostmannii,36,NA,non,2560*1922,NA,NA,NA,,153.06122448979593,0.2352,NA
309,Eschweilera,coriacea,Eschweilera coriacea,139,NA,non,2560*1922,NA,NA,NA,,590.9863945578231,0.2352,NA
311,Laetia,procera,Laetia procera,NA,40,non,2560*1922,NA,NA,NA,,680.2721088435375,NA,0.0588
312,Hymenopus,heteromorphus,Hymenopus heteromorphus,NA,15,non,2560*1922,NA,NA,NA,,255.10204081632654,NA,0.0588
313,Hymenopus,heteromorphus,Hymenopus heteromorphus,44,NA,non,2560*1922,NA,NA,NA,jolie pour cette espèce,187.0748299319728,0.2352,NA
314,Eschweilera,coriacea,Eschweilera coriacea,95,NA,non,2560*1922,NA,NA,NA,,403.91156462585036,0.2352,NA
315,Eschweilera,coriacea,Eschweilera coriacea,127,NA,non,2560*1922,NA,NA,NA,,539.9659863945578,0.2352,NA
316,Virola,michelii,Virola michelii,86,NA,non,2560*1922,NA,NA,NA,pour une fois qu'on les voit!!,365.6462585034014,0.2352,NA
318,Laetia,procera,Laetia procera,158,NA,non,2560*1922,NA,NA,NA,,671.7687074829932,0.2352,NA
320,Jacaranda,copaia,Jacaranda copaia,69,NA,non,2560*1922,NA,NA,NA,tres joli,293.36734693877554,0.2352,NA
321,Tachigali,melinonii,Tachigali melinonii,104,NA,non,2560*1922,NA,NA,NA,Round structure that doesnt look like stomata,442.17687074829934,0.2352,NA
322,Tachigali,melinonii,Tachigali melinonii,99,NA,non,2560*1922,NA,NA,NA,,420.9183673469388,0.2352,NA
323,Tachigali,melinonii,Tachigali melinonii,91,NA,non,2560*1922,NA,NA,NA,,386.9047619047619,0.2352,NA
324,Chrysophyllum,prieurii,Chrysophyllum prieurii,24,NA,non,2560*1922,NA,NA,NA,oui x20,102.04081632653062,0.2352,NA
325,Protium,stevensonii,Protium stevensonii,91,NA,non,2560*1922,NA,NA,NA,,386.9047619047619,0.2352,NA
326,Protium,stevensonii,Protium stevensonii,126,NA,non,2560*1922,NA,NA,NA,,535.7142857142858,0.2352,NA
327,Virola,michelii,Virola michelii,42,NA,non,2560*1922,NA,NA,NA,might have missed some,178.57142857142858,0.2352,NA
328,Gustavia,hexapetala,Gustavia hexapetala,55,NA,non,2560*1922,NA,NA,NA,,233.843537414966,0.2352,NA
329,Virola,surimensis,Virola surimensis,73,NA,non,2560*1922,NA,NA,NA,pour une fois que c'est jolie!!,310.374149659864,0.2352,NA
330,Chrysophyllum,prieurii,Chrysophyllum prieurii,62,NA,non,2560*1922,NA,NA,0.9408,x10?,263.6054421768708,NA,NA
332,Pterocarpus,officilis,Pterocarpus officilis,60,NA,non,2560*1922,NA,NA,NA,,255.10204081632654,0.2352,NA
333,Iryanthera,hostmannii,Iryanthera hostmannii,53,NA,non,2560*1922,NA,NA,NA,jolie,225.34013605442178,0.2352,NA
334,Symphonia,globulifera,Symphonia globulifera,46,NA,non,2560*1922,NA,NA,NA,,195.57823129251702,0.2352,NA
