Calibration_Date,Contamination_Level,Date_Field,idTree,Plot,Subplot,Field_Nr,Species_Name,Code,idLeaf,Leaf_Health_Status,Leaf_Pheno_Status,Density_Section_Veins,Date_measure,User_initial,idVapro,Nr_Cycle,Nr_Run,C0,Comment,Posmo,Ptlp
02/03/2021,91,01/03/2021,15283,3,1,32,Esc.cor,246,1,healthy,mature,ok,02/03/2021,MB,2,1,7,168,NA,-0.42,-1.00058
02/03/2021,91,01/03/2021,41396,3,9,63,Vou.ame,247,1,healthy,mature,ok,02/03/2021,MB,2,1,3,361,NA,-0.9025,-1.3860975
02/03/2021,91,01/03/2021,41678,3,17,70,Cas.jav,248,1,epiphytes,mature,ok,02/03/2021,MB,2,1,8,127,Chambre salle car individus poilu,-0.3175,-0.9186825000000001
03/03/2021,12,01/03/2021,41670,3,17,62,Con.gui,249,1,healthy,mature,ok,03/03/2021,MB,2,1,10,491,delta egale à 5,-1.2275,-1.6457725
03/03/2021,12,01/03/2021,41655,3,17,47,Gus.hex,250,1,healthy,mature,ok,03/03/2021,MB,2,1,8,553,NA,-1.3825,-1.7696175
03/03/2021,12,01/03/2021,41659,3,17,51,Vir.mic,251,1,healthy,mature,ok,03/03/2021,MB,2,1,8,510,NA,-1.2750000000000001,-1.6837250000000001
03/03/2021,12,01/03/2021,15399,3,18,29,Iry.sag,252,1,healthy,mature,ok,03/03/2021,MB,2,1,7,475,NA,-1.1875,-1.6138125
03/03/2021,12,01/03/2021,41699,3,18,55,Lic.mem,253,1,healthy,mature,ok,03/03/2021,MB,2,1,4,615,NA,-1.5375,-1.8934625000000003
03/03/2021,12,01/03/2021,4543,3,18,16,Con.gui,254,1,healthy,mature,ok,03/03/2021,MB,2,1,9,605,NA,-1.5125,-1.8734875
03/03/2021,12,01/03/2021,41416,3,10,53,Chr.pri,256,1,herbivory,mature,ok,03/03/2021,MB,2,1,10,726,NA,-1.815,-2.1151850000000003
03/03/2021,12,01/03/2021,41420,3,10,57,Pro.ste,257,1,healthy,mature,ok,03/03/2021,MB,2,1,5,747,NA,-1.8675,-2.1571325000000003
03/03/2021,12,01/03/2021,15353,3,10,36,Esc.cor,258,1,healthy,mature,ok,03/03/2021,MB,2,1,5,491,NA,-1.2275,-1.6457725
03/03/2021,12,01/03/2021,41201,3,3,44,Dic.gui,259,1,healthy,mature,ok,03/03/2021,MB,2,1,5,416,NA,-1.04,-1.4959600000000002
03/03/2021,12,01/03/2021,3145,3,12,8,Iry.sag,260,1,healthy,mature,ok,03/03/2021,MB,2,1,8,469,NA,-1.1725,-1.6018275000000002
03/03/2021,12,01/03/2021,15306,3,4,27,Esc.cor,262,1,healthy,mature,ok,03/03/2021,MB,2,1,4,517,NA,-1.2925,-1.6977075000000001
03/03/2021,12,01/03/2021,4472,3,4,5,Por.gui,263,1,healthy,mature,ok,03/03/2021,MB,2,1,5,573,pattern noir sur la feuille (mais pas epipythes),-1.4325,-1.8095675000000002
03/03/2021,12,01/03/2021,5136,3,5,24,Esc.cor,264,1,healthy,mature,ok,03/03/2021,MB,2,1,5,501,NA,-1.2525,-1.6657475
03/03/2021,12,01/03/2021,41269,3,5,49,Vir.mic,266,1,healthy,mature,ok,03/03/2021,MB,2,1,5,497,NA,-1.2425,-1.6577575
03/03/2021,12,01/03/2021,41499,3,12,61,Iry.hos,267,NA,healthy,mature,ok,03/03/2021,MB,2,NA,9,389,NA,-0.9725,-1.4420275
04/03/2021,5,02/03/2021,15511,3,33,22,Tac.mel,268,1,healthy,mature,ok,04/03/2021,MB,2,1,8,266,NA,-0.665,-1.1963350000000001
04/03/2021,5,02/03/2021,42545,3,41,36,Dic.gui,269,1,healthy,mature,ok,04/03/2021,MB,2,1,7,311,NA,-0.7775,-1.2862225
04/03/2021,5,02/03/2021,15517,3,33,31,Esc.cor,270,1,healthy,mature,ok,04/03/2021,MB,2,1,4,477,NA,-1.1925000000000001,-1.6178075
04/03/2021,5,02/03/2021,3316,3,25,14,Dic.gui,271,1,healthy,mature,ok,04/03/2021,PM,2,1,8,292,NA,-0.73,-1.2482700000000002
04/03/2021,5,02/03/2021,3320,3,26,1,Por.gui,272,1,healthy,mature,ok,04/03/2021,MB,2,1,5,660,NA,-1.6500000000000001,-1.9833500000000002
04/03/2021,5,02/03/2021,3433,3,34,8,Esc.cor,274,1,healthy,mature,ok,04/03/2021,PM,2,1,5,489,NA,-1.2225,-1.6417775
04/03/2021,5,02/03/2021,3431,3,34,5,Por.gui,275,1,healthy,mature,ok,04/03/2021,PM,2,1,5,617,NA,-1.5425,-1.8974575
