Code,idTree,Genus,Species,Name,Forest,Habitat,Type,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,DBH,Xutm,Yutm,TWI
474,252041,Tachigali,melinonii,Tachigali_melinonii,Kaw,TF,Generalist,32,5,25,4,Mid,31.5,369234,505012.3,6.166006
475,252055,Tachigali,melinonii,Tachigali_melinonii,Kaw,TF,Generalist,25,4,20,4,Inf,39,369242.4,505016.3,6.166006
476,252075,Tachigali,melinonii,Tachigali_melinonii,Kaw,TF,Generalist,25,3,23,3,Mid,35.3,369255.1,504995.2,6.166006
477,252028,Poraqueiba,guianensis,Poraqueiba_guianensis,Kaw,TF,TF,15,2,14,2,Mid,13.7,369265.9,504988.2,6.166006
478,252488,Vouacapoua,americana,Vouacapoua_americana,Kaw,TF,TF,33,5,26,5,Mid,55,369318.9,505019,6.350865
479,252192,Iryanthera,sagotiana,Iryanthera_sagotiana,Kaw,TF,TF,18,2,15,2,Mid,32.1,369288.9,504971.9,6.350865
480,252197,Poraqueiba,guianensis,Poraqueiba_guianensis,Kaw,TF,TF,18,3,16,2,Mid,16.2,369295.7,504967.3,6.350865
481,252485,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Kaw,TF,Generalist,15,4,12,3,Mid,12.8,369321.1,505017.4,6.350865
482,252326,Poraqueiba,guianensis,Poraqueiba_guianensis,Kaw,TF,TF,14,3,12,2,Sup,24.2,369316.1,504974.9,6.350865
483,252541,Iryanthera,sagotiana,Iryanthera_sagotiana,Kaw,TF,TF,13,3,8,3,Mid,15.7,369329.5,505030.7,6.143994
484,252542,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Kaw,TF,Generalist,20,4,17,4,Mid,19.5,369329.9,505029,6.143994
485,,Licania,membranacea,Licania_membranacea,Kaw,TF,TF,28,3,26,2,Mid,43.7,369288.92,504948.61,6.350865
486,252501,Virola,michelii,Virola_michelii,Kaw,TF,Generalist,23,4,21,4,Sup,22.9,369311.7,505034.9,6.143994
487,,Vouacapoua,americana,Vouacapoua_americana,Kaw,TF,TF,34,5,24,3,Inf,60,369264.27,504933.62,6.166006
488,252099,Poraqueiba,guianensis,Poraqueiba_guianensis,Kaw,TF,TF,20,3,15,2,Inf,31,369275.5,504960.2,6.166006
489,252025,Iryanthera,sagotiana,Iryanthera_sagotiana,Kaw,TF,TF,17,2,15,2,Mid,20.4,369253.5,504974.3,6.166006
490,252475,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Kaw,TF,Generalist,12,2,8,2,Inf,12.7,369337.5,504999.5,6.350865
491,252565,Poraqueiba,guianensis,Poraqueiba_guianensis,Kaw,TF,TF,10,2,8,2,Inf,10.3,369343.6,504996.9,6.350865
