Code,Site,Genus,Species,Weight_mg_CNS,%N,%C,%S,Remark Sample,Weight_g_trace,P (g/kg),Fe (g/kg),Mn (g/kg),Mg (g/kg),Al (g/kg),Ca (g/kg),Na (g/kg),K (g/kg),Cr (mg/kg),Cu (mg/kg),Ni (mg/kg),Pb (mg/kg),Rb (mg/kg),Sr (mg/kg),Zn (mg/kg),Commentaires
474,Kawforest,Tachigali,melinonii,8.23,3.02,51.14,0.134,NA,0.2,0.801263192307692,0.1168477,0.0987056333333333,1.27811233333333,0.123168333333333,3.04319333333333,0.340394166666667,7.11862534615385,1.0637778409090899,13.4431333333333,0.450387666666667,0,18.725,11.7769166666667,9.4525,NA
475,Kawforest,Tachigali,melinonii,7.995,3.09,52.52,0.121,NA,0.2005,0.734427124496451,0.11491042394015,0.116589160432253,1.88689509559435,0.126003325020781,4.09919534497091,0.18268744804655,4.31458887396892,1.05264622534573,11.6340482128013,1.14662111388196,0,9.79551122194514,22.8871986699917,10.9077306733167,NA
476,Kawforest,Tachigali,melinonii,8.178,2.92,50.13,0.119,NA,0.1995,0.767682398303451,0.143656842105263,0.132637226399332,1.34347101086048,0.11490559732665,3.27738680033417,0.241648287385129,6.73045147484095,2.44461688311688,13.5269507101086,0.735646783625731,0,18.0551378446115,12.3227234753551,10.0726817042606,NA
477,Kawforest,Poraqueiba,guianensis,8.146,1.56,51.64,0.215,NA,0.2004,0.549164862582527,0.0942092814371258,0.0153249833666001,6.5684753825682,0.132802727877578,7.8781869594145,0.158427312042581,3.66155224167051,2.51999784521865,5.42228875582169,0.545616433799069,0,6.50199600798403,73.6970226214238,7.13822355289421,NA
478,Kawforest,Vouacapoua,americana,8.256,2.7,53.28,0.144,NA,0.2005,1.10101066564358,0.0522420947630923,0.0898310556940981,0.820062177888612,0.0302527015793849,3.08597838736492,0.0758046550290939,6.2130926146173,0,9.77369908561928,0.718900415627598,0,11.4962593516209,34.5605153782211,21.5860349127182,NA
479,Kawforest,Iryanthera,sagotiana,7.846,2.01,50.18,0.157,NA,0.2001,0.877824280167609,0.049847776111944,0.0945583541562552,4.30046210228219,0.0491937364651008,4.38625020822922,0.903142595368982,10.2584960981048,0.504396142837672,17.1470598034316,10.2963894719307,0,31.6191904047976,32.2208062635349,25.752123938031,NA
480,Kawforest,Poraqueiba,guianensis,8.165,1.47,52.64,0.23,NA,0.1996,0.624011214737167,0.153254208416834,0.0157471275885104,5.56273780895124,0.200143620574482,5.65024382097529,0.290074315297261,4.45854243101588,1.72559402896702,7.1875083500334,0.691771209084837,0,11.4929859719439,50.5455076820307,10.2730460921844,NA
481,Kawforest,Hymenopus,heteromorphus,8.257,1.33,50.62,0.261,NA,0.2004,0.459668854598495,0.178565568862275,0.0583389554224884,2.75909414504325,0.193456420492349,5.09874584165003,0.526042082501663,3.8239773913711,1.18387259571766,5.99115103127079,3.03510246174318,0,4.23902195608782,59.9245675316035,5.88323353293413,NA
482,Kawforest,Poraqueiba,guianensis,8.263,1.32,52.01,0.165,NA,0.2003,0.741151465110027,0.0603072391412881,0.0111439174571476,4.27320252953903,0.0805475120652355,3.33668830088201,0.388211848893327,5.0460562617612,1.67841771433758,4.88580462639374,0.521500416042603,0,16.7598602096855,30.8131968713596,6.57513729405891,NA
483,Kawforest,Iryanthera,sagotiana,8.275,1.83,53.76,0.215,NA,0.2003,0.676248819079074,0.0733876185721418,0.0947135629888501,4.70205924446663,0.0802479613912465,4.24033283408221,1.01956481943751,6.48889200814163,1.29140073979939,9.16937926443668,5.46783591279747,0,14.2236645032451,39.3229322682643,16.1407888167748,NA
484,Kawforest,Hymenopus,heteromorphus,7.67,1.01,39.61,0.151,NA,0.2005,0.474526875119893,0.047578753117207,0.077611604322527,0.946246716541978,0.0405369908561928,1.46877140482128,0.0305727348295927,4.67219485900633,1.85796293357515,4.81110556940981,2.54515976724855,0,7.11221945137157,16.8772236076476,5.53366583541147,NA
485,Kawforest,Licania,membranacea,8.043,1.42,47.57,0.268,NA,0.1996,0.427544331478995,0.140496458852868,0.274668960931006,2.60659584372402,0.158970906068163,6.70218786367415,0.322338320864505,4.71384074429311,2.75444672409884,3.48442227763923,7.77714480465503,0,5.07231920199501,70.767497921862,4.77705735660848,NA
486,Kawforest,Virola,michelii,7.771,1.84,54.08,0.332,NA,0.2003,0.467188192307692,0.2422977,0.530455633333333,2.50111233333333,0.246868333333333,7.48394333333333,0.952594166666667,3.01137534615385,1.46054534090909,10.5556333333333,8.18303766666667,0,4.5445,81.7944166666667,9.9775,NA
487,Kawforest,Vouacapoua,americana,8.343,2.48,56.82,0.123,NA,0.2003,1.78354673904674,0.0380757757757758,0.0635191524858192,0.916028361695028,0.0219552886219553,1.18662996329663,0.0645587253920587,10.4640894355894,1.16107891982892,11.9676009342676,0.926724391057724,0,27.3248248248248,10.9228395061728,27.8578578578579,NA
488,Kawforest,Poraqueiba,guianensis,8.032,1.23,52.33,0.131,NA,0.2005,0.861486164636966,0.0402982965931864,0.00902869071476286,3.98007247828991,0.0645474281897128,4.00971275885104,0.341827822311289,4.92948431478341,1.64720224539989,7.65093520374082,1.0646419505678,0,17.570140280561102,33.3636439545758,9.23847695390782,NA
489,Kawforest,Iryanthera,sagotiana,7.631,1.79,54.19,0.173,NA,0.1998,0.63489809039809,0.0894371371371371,0.153133767100434,4.22033266599933,0.103421755088422,4.74919252585919,1.28988405071738,5.06619153769154,1.68717251342251,11.0641975308642,3.59298064731398,0,13.5385385385385,31.2481648314982,16.8268268268268,NA
490,Kawforest,Chrysophyllum,prieurii,8.387,2.75,50.73,0.127,NA,0.1996,0.864492176661015,0.130659018036072,0.0215637608550434,1.38337909151637,0.128174682698731,10.9558550434202,0.327950066800267,7.71906347310005,1.56793120331572,12.287708750835,2.58867501670007,0,15.2605210420842,75.4453072812291,8.55711422845691,NA
491,Kawforest,Poraqueiba,guianensis,8.388,1.32,50.18,0.129,NA,0.1997,0.464009206116868,0.110363244867301,0.0852334835586714,1.95153964279753,0.130864630278751,5.97290268736438,0.813314137873477,3.45080154847656,1.47988016115082,4.19442497078952,2.33452445334669,0,6.78517776664998,32.6058254047738,7.50625938908363,NA
492,Kawforest,Poraqueiba,guianensis,7.951,1.22,51.95,0.189,NA,0.1999,0.423174779697541,0.13043791895948,0.0182847757211939,7.20521494080374,0.229983324995831,9.5437151909288,0.168778555944639,2.33779424327548,0.922008845331757,4.53039853259963,0.599357345339336,0,4.79539769884943,102.495664498916,6.89594797398699,NA
493,Kawforest,Virola,michelii,8.167,2.04,53.52,0.502,NA,0.1998,0.981744937244937,0.0405732732732733,0.225330964297631,2.63024257590924,0.0290073406740073,6.11505839172506,0.177771938605272,6.95057592207592,0.574377718627718,12.4280613947281,2.04945211878545,0,22.4449449449449,58.8032198865532,17.3923923923924,NA
494,Kawforest,Bocoa,prouacensis,7.981,2.13,52.78,0.131,NA,0.2003,1.04020288797573,0.0425663504742886,0.0259517057746713,1.119433183558,0.00678815110667332,0.390757197537028,0.0589557330670661,9.92873224778217,2.14414412472201,7.30717257447163,0.634730570810451,0,22.1742386420369,2.92552837410551,5.99101347978033,NA
495,Kawforest,Hymenopus,heteromorphus,8.195,1.44,51.58,0.206,NA,0.2001,0.462431976319533,0.0783835082458771,0.0261475595535566,3.22050208229219,0.0889238713976345,7.71008828918874,0.19139846743295,4.03185941644562,1.01077245468175,7.22951857404631,1.49670931201066,0,2.19290354822589,62.5131600866234,6.42678660669665,NA
496,Kawforest,Poraqueiba,guianensis,8.261,1.33,52,0.209,NA,0.2001,0.637944220197594,0.0468492753623189,0.00838144261202732,4.21150658004331,0.0781792437114776,7.36526070298184,0.450968682325504,5.0760873025026,1.53020523828995,4.02112277194736,0.185664334499417,0,13.4832583708146,83.4526903215059,6.65167416291854,NA
497,Kawforest,Tachigali,melinonii,7.679,3.4,52.82,0.143,NA,0.2003,0.810048120127501,0.0588594108836745,0.19007052754202,1.16786054251955,0.0272125145614911,3.70962888999834,0.127103511399567,5.72503778946964,1.3687971451913,12.1573972374771,0.352483940755533,0,14.6779830254618,16.4472457979697,8.70444333499751,NA
498,Kawforest,Vouacapoua,americana,8.419,2.43,54.34,0.136,NA,0.1999,0.874700542578982,0.108752076038019,0.0899005836251459,1.36029247957312,0.124380523595131,2.45692179423045,0.278233283308321,3.50387728479624,0.958259470644413,15.093179923295,0.810372853093213,0,4.49174587293647,32.8333333333333,27.9689844922461,NA
499,Kawforest,Tachigali,melinonii,8.094,3.34,53.12,0.133,NA,0.2004,0.774713764778136,0.0653919161676647,0.349556520292748,1.37635961410512,0.0393995342648037,7.4590252827678,0.0600740186294078,6.2611031398741,0.391016308292506,8.66580172987359,0.383575515635396,0,16.3173652694611,25.892631403859,10.1771457085828,NA
500,Kawforest,Hymenopus,heteromorphus,8.09,1.14,52.93,0.114,NA,0.2004,0.464459273760172,0.163071556886228,0.102051530272788,1.87735761809714,0.0772638057218896,2.3906620093147,0.0936069527611444,3.27856820973438,16.030701438033,6.04604125083167,1.37938389886893,0,6.27245508982036,25.1665834996673,7.02594810379242,NA
501,Kawforest,Vouacapoua,americana,8.044,2.16,54.69,0.103,NA,0.2001,0.932297043785799,0.0494729635182409,0.0697207729468599,0.985619523571548,0.0511927369648509,1.61463601532567,0.191048642345494,4.79172948141314,0.428016832492845,8.00163251707479,1.22305114109612,0,5.25237381309345,17.588122605364,18.3408295852074,NA
502,Kawforest,Jacaranda,copaia,8.293,2.18,51.95,0.327,NA,0.2,0.494813192307692,0.2099477,0.0529556333333333,2.85611233333333,0.334218333333333,5.32394333333333,1.61334416666667,2.47712534615385,1.82917534090909,8.62813333333333,2.21077766666667,0,2.809,69.6944166666667,7.075,NA
503,Kawforest,Tachigali,melinonii,8.315,2.82,52.52,0.127,NA,0.2004,0.477907377552587,0.216015668662675,0.261981669993347,2.19272687957418,0.177613107119095,6.25643047238856,0.406780605455755,3.28904725165055,9.21069977469304,9.628875582169,3.09423419827013,0,8.88223552894212,36.6561044577512,9.06437125748503,NA
504,Kawforest,Jacaranda,copaia,8.054,2.51,51.2,0.396,NA,0.2,0.600763192307693,0.1311477,0.0306306333333333,4.10411233333333,0.123918333333333,4.96594333333333,0.771094166666667,2.65512534615385,4.39938117424242,14.9906333333333,1.50813766666667,0,4.4375,37.9119166666667,9.0975,NA
505,Kawforest,Virola,michelii,8.219,1.91,53.36,0.378,NA,0.2002,0.842420771536156,0.101346353646354,0.366239393939394,1.91070163170163,0.0541641691641692,8.17576756576757,0.355938228438228,6.84677856758626,8.37171612478431,12.5680652680653,3.94292973692974,0,19.4105894105894,58.4359806859807,20.8791208791209,NA
506,Kawforest,Jacaranda,copaia,7.82,3.11,53.18,0.297,NA,0.2003,1.15503064633819,0.137191912131802,0.0241743717756698,2.79691695789649,0.0459494092195041,3.68217007821601,1.00508653686137,5.12593644149161,12.9933478191803,11.5632884007322,2.14269362622733,0,9.49575636545182,29.6274754534864,14.6779830254618,NA
507,Kawforest,Iryanthera,sagotiana,7.958,1.59,54.13,0.181,NA,0.1995,0.831341546173125,0.159772130325815,0.0604567752715121,3.40512514619883,0.104680033416876,3.39292564745196,1.07728738512949,6.17907302872566,12.1828198906357,10.0507602339181,5.71382222222222,0,14.5213032581454,23.9818713450292,18.1553884711779,NA
508,Kawforest,Jacaranda,copaia,8.351,2.32,53.73,0.25,NA,0.2004,0.868526140027637,0.0799378243512974,0.017690252827678,2.70370492348636,0.037353626081171,3.71875582168995,1.50558300066534,3.45571391831721,6.58849418587068,13.9701929474385,1.05115535595476,0,5.81836327345309,24.2833499667332,9.43612774451098,NA
510,Kawforest,Jacaranda,copaia,8.232,2.26,53.74,0.19,NA,0.2002,0.860902290017675,0.0963013986013986,0.0146010323010323,2.59651581751582,0.0255377955377955,2.16927405927406,0.858235930735931,3.51086448167217,9.94817300124118,11.9711621711622,0.686376290376291,0,10.3346653346653,15.7661505161505,13.2367632367632,NA
511,Kawforest,Vouacapoua,americana,7.992,2.39,54.24,0.142,NA,0.2002,0.812450741566126,0.151121578421578,0.0813742590742591,1.1739383949384,0.100567765567766,1.92651681651682,0.13765651015651,5.97265269346039,5.85751366058184,11.9686646686647,2.3957668997669,0,11.7632367632368,22.4045121545122,30.1448551448551,NA
512,Kawforest,Vouacapoua,americana,7.708,2.21,57.64,0.149,NA,0.2002,0.894368823484208,0.122425274725275,0.0212094239094239,0.831281052281052,0.097021312021312,0.62032301032301,0.16727688977689,5.49313221393991,3.63866667423486,9.75337995337995,1.43582184482184,0,8.27172827172827,4.37903762903763,19.3556443556444,NA
513,Kawforest,Vouacapoua,americana,8.329,2.2,50.09,0.118,NA,0.1999,0.674925729442971,0.189577911044478,0.0376568049308679,1.41940263201732,0.223781442612027,1.34327169748459,1.3094394469432,3.49812628301234,2.37749659261278,5.8751957354656,1.63228152590372,0,3.72663668165917,17.6355988672331,16.4167916041979,NA
514,Kawforest,Jacaranda,copaia,7.886,1.65,53.62,0.282,Echantillon rebroyé,0.2001,0.485906145380382,0.315180290145073,0.0270241454060364,3.47284875771219,0.451544105386026,4.40414540603635,1.19269051192263,2.09417243237003,3.93860964573196,10.045656161414,2.91771152242788,0,1.90745372686343,35.9073703518426,6.22311155577789,NA
515,Kawforest,Vouacapoua,americana,8.168,2.72,53.1,0.135,NA,0.2002,1.3828803119957,0.0594382617382617,0.061244388944389,1.15245987345987,0.0286796536796537,1.89604728604729,0.0530910755910756,8.51011523092293,3.87539994096812,9.75837495837496,2.73040226440226,0,19.3656343656344,19.2651515151515,25.3096903096903,NA
516,Kawforest,Vouacapoua,americana,8.441,3.2,53.43,0.134,NA,0.2001,1.59996321070234,0.0450751624187906,0.0472520073296685,1.21200633016825,0.0247209728469099,1.24282192237215,0.0655613859736798,8.88418325452658,1.72274396892463,8.06410128269199,2.16947293020157,0,19.8850574712644,11.6061136098617,22.9135432283858,NA
517,Kawforest,Jacaranda,copaia,8.071,2.97,54.27,0.217,NA,0.1999,1.03084029304029,0.046388671679198,0.0159154218880535,2.52542589807853,0.0359883040935673,2.31422890559733,1.08079615705932,3.17606550992867,2.00104796081112,14.048253968254,1.0391104427736,0,9.26817042606516,21.696157059315,11.4385964912281,NA
518,Kawforest,Virola,michelii,8.157,2.53,53.85,0.56,NA,0.2002,1.23676319230769,0.0538977,0.0911056333333334,2.05411233333333,0.0260883333333333,4.1639433333333304,0.283794166666667,12.5186253461538,2.71617784090909,25.5131333333333,2.42162766666667,0,46.2975,24.8669166666667,22.27,NA
