DateField,Forest,Plot,SubPlot,idTree,FieldNbr,Habitat,Code,Genus,Species,fvfm,comment
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,474,Tachigali,melinonii,0.818,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,475,Tachigali,melinonii,0.789,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,476,Tachigali,melinonii,0.809,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,477,Poraqueiba,guianensis,0.806,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,478,Vouacapoua,americana,0.75,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,479,Iryanthera,sagotiana,0.822,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,480,Poraqueiba,guianensis,0.799,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,481,Hymenopus,heteromorphus,0.804,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,482,Poraqueiba,guianensis,0.805,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,483,Iryanthera,sagotiana,0.767,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,484,Hymenopus,heteromorphus,0.795,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,485,Licania,membranacea,0.823,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,486,Virola,michelii,0.749,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,487,Vouacapoua,americana,0.814,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,488,Poraqueiba,guianensis,0.782,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,489,Iryanthera,sagotiana,0.796,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,490,Chrysophyllum,prieurii,0.802,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,491,Poraqueiba,guianensis,0.802,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,492,Poraqueiba,guianensis,0.821,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,493,Virola,michelii,0.794,NA
2021-05-10T00:00:00Z,Kaw,Kaw,,NA,,TF,494,Bocoa,prouacensis,0.817,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,495,Hymenopus,heteromorphus,0.79,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,252169,,TF,496,Poraqueiba,guianensis,0.778,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,497,Tachigali,melinonii,0.798,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,252658,,TF,498,Vouacapoua,americana,0.831,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,499,Tachigali,melinonii,0.772,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,500,Hymenopus,heteromorphus,0.801,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,501,Vouacapoua,americana,0.806,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,252513,,TF,502,Jacaranda,copaia,0.83,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,252397,,TF,503,Tachigali,melinonii,0.82,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,504,Jacaranda,copaia,0.814,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,505,Virola,michelii,0.822,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,506,Jacaranda,copaia,0.803,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,507,Iryanthera,sagotiana,0.808,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,508,Jacaranda,melinonii,0.714,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,510,Jacaranda,melinonii,0.794,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,511,Vouacapoua,americana,0.815,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,512,Vouacapoua,americana,0.827,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,513,Vouacapoua,americana,0.789,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,514,Jacaranda,copaia,0.794,NA
2021-10-06T00:00:00Z,Kaw,Kaw,,NA,,TF,515,Vouacapoua,americana,0.801,NA
