Code,Forest,idTree,specCode,Species,Genus,Name,gmin.slope,Code_Meas_quality,R2,beta,Leaf_area,Vpsat.kPa_mean,VPD_mean,T.cels_mean,RH.perc_mean,t0,timeMeas_chosen.h,timeMeas_chosen.min,time_start,time_end,nMeas_chosen,nMeas_total,first_chosen_meas,last_chosen_meas,mass_start,mass_end,mass_Loss_Meas_chosen,file
474,Kaw,252041,Tac.mel,melinonii,Tachigali,Tachigali_melinonii,2.76048371855481,adj.PartofCurve,1,-2.05981413837558e-4,16.87,3.49613971582042,0.020477362150918,26.6571428571429,40.7142857142857,2021-10-05 14:50:08,2.75,165,2021-10-05 15:06:00,2021-10-05 17:51:00,7,9,2,8,0.2754,0.2421,0.0333,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Kaw/input/20211005_gmin.csv
475,Kaw,252055,Tac.mel,melinonii,Tachigali,Tachigali_melinonii,3.04535967708699,1,1,-1.99937823028796e-4,14.87,3.49887070526109,0.020440506184625,26.6714285714286,40.8571428571429,2021-10-05 14:55:18,2.71666666666667,163,2021-10-05 15:09:00,2021-10-05 17:52:00,7,9,2,8,0.2237,0.1908,0.0329,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Kaw/input/20211005_gmin.csv
476,Kaw,252075,Tac.mel,melinonii,Tachigali,Tachigali_melinonii,5.13298570855231,adj.PartofCurve,1,-2.3265369305617e-4,10.21,3.50158445590564,0.0205522986639284,26.6857142857143,40.5714285714286,2021-10-05 14:56:04,2.73333333333333,164,2021-10-05 15:12:00,2021-10-05 17:56:00,7,9,2,8,0.2228,0.1857,0.0371,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Kaw/input/20211005_gmin.csv
477,Kaw,252028,Tac.mel,guianensis,Poraqueiba,Poraqueiba_guianensis,1.77593143768691,1,1,-8.41296080887613e-4,103.55,3.52910795577373,0.0211796518144577,26.82,39.2,2021-10-05 14:58:01,2,120,2021-10-05 15:57:00,2021-10-05 17:57:00,5,9,4,8,2.512,2.4106,0.1014,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Kaw/input/20211005_gmin.csv
478,Kaw,252488,Tac.mel,americana,Vouacapoua,Vouacapoua_americana,2.50771721295718,1,1,-1.94774191060203e-4,17.33,3.51037059141722,0.0207491607104233,26.7285714285714,40.1428571428571,2021-10-05 14:58:41,2.73333333333333,164,2021-10-05 15:13:00,2021-10-05 17:57:00,7,9,2,8,0.3063,0.2741,0.0322,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Kaw/input/20211005_gmin.csv
479,Kaw,252192,Tac.mel,sagotiana,Iryanthera,Iryanthera_sagotiana,1.26023907659308,1,1,-2.29812553124858e-4,39.6,3.52910795577373,0.0213192473677204,26.82,38.8,2021-10-05 14:59:09,2,120,2021-10-05 15:58:00,2021-10-05 17:58:00,5,9,4,8,0.9458,0.9181,0.0276999999999999,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Kaw/input/20211005_gmin.csv
480,Kaw,252197,Tac.mel,guianensis,Poraqueiba,Poraqueiba_guianensis,2.32189197675884,1,1,-9.43457590971697e-4,88.63,3.52493033833301,0.0212249107059012,26.8,39,2021-10-05 15:00:50,2,120,2021-10-05 15:59:00,2021-10-05 17:59:00,5,9,4,8,2.2244,2.1118,0.1126,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Kaw/input/20211005_gmin.csv
481,Kaw,252485,Tac.mel,heteromorphus,Hymenopus,Hymenopus_heteromorphus,19.5389789945265,rapid_weight_loss,1,-0.00152745985491971,17.61,3.50777819916946,0.0205520350400849,26.7166666666667,40.6666666666667,2021-10-05 15:02:29,2.21666666666667,133,2021-10-05 15:19:00,2021-10-05 17:32:00,6,9,2,7,0.5758,0.3775,0.1983,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Kaw/input/20211005_gmin.csv
482,Kaw,252326,Tac.mel,guianensis,Poraqueiba,Poraqueiba_guianensis,2.4321646939381,1,0.99,-7.80820675583772e-4,70.11,3.52083752653423,0.0211994506258909,26.78,39,2021-10-05 15:03:27,1.98333333333333,119,2021-10-05 16:03:00,2021-10-05 18:02:00,5,9,4,8,1.7707,1.6786,0.0920999999999998,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Kaw/input/20211005_gmin.csv
483,Kaw,252541,Tac.mel,sagotiana,Iryanthera,Iryanthera_sagotiana,1.4610425151054,1,1,-2.36341925018024e-4,36.16,3.50437266815276,0.0207107459734872,26.7,40.1428571428571,2021-10-05 15:04:05,2.71666666666667,163,2021-10-05 15:20:00,2021-10-05 18:03:00,7,9,2,8,0.8726,0.833,0.0396000000000001,C:/Users/marion.boisseaux/Dropbox/Mon PC (Jaboty20)/Documents/METRADICA/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Kaw/input/20211005_gmin.csv
