Code,Genus,Species,Name,Comment_bis,Count,ImageResolution,X10_echelle,X20_echelle,x40_echelle,StomataDensity,Comment,SD
494,Bocoa,prouacensis,Bocoa prouacensis,20,45,1392x1040,0.9408,0.2352,0.0588,191.3265306,,191.3265306122449
529,Bocoa,prouacensis,Bocoa prouacensis,20,50,1392x1040,NA,0.2352,NA,212.585034,,212.58503401360545
587,Bocoa,prouacensis,Bocoa prouacensis,20,34,1392x1040,NA,0.2352,NA,144.5578231,,144.55782312925172
559,Carapa,guianensis,Carapa guianensis,40,63,1392x1040,NA,NA,0.0588,1071.428571,,1071.4285714285716
562,Carapa,guianensis,Carapa guianensis,20,165,1392x1040,NA,0.2352,NA,701.5306122,,701.530612244898
571,Carapa,guianensis,Carapa guianensis,40,76,1392x1040,NA,NA,0.0588,1292.517007,,1292.5170068027212
607,Carapa,guianensis,Carapa guianensis,40,61,1392x1040,NA,NA,0.0588,1037.414966,,1037.4149659863947
608,Carapa,guianensis,Carapa guianensis,20,203,1392x1040,NA,0.2352,NA,863.0952381,,863.0952380952381
609,Carapa,guianensis,Carapa guianensis,20,223,1392x1040,NA,0.2352,NA,948.1292517,,948.1292517006804
616,Carapa,guianensis,Carapa guianensis,20,175,1392x1040,NA,0.2352,NA,744.047619,,744.047619047619
490,Chrysophyllum,prieurii,Chrysophyllum prieurii,20,41,1392x1040,NA,0.2352,NA,174.3197279,,174.31972789115648
629,Eperua,falcata,Eperua falcata,20,208,1392x1040,NA,0.2352,NA,884.3537415,,884.3537414965987
630,Eperua,falcata,Eperua falcata,20,146,1392x1040,NA,0.2352,NA,620.7482993,,620.748299319728
631,Eperua,falcata,Eperua falcata,20,138,1392x1040,NA,0.2352,NA,586.7346939,,586.7346938775511
632,Eperua,falcata,Eperua falcata,20,112,1392x1040,NA,0.2352,NA,476.1904762,,476.1904761904762
634,Eperua,falcata,Eperua falcata,20,163,1392x1040,NA,0.2352,NA,693.0272109,,693.0272108843537
635,Eperua,falcata,Eperua falcata,20,161,1392x1040,NA,0.2352,NA,684.5238095,,684.5238095238095
636,Eperua,falcata,Eperua falcata,20,138,1392x1040,NA,0.2352,NA,586.7346939,,586.7346938775511
637,Eperua,falcata,Eperua falcata,20,143,1392x1040,NA,0.2352,NA,607.9931973,,607.9931972789116
638,Eperua,falcata,Eperua falcata,20,152,1392x1040,NA,0.2352,NA,646.2585034,,646.2585034013606
639,Eperua,falcata,Eperua falcata,20,148,1392x1040,NA,0.2352,NA,629.2517007,,629.2517006802722
585,Eschweilera,coriacea,Eschweilera coriacea,20,152,1392x1040,NA,0.2352,NA,646.2585034,,646.2585034013606
586,Eschweilera,coriacea,Eschweilera coriacea,20,78,1392x1040,NA,0.2352,NA,331.6326531,il y en a juste moins ,331.6326530612245
591,Eschweilera,coriacea,Eschweilera coriacea,20,145,1392x1040,NA,0.2352,NA,616.4965986,,616.4965986394558
592,Eschweilera,coriacea,Eschweilera coriacea,20,123,1392x1040,NA,0.2352,NA,522.9591837,,522.9591836734694
593,Eschweilera,coriacea,Eschweilera coriacea,20,158,1392x1040,NA,0.2352,NA,671.7687075,,671.7687074829932
595,Eschweilera,coriacea,Eschweilera coriacea,20,114,1392x1040,NA,0.2352,NA,484.6938776,,484.6938775510204
596,Eschweilera,coriacea,Eschweilera coriacea,20,143,1392x1040,NA,0.2352,NA,607.9931973,,607.9931972789116
597,Eschweilera,coriacea,Eschweilera coriacea,20,158,1392x1040,NA,0.2352,NA,671.7687075,,671.7687074829932
598,Eschweilera,coriacea,Eschweilera coriacea,20,125,1392x1040,NA,0.2352,NA,531.462585,,531.4625850340136
599,Eschweilera,coriacea,Eschweilera coriacea,20,99,1392x1040,NA,0.2352,NA,420.9183673,,420.9183673469388
526,Gustavia,hexapetala,Gustavia hexapetala,20,68,1392x1040,NA,0.2352,NA,289.1156463,,289.11564625850343
584,Gustavia,hexapetala,Gustavia hexapetala,20,61,1392x1040,NA,0.2352,NA,259.3537415,,259.3537414965987
588,Gustavia,hexapetala,Gustavia hexapetala,20,78,1392x1040,NA,0.2352,NA,331.6326531,,331.6326530612245
589,Gustavia,hexapetala,Gustavia hexapetala,20,85,1392x1040,NA,0.2352,NA,361.3945578,,361.3945578231293
590,Gustavia,hexapetala,Gustavia hexapetala,20,79,1392x1040,NA,0.2352,NA,335.8843537,,335.8843537414966
481,Hymenopus,heteromorphus,Hymenopus heteromorphus,20,45,1392x1040,NA,0.2352,NA,191.3265306,,191.3265306122449
484,Hymenopus,heteromorphus,Hymenopus heteromorphus,20,76,1392x1040,NA,0.2352,NA,323.1292517,,323.1292517006803
495,Hymenopus,heteromorphus,Hymenopus heteromorphus,20,55,1392x1040,NA,0.2352,NA,233.8435374,,233.843537414966
500,Hymenopus,heteromorphus,Hymenopus heteromorphus,20,55,1392x1040,NA,0.2352,NA,233.8435374,,233.843537414966
601,Hymenopus,heteromorphus,Hymenopus heteromorphus,20,44,1392x1040,NA,0.2352,NA,187.0748299,,187.0748299319728
602,Hymenopus,heteromorphus,Hymenopus heteromorphus,20,115,1392x1040,0.9408,0.2352,0.0588,488.9455782,semble echelle diff,488.94557823129253
604,Hymenopus,heteromorphus,Hymenopus heteromorphus,20,118,1392x1040,0.9408,0.2352,0.0588,501.7006803,semble echelle diff,501.70068027210885
519,Hymenopus,heteromorphus,Hymenopus heteromorphus,20,129,1392x1040,0.9408,0.2352,0.0588,548.4693878,semble echelle diff,548.469387755102
489,Iryanthera,sagotiana,Iryanthera sagotiana,20,38,1392x1040,NA,0.2352,NA,161.5646259,,161.56462585034015
520,Iryanthera,sagotiana,Iryanthera sagotiana,20,33,1392x1040,NA,0.2352,NA,140.3061224,,140.3061224489796
521,Iryanthera,sagotiana,Iryanthera sagotiana,20,34,1392x1040,NA,0.2352,NA,144.5578231,,144.55782312925172
522,Iryanthera,sagotiana,Iryanthera sagotiana,10,36,1392x1040,NA,0.2352,NA,153.0612245,ce n'est pas a x20 mais x10 je pense,153.06122448979593
578,Iryanthera,sagotiana,Iryanthera sagotiana,20,47,1392x1040,NA,0.2352,NA,199.829932,,199.82993197278913
581,Iryanthera,sagotiana,Iryanthera sagotiana,20,123,1392x1040,NA,0.2352,NA,522.9591837,tres bizarre,522.9591836734694
582,Iryanthera,sagotiana,Iryanthera sagotiana,20,42,1392x1040,NA,0.2352,NA,178.5714286,,178.57142857142858
645,Iryanthera,hostmannii,Iryanthera hostmannii,20,69,1392x1040,NA,0.2352,NA,293.3673469,,293.36734693877554
646,Iryanthera,hostmannii,Iryanthera hostmannii,20,63,1392x1040,NA,0.2352,NA,267.8571429,,267.8571428571429
647,Iryanthera,hostmannii,Iryanthera hostmannii,20,73,1392x1040,NA,0.2352,NA,310.3741497,,310.374149659864
648,Iryanthera,hostmannii,Iryanthera hostmannii,20,63,1392x1040,NA,0.2352,NA,267.8571429,,267.8571428571429
649,Iryanthera,hostmannii,Iryanthera hostmannii,20,49,1392x1040,NA,0.2352,NA,208.3333333,,208.33333333333334
650,Iryanthera,hostmannii,Iryanthera hostmannii,20,33,1392x1040,NA,0.2352,NA,140.3061224,"pas super belle, peu de stomates car flou on one side",140.3061224489796
