CodeFTH,Code,DateField,Forest,Plot,SubPlot,idTree,FieldNbr,Habitat,Type,Genus,Species,Name,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,gmin,tlp,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA,N,C,P,Ca,Na,K,LSWC,SD,fvfm
1,657,13/09/2021,Paracou,16,15,158148,320,BF,BF,Virola,surinamensis,Virola surinamensis,25,5,25,5,Sup,2.58540498597349,-1.7836000000000003,0.2905194415,2.0413410855,7.899904031,10.231764555000002,1.48,52.23,NA,NA,NA,NA,0.5940814320451135,NA,0.69
2,658,13/09/2021,Paracou,16,15,205438,"2,745",BF,Generalists,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,20,5,20,5,Sup,1.59265809017516,-1.66375,0.3719497855,1.727143786,5.0028540345,7.1019476059999995,3.22,52.49,NA,NA,NA,NA,0.7413448735019974,403.8461538,0.82
3,659,13/09/2021,Paracou,16,15,191854,"2,727",BF,BF,Virola,surinamensis,Virola surinamensis,18,4,18,4,Sup,4.0853083236195,-1.67174,0.3362161005,2.3390351794999997,4.202140566,6.8773918465,1.63,53,0.864638257297932,4.35421955824724,0.0437914588528678,12.1781953645299,0.6368673114846464,NA,0.822
4,660,13/09/2021,Paracou,16,15,157940,106,TF,TF,Gustavia,hexapetala,Gustavia hexapetala,10,1,8,2,Inf,NA,-2.1571325000000003,0.2087367855,1.025092304,2.2559547005000002,3.4897837899999997,2.27,47.55,0.608995355263545,10.2937082530163,0.858501686656672,8.33447361613311,0.7206614223791941,211.5384615,0.87
5,661,13/09/2021,Paracou,16,14,157726,413,TF,TF,Casearia,javitensis,Casearia javitensis,8,3,5,2,Inf,1.41609762073037,-2.2010775000000002,0.1864003505,0.7985613199999999,2.3295044625,3.314466133,1.57,51.3,0.530473668769253,5.12105247595298,0.0548438279301746,3.55001581340766,0.5706505653229148,189.1025641,0.886
9,662,13/09/2021,Paracou,16,14,157691,378,BF,BF,Virola,surinamensis,Virola surinamensis,28,4,25,3,Inf,3.13551357200859,-1.6977075000000001,0.393814584,2.385642372,7.0452718715,9.8247288265,2.09,50.6,1.08679985294118,10.3588551071429,0.0350509375,10.2186408529412,0.6364446821788358,NA,0.803
11,663,13/09/2021,Paracou,16,15,158037,205,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,28,4,24,3,Mid,2.12360190601416,-2.6245475000000003,0.1532269385,1.0920435605,3.8558180525,5.101088551,2.2,53.23,0.758299852941176,5.27385510714286,0.1898809375,5.39864085294118,0.5400124596477318,282.0512821,0.808
12,664,13/09/2021,Paracou,16,15,158036,204,BF,BF,Laetia,procera,Laetia procera,33,5,33,5,Sup,7.08029034475951,-1.8754850000000003,0.2415349095,1.6954326124999999,5.026129492000001,6.9630970145,2.78,54.14,1.11841827121239,2.783888996139,1.02345439189189,5.95960045339457,0.615300843996733,353.5353535,0.791
13,665,13/09/2021,Paracou,16,16,158450,101,TF,Generalists,Protium,stevensonii,Protium stevensonii,28,4,26,4,Sup,4.78421055698468,-1.9374075000000002,0.4048894245,2.442340123,4.751638614,7.5988681615,1.22,46.88,0.55440867028174,1.98732976667621,0.124079095691383,10.7701812153719,0.5374691984345558,269.2307692,0.8150000000000001
15,666,13/09/2021,Paracou,16,16,158485,136,TF,Generalists,Protium,stevensonii,Protium stevensonii,25,3,22,3,Inf,8.07774938895294,-2.1691175000000005,0.3964066995,1.8279883445,3.4781953315000003,5.702590376,1.08,41.31,0.497344542025227,3.01112736186659,0.567566069639279,4.50239564422964,0.4472016328284456,525.6410256,0.8150000000000001
