Code,Site,Genus,Species,Weight_mg_CNS,%N,%C,%S,Remark Sample,Weight_g_trace,P (g/kg),Fe (g/kg),Mn (g/kg),Mg (g/kg),Al (g/kg),Ca (g/kg),Na (g/kg),K (g/kg),Cr (mg/kg),Cu (mg/kg),Ni (mg/kg),Pb (mg/kg),Rb (mg/kg),Sr (mg/kg),Zn (mg/kg),Commentaires
657,FTH.Paracou,Virola,surinamensis,8.147,1.48,52.23,0.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
658,FTH.Paracou,Jacaranda,copaia subsp. copaia,8.13,3.22,52.49,0.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,FTH.Paracou,Virola,surinamensis,8.29,1.63,53,0.148,NA,0.2005,0.864638257297932,0.0583307730673317,0.0644007758381823,3.64354678927681,0.026168744804655,4.35421955824724,0.0437914588528678,12.1781953645299,2.54736882793017,9.56816292601829,0.531183509975063,0,73.8154613466334,33.6334164588529,11.6259351620948,NA
660,FTH.Paracou,Gustavia,hexapetala,7.977,2.27,47.55,0.244,NA,0.2001,0.608995355263545,0.127387906046977,0.0453141207174191,8.71979575837082,0.116186073629852,10.2937082530163,0.858501686656672,8.33447361613311,2.95165892053973,4.40488089288689,1.14986153798101,0,42.9910044977511,233.983008495752,13.7781109445277,NA
661,FTH.Paracou,Casearia,javitensis,8.248,1.57,51.3,0.114,NA,0.2005,0.530473668769253,0.0664604488778055,0.0477075090052646,1.72633980673317,0.052163757273483,5.12105247595298,0.0548438279301746,3.55001581340766,1.12417431421446,5.73773898586866,0.259976527431421,0,15.6658354114713,68.927680798005,11.356608478803,NA
662,FTH.Paracou,Virola,surinamensis,8.176,2.09,50.6,0.16,NA,0.2,1.08679985294118,0.0498266,0.129061777777778,2.71665565625,0.0260391666666667,10.3588551071429,0.0350509375,10.2186408529412,0.98472475,8.00208333333333,0.52261146875,0,56.45,89.7,11.49,NA
663,FTH.Paracou,Chrysophyllum,prieurii,8.237,2.2,53.23,0.133,NA,0.2,0.758299852941176,0.0381116,0.0121867777777778,1.26615565625,0.0232791666666667,5.27385510714286,0.1898809375,5.39864085294118,0.45546475,7.46708333333333,0.32088646875,0,15.325,75.35,5.52,NA
664,FTH.Paracou,Laetia,procera,8.003,2.78,54.14,0.187,NA,0.1998,1.11841827121239,0.0581097097097097,0.0336404181959738,1.76992558183183,0.0256698365031698,2.783888996139,1.02345439189189,5.95960045339457,1.68451426426426,8.44552886219553,0.29003150025025,0,20.6306306306306,46.5965965965966,17.027027027027,NA
665,FTH.Paracou,Protium,stevensonii,8.053,1.22,46.88,0.138,Echantillon rebroyé,0.1996,0.55440867028174,0.101755110220441,0.0752623023825429,2.10536638902806,0.0247035738142953,1.98732976667621,0.124079095691383,10.7701812153719,12.7033815130261,4.83675684702739,3.47467081037074,0,46.3677354709419,20.0551102204409,11.9038076152305,NA
666,FTH.Paracou,Protium,stevensonii,8.115,1.08,41.31,0.102,NA,0.1996,0.497344542025227,0.109345290581162,0.169074927633044,1.56228021668337,0.126346860387442,3.01112736186659,0.567566069639279,4.50239564422964,1.91193862725451,3.02162658650635,1.67625898672345,0,12.1142284569138,39.8822645290581,5.15731462925852,NA
667,FTH.Paracou,Conceveiba,guianensis,8.424,2.05,52.64,0.127,NA,0.2001,0.803897903989182,0.120666266866567,0.0511861846854351,3.74378376436782,0.118384974179577,11.5780660741058,0.14515835832084,2.64556806890672,1.26004472763618,4.77969348659004,0.824943996751624,0,4.19640179910045,97.8510744627686,6.23938030984508,NA
668,FTH.Paracou,Tachigali,melinonii,8.031,2.6,51.04,0.114,NA,0.2003,0.624862559102523,0.139991612581128,0.175448604870472,1.88333066025961,0.11756781494425,9.78417883888453,0.1151582001997,3.04107923409004,3.50947304043934,5.46888001331336,1.20960705816276,0,16.3205192211682,60.7588617074388,8.39241138292561,NA
669,FTH.Paracou,Chrysophyllum,prieurii,8.379,1.82,48.61,0.11,NA,0.2001,0.795402151865244,0.061495852073963,0.0189373091232162,1.76177476886557,0.0270756288522406,6.11079970728921,0.482339767616192,4.25651259664286,2.51093178410795,5.36939863401633,0.327332802348826,0,24.3953023488256,81.5592203898051,4.36631684157921,NA
670,FTH.Paracou,Protium,stevensonii,8.09,1.21,48.08,0.168,Echantillon rebroyé,0.2,0.495149852941177,0.1112766,0.352211777777778,3.51515565625,0.103594166666667,4.57560510714286,0.8649309375,3.81264085294118,10.50984975,1.35158333333333,2.43555146875,0,15.685,54.725,6.8325,NA
671,FTH.Paracou,Jacaranda,copaia subsp. copaia,7.751,2.6,51.86,0.311,Echantillon rebroyé,0.2001,0.681459123379487,0.389931634182909,0.0299368093730912,5.12409360944528,0.533527402965184,5.1212944599129004,1.03191498000999,3.23652259164535,6.38718115942029,4.24995835415626,2.23922685532234,0,12.2738630684658,54.3978010994503,9.77011494252874,NA
672,FTH.Paracou,Protium,stevensonii,8.256,1.24,42.98,0.139,Echantillon rebroyé,0.2005,0.451720551562271,0.0995527182044888,0.1070940426711,1.74529242518703,0.073510390689941807,2.53052878517991,0.749058291770574,7.74428015255978,9.18152094763092,3.83748960931006,4.0501760286783,0,18.5885286783042,34.5885286783042,5.50623441396509,NA
673,FTH.Paracou,Casearia,javitensis,7.889,1.66,54.2,0.116,NA,0.2001,0.426886409736308,0.0609461269365318,0.0328253650952302,2.20205462893553,0.0651615858737298,5.92089465981295,0.112324775112444,2.43742214187024,1.09704622688656,7.07854406130268,0.62777757996002,0,7.36131934032984,103.398300849575,8.29085457271364,NA
674,FTH.Paracou,Casearia,javitensis,8.219,1.6,50.7,0.118,NA,0.2001,0.453872916482935,0.078712243878061,0.0339248153700927,2.37896617316342,0.100693819756788,6.39565727850361,0.166697588705647,2.81423373607314,1.62709620189905,7.61827419623522,0.574839049225387,0,10.1799100449775,96.8515742128936,14.0029985007496,NA
675,FTH.Paracou,Virola,michelii,8.26,2.3,51.95,0.263,NA,0.1998,0.58938924218336,0.0936202202202202,0.177489267044823,3.79495060685686,0.110154320987654,6.76562072787073,1.49342436186186,3.77566651946064,2.01353578578579,7.43451785118452,2.5906821509009,0,14.97997997998,71.5715715715716,15.005005005005,NA
