CodeFTH,Code,idTree,Plot,SubPlot,FieldNbr,Genus,Species,Habitat,Type,gmin.slope,Code_Meas_quality,R2,beta,Leaf_area,Vpsat.kPa_mean,VPD_mean,T.cels_mean,RH.perc_mean,t0,timeMeas_chosen.h,timeMeas_chosen.min,time_start,time_end,nMeas_chosen,nMeas_total,first_chosen_meas,last_chosen_meas,mass_start,mass_end,mass_Loss_Meas_chosen,file
1,657,158148,16,15,320,Virola,surinamensis,BF,BF,2.58540498597349,1,1,-6.8884431310338e-4,53.96302715,3.83618172699713,0.0228582216690081,28.2428571428571,39.6142857142857,2021-09-13 16:17:04,2.6875,161.25,2021-09-13 16:36:00,2021-09-13 19:17:15,7,9,2,8,1.8389,1.7267,0.1122,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210914.csv
2,658,205438,16,15,2745,Jacaranda,copaia,BF,Generalists,1.59265809017516,1,1,-1.5152442579147e-4,19.1996491,3.86735318564399,0.0229410373665671,28.3833333333333,39.9166666666667,2021-09-13 16:21:08,2.46861111111111,148.116666666667,2021-09-13 16:52:34,2021-09-13 19:20:41,6,9,3,8,0.3549,0.3323,0.0226,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210914.csv
3,659,191854,16,15,2727,Virola,surinamensis,BF,BF,4.0853083236195,1,1,-8.6542890093514e-4,42.49845331,3.90668620827128,0.0230770175156093,28.56,40.18,2021-09-13 16:24:50,1.99444444444444,119.666666666667,2021-09-13 17:24:48,2021-09-13 19:24:28,5,9,4,8,1.3193,1.2156,0.1037,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210914.csv
5,661,157726,16,14,413,Casearia,javitensis,TF,TF,1.41609762073037,1,1,-7.5186608719386e-4,106.6724883,3.8553782355893,0.0230431117732907,28.3285714285714,39.4428571428571,2021-09-13 16:28:25,2.74722222222222,164.833333333333,2021-09-13 16:43:52,2021-09-13 19:28:42,7,9,2,8,1.7485,1.6243,0.1242,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210914.csv
9,662,157691,16,14,378,Virola,surinamensis,BF,BF,3.13551357200859,1,1,-4.8294166518471e-4,30.87106729,3.86792249094273,0.0230983306928629,28.3857142857143,39.5142857142857,2021-09-13 16:41:26,2.73388888888889,164.033333333333,2021-09-13 16:57:11,2021-09-13 19:41:13,7,9,2,8,0.8809,0.8005,0.0804,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210914.csv
11,663,158037,16,15,205,Chrysophyllum,prieurii,BF,Generalists,2.12360190601416,1,1,-0.00111560343800818,105.4075513,3.87094991327693,0.0230733823006501,28.4,39.6285714285714,2021-09-13 16:45:30,2.70666666666667,162.4,2021-09-13 17:02:53,2021-09-13 19:45:17,7,9,2,8,2.9488,2.7655,0.1833,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210914.csv
12,664,158036,16,15,204,Laetia,procera,BF,BF,7.08029034475951,1,1,-0.00174265830454482,49.90893244,3.86714720141417,0.022831221181842,28.3833333333333,40.2,2021-09-13 16:50:24,2.16444444444444,129.866666666667,2021-09-13 17:06:20,2021-09-13 19:16:12,6,9,2,7,1.3834,1.1577,0.2257,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210914.csv
13,665,158450,16,16,101,Protium,stevensonii,TF,Generalists,4.78421055698468,adj.PartofCurve,0.97,-5.4493799115913e-4,22.97102009,3.63415259033781,0.0229563463568898,27.32,36,2021-09-14 15:09:54,1.73333333333333,104,2021-09-14 15:26:00,2021-09-14 17:10:00,5,9,2,6,0.4562,0.3995,0.0567,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210915.csv
15,666,158485,16,16,136,Protium,stevensonii,TF,Generalists,8.07774938895294,1,1,-0.00102871767241379,25.64072997,3.67284368294152,0.0229943792188812,27.5,36.5571428571429,2021-09-14 15:15:49,2.73333333333333,164,2021-09-14 15:32:00,2021-09-14 18:16:00,7,9,2,8,0.714,0.5448,0.1692,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210915.csv
16,667,158574,16,16,226,Conceveiba,guianensis,TF,Generalists,2.87898153745188,1,1,-7.7062198025592e-4,53.91018956,3.66979804493969,0.02298676745176,27.4857142857143,36.5285714285714,2021-09-14 15:16:43,2.73333333333333,164,2021-09-14 15:32:00,2021-09-14 18:16:00,7,9,2,8,1.0879,0.9595,0.1284,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210915.csv
21,668,156021,16,11,403,Tachigali,melinonii,BF,Generalists,5.30870964803099,1,1,-5.5803125678315e-4,21.19224844,3.66859206051941,0.0229635361035562,27.48,36.58,2021-09-14 15:22:08,1.8,108,2021-09-14 16:04:00,2021-09-14 17:52:00,5,9,3,7,0.3646,0.3042,0.0604,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210915.csv
24,669,158903,16,16,556,Chrysophyllum,prieurii,BF,Generalists,1.67534251323079,1,1,-6.6059158866977e-4,79.66185681,3.67601443318692,0.022915284532591,27.5142857142857,36.8285714285714,2021-09-14 15:25:17,2.73333333333333,164,2021-09-14 15:40:00,2021-09-14 18:24:00,7,9,2,8,2.1167,2.0091,0.1076,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210915.csv
31,671,246993,16,17,2799,Jacaranda,copaia,BF,Generalists,8.77999420759449,adj.PartofCurve,1,-8.379497387778e-4,19.297411,3.67601443318692,0.0228965971313616,27.5142857142857,36.8857142857143,2021-09-14 15:30:45,2.65,159,2021-09-14 15:48:00,2021-09-14 18:27:00,7,9,2,8,0.4237,0.2942,0.1295,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210915.csv
38,672,150153,16,1,215,Protium,stevensonii,TF,Generalists,8.34442590828016,1,1,-0.00165426088865351,40.51806413,3.60471695390313,0.0226519242409716,27.18,36.32,2021-09-15 16:09:05,1.49861111111111,89.9166666666667,2021-09-15 16:09:05,2021-09-15 17:39:00,5,9,1,5,1.0162,0.8629,0.1533,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210916.csv
41,673,153081,16,6,286,Casearia,javitensis,TF,TF,2.34127916801582,1,1,-8.5274124068463e-4,73.72833793,3.66086224041485,0.0228705111631448,27.4428571428571,36.7,2021-09-15 16:15:48,2.73333333333333,164,2021-09-15 16:31:00,2021-09-15 19:15:00,7,9,2,8,1.3266,1.1849,0.1417,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210916.csv
43,674,153135,16,6,340,Casearia,javitensis,TF,TF,3.89786677079527,1,1,-0.00116412927840346,61.06561628,3.658852122297,0.0226424660740361,27.4333333333333,37.3,2021-09-15 16:23:23,2.25,135,2021-09-15 16:38:00,2021-09-15 18:53:00,6,9,2,7,0.8494,0.6927,0.1567,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210916.csv
44,675,153255,16,6,460,Virola,michelii,BF,Generalists,2.50988076130936,1,1,-4.0085019554497e-4,31.98624651,3.72124612828129,0.0231159623844741,27.725,37.075,2021-09-15 16:24:57,1.48333333333333,89,2021-09-15 17:55:00,2021-09-15 19:24:00,4,9,5,8,0.4236,0.3882,0.0354,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210916.csv
47,676,153190,16,6,395,Chrysophyllum,prieurii,BF,Generalists,2.23687087999926,1,1,-3.3533333333333e-4,30.13055214,3.72015269298672,0.0230342973508298,27.72,37.28,2021-09-15 16:30:42,2,120,2021-09-15 17:30:00,2021-09-15 19:30:00,5,9,4,8,0.806,0.7658,0.0402,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210916.csv
49,677,151265,16,3,103,Chrysophyllum,prieurii,BF,Generalists,1.94082884380204,1,1,-9.2e-4,95.2798674,3.7115155276651,0.0230327447233138,27.68,37.14,2021-09-15 16:34:43,2,120,2021-09-15 17:31:00,2021-09-15 19:31:00,5,9,4,8,2.2743,2.1638,0.1105,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210916.csv
58,678,205242,16,5,2730,Virola,michelii,BF,Generalists,4.20822978297954,1,1,-6.1832312764955e-4,29.71190378,3.72124612828129,0.0228945343187948,27.725,37.675,2021-09-15 16:54:11,1.55,93,2021-09-15 17:54:00,2021-09-15 19:27:00,4,10,5,8,0.6354,0.5779,0.0575,D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/FTH/Gmin_20210916.csv
