CodeFTH,Code,DateField,Forest,Plot,SubPlot,idTree,FieldNbr,Habitat,Type,Genus,Species,Name,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition
1,657,13/09/2021,Paracou,16,15,158148,320,BF,BF,Virola,surinamensis,Virola surinamensis,25,5,25,5,Sup
2,658,13/09/2021,Paracou,16,15,205438,"2,745",BF,Generalists,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,20,5,20,5,Sup
3,659,13/09/2021,Paracou,16,15,191854,"2,727",BF,BF,Virola,surinamensis,Virola surinamensis,18,4,18,4,Sup
4,660,13/09/2021,Paracou,16,15,157940,106,TF,TF,Gustavia,hexapetala,Gustavia hexapetala,10,1,8,2,Inf
5,661,13/09/2021,Paracou,16,14,157726,413,TF,TF,Casearia,javitensis,Casearia javitensis,8,3,5,2,Inf
9,662,13/09/2021,Paracou,16,14,157691,378,BF,BF,Virola,surinamensis,Virola surinamensis,28,4,25,3,Inf
11,663,13/09/2021,Paracou,16,15,158037,205,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,28,4,24,3,Mid
12,664,13/09/2021,Paracou,16,15,158036,204,BF,BF,Laetia,procera,Laetia procera,33,5,33,5,Sup
13,665,13/09/2021,Paracou,16,16,158450,101,TF,Generalists,Protium,stevensonii,Protium stevensonii,28,4,26,4,Sup
15,666,13/09/2021,Paracou,16,16,158485,136,TF,Generalists,Protium,stevensonii,Protium stevensonii,25,3,22,3,Inf
16,667,13/09/2021,Paracou,16,16,158574,226,TF,Generalists,Conceveiba,guianensis,Conceveiba guianensis,10,3,10,3,Inf
21,668,13/09/2021,Paracou,16,11,156021,403,BF,Generalists,Tachigali,melinonii,Tachigali melinonii,25,5,25,5,Inf
24,669,13/09/2021,Paracou,16,16,158903,556,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,26,5,26,5,Sup
30,670,13/09/2021,Paracou,16,17,159252,273,BF,Generalists,Protium,stevensonii,Protium stevensonii,25,4,19,3,Sup
31,671,13/09/2021,Paracou,16,17,246993,"2,799",BF,Generalists,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,15,5,15,5,Sup
38,672,13/09/2021,Paracou,16,1,150153,215,TF,Generalists,Protium,stevensonii,Protium stevensonii,17,3,15,3,Inf
41,673,13/09/2021,Paracou,16,6,153081,286,TF,TF,Casearia,javitensis,Casearia javitensis,10,3,9,4,Inf
43,674,13/09/2021,Paracou,16,6,153135,340,TF,TF,Casearia,javitensis,Casearia javitensis,8,2,5,3,Inf
44,675,13/09/2021,Paracou,16,6,153255,460,BF,Generalists,Virola,michelii,Virola michelii,20,3,17,2,Inf
47,676,13/09/2021,Paracou,16,6,153190,395,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,30,5,26,3,Inf
49,677,13/09/2021,Paracou,16,3,151265,103,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,30,4,30,4,Sup
58,678,13/09/2021,Paracou,16,5,205242,"2,730",BF,Generalists,Virola,michelii,Virola michelii,13,2,12,3,Mid
60,679,13/09/2021,Paracou,16,22,162848,396,TF,Generalists,Conceveiba,guianensis,Conceveiba guianensis,15,2,15,3,Sup
63,680,13/09/2021,Paracou,16,21,161595,122,BF,Generalists,Protium,stevensonii,Protium stevensonii,17,4,15,3,Mid
65,681,13/09/2021,Paracou,16,21,161834,364,BF,BF,Virola,surinamensis,Virola surinamensis,17,4,15,3,Mid
67,682,13/09/2021,Paracou,16,21,162095,625,BF,BF,Virola,surinamensis,Virola surinamensis,17,4,15,3,Mid
69,683,13/09/2021,Paracou,16,18,159754,77,BF,Generalists,Virola,michelii,Virola michelii,17,4,14,3,Inf
70,684,13/09/2021,Paracou,16,25,164281,50,BF,Generalists,Virola,michelii,Virola michelii,20,3,15,3,Inf
75,685,13/09/2021,Paracou,16,19,160658,438,TF,Generalists,Protium,stevensonii,Protium stevensonii,30,5,28,5,Mid
77,686,13/09/2021,Paracou,16,10,155518,444,BF,Generalists,Virola,michelii,Virola michelii,22,4,16,4,Mid
89,687,13/09/2021,Paracou,6,1,101046,435,TF,TF,Casearia,javitensis,Casearia javitensis,18,3,16,3,Inf
94,688,13/09/2021,Paracou,16,16,158450,101,TF,Generalists,Protium,stevensonii,Protium stevensonii,32,4,30,4,Sup
95,689,13/09/2021,Paracou,16,21,161595,122,TF,Generalists,Protium,stevensonii,Protium stevensonii,15,3,11,3,Inf
96,690,13/09/2021,Paracou,16,6,153135,340,TF,TF,Casearia,javitensis,Casearia javitensis,12,2,8,3,Inf
98,691,13/09/2021,Paracou,16,10,155131,53,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,13,5,10,3,Mid
