CodeFTH,Code,DateField,Forest,Plot,SubPlot,idTree,FieldNbr,Habitat,Type,Genus,Species,Name,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,FW,SW,DW,LSWC
1,657,13/09/2021,Paracou,16,15,158148,320,BF,BF,Virola,surinamensis,Virola surinamensis,25,5,25,5,Sup,1.8667999999999996,1.9329,0.7846,0.5940814320451135
2,658,13/09/2021,Paracou,16,15,205438,"2,745",BF,Generalists,Jacaranda,copaia,Jacaranda copaia,20,5,20,5,Sup,0.26259999999999906,0.3004,0.0777,0.7413448735019974
3,659,13/09/2021,Paracou,16,15,191854,"2,727",BF,BF,Virola,surinamensis,Virola surinamensis,18,4,18,4,Sup,1.0701,1.0649,0.3867,0.6368673114846464
4,660,13/09/2021,Paracou,16,15,157940,106,TF,TF,Gustavia,hexapetala,Gustavia hexapetala,10,1,8,2,Inf,1.2301000000000002,1.2458,0.348,0.7206614223791941
5,661,13/09/2021,Paracou,16,14,157726,413,TF,TF,Casearia,javitensis,Casearia javitensis,8,3,5,2,Inf,1.6486999999999998,1.6893,0.7253,0.5706505653229148
9,662,13/09/2021,Paracou,16,14,157691,378,BF,BF,Virola,surinamensis,Virola surinamensis,28,4,25,3,Inf,1.0747,1.1217,0.4078,0.6364446821788358
11,663,13/09/2021,Paracou,16,15,158037,205,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,28,4,24,3,Mid,1.6852,1.7657,0.8122,0.5400124596477318
12,664,13/09/2021,Paracou,16,15,158036,204,BF,BF,Laetia,procera,Laetia procera,33,5,33,5,Sup,1.0408999999999988,1.1019,0.4239,0.615300843996733
13,665,13/09/2021,Paracou,16,16,158450,101,TF,Generalists,Protium,stevensonii,Protium stevensonii,28,4,26,4,Sup,0.6859000000000002,0.6899,0.3191,0.5374691984345558
15,666,13/09/2021,Paracou,16,16,158485,136,TF,Generalists,Protium,stevensonii,Protium stevensonii,25,3,22,3,Inf,0.9159000000000006,0.9309,0.5146,0.4472016328284456
16,667,13/09/2021,Paracou,16,16,158574,226,TF,Generalists,Conceveiba,guianensis,Conceveiba guianensis,10,3,10,3,Inf,2.072700000000001,2.1369,1.0001,0.5319855865974075
21,668,13/09/2021,Paracou,16,11,156021,403,BF,Generalists,Tachigali,melinonii,Tachigali melinonii,25,5,25,5,Inf,0.4233999999999991,0.4525,0.2274,0.4974585635359116
24,669,13/09/2021,Paracou,16,16,158903,556,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,26,5,26,5,Sup,3.0843000000000007,3.2365,1.3521,0.5822338946392708
30,670,13/09/2021,Paracou,16,17,159252,273,BF,Generalists,Protium,stevensonii,Protium stevensonii,25,4,19,3,Sup,0.6073000000000004,0.6388,0.3159,0.5054790231684408
31,671,13/09/2021,Paracou,16,17,246993,"2,799",BF,Generalists,Jacaranda,copaia,Jacaranda copaia,15,5,15,5,Sup,0.48380000000000045,0.5143,0.1738,0.6620649426404822
38,672,13/09/2021,Paracou,16,1,150153,215,TF,Generalists,Protium,stevensonii,Protium stevensonii,17,3,15,3,Inf,1.0138999999999996,1.0366,0.4758,0.5409994211846421
