Code,Name,Countx20,Countx40,ImageSizex20_mm2,ImageSizex40_mm2,StomatalDensity_Stomate_mm2,Comment_Stomata,SD
658,Jacaranda_copaia,126,NA,0.312,0.0792,403.8461538,yes,403.84615384615387
660,Gustavia_hexapetala,66,NA,0.312,0.0792,211.5384615,yes vernis un peu abimé,211.53846153846155
661,Casearia_javitensis,59,NA,0.312,0.0792,189.1025641,yes,189.10256410256412
663,Chrysophyllum_prieurii,88,NA,0.312,0.0792,282.0512821,yes,282.05128205128204
664,Laetia_procera,NA,28,0.312,0.0792,353.5353535,yes x40,353.5353535353535
665,Protium_stevensonii,84,NA,0.312,0.0792,269.2307692,yes stomates difficiles à voir,269.2307692307692
666,Protium_stevensonii,164,NA,0.312,0.0792,525.6410256,yes,525.6410256410256
667,Conceveiba_guianensis,78,NA,0.312,0.0792,250,yes,250
668,Tachigali_melinonii,146,NA,0.312,0.0792,467.9487179,yes,467.94871794871796
669,Chrysophyllum_prieurii,73,NA,0.312,0.0792,233.974359,yes,233.97435897435898
670,Protium_stevensonii,116,NA,0.312,0.0792,371.7948718,yes,371.79487179487177
671,Jacaranda_copaia,78,NA,0.312,0.0792,250,yes,250
672,Protium_stevensonii,99,NA,0.312,0.0792,317.3076923,yes,317.3076923076923
673,Casearia_javitensis,52,NA,0.312,0.0792,166.6666667,yes,166.66666666666666
674,Casearia_javitensis,75,NA,0.312,0.0792,240.3846154,yes,240.3846153846154
676,Chrysophyllum_prieurii,64,NA,0.312,0.0792,205.1282051,yes,205.12820512820514
677,Chrysophyllum_prieurii,93,NA,0.312,0.0792,298.0769231,yes,298.0769230769231
679,Conceveiba_guianensis,66,NA,0.312,0.0792,211.5384615,yes,211.53846153846155
680,Protium_stevensonii,188,NA,0.312,0.0792,602.5641026,yes,602.5641025641025
683,Virola_michelii,58,NA,0.312,0.0792,185.8974359,yes,185.89743589743588
685,Protium_stevensonii,127,NA,0.312,0.0792,407.0512821,yes,407.05128205128204
686,Virola_michelii,102,NA,0.312,0.0792,326.9230769,yes,326.9230769230769
687,Casearia_javitensis,91,NA,0.312,0.0792,291.6666667,yes,291.6666666666667
688,Protium_stevensonii,135,NA,0.312,0.0792,432.6923077,yes,432.6923076923077
689,Protium_stevensonii,142,NA,0.312,0.0792,455.1282051,yes,455.12820512820514
690,Casearia_javitensis,88,NA,0.312,0.0792,282.0512821,yes,282.05128205128204
691,Chrysophyllum_prieurii,72,NA,0.312,0.0792,230.7692308,yes,230.76923076923077
