CodeFTH,Code,DateField,Forest,Plot,SubPlot,idTree,FieldNbr,Habitat,Type,Genus,Species,Name,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,DateCalibration,Contamination,DateCollect,TreeFieldNum,FieldCode,Leaf,Repetition,LeafHealthStatus,LeafPhenoStatus,DensitySectionVeins,DateMeasure,Operator,VaproID,Run,C0,Posm,tlp,Comment,...24,...25
1,657,13/09/2021,Paracou,16,15,158148,320,BF,BF,Virola,surinamensis,Virola surinamensis,25,5,25,5,Sup,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,320,1,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,6,560,-1.4000000000000001,-1.7836000000000003,NA,NA,NA
2,658,13/09/2021,Paracou,16,15,205438,"2,745",BF,Generalists,Jacaranda,copaia,Jacaranda copaia,20,5,20,5,Sup,2021-09-13T00:00:00Z,0,2021-09-13T00:00:00Z,2545,2,1,1,Healthy,Young,ok,2021-09-14T00:00:00Z,CT,1,9,500,-1.25,-1.66375,Feuilles noircies,NA,NA
3,659,13/09/2021,Paracou,16,15,191854,"2,727",BF,BF,Virola,surinamensis,Virola surinamensis,18,4,18,4,Sup,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,2727,3,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,5,504,-1.26,-1.67174,NA,NA,NA
4,660,13/09/2021,Paracou,16,15,157940,106,TF,TF,Gustavia,hexapetala,Gustavia hexapetala,10,1,8,2,Inf,2021-09-13T00:00:00Z,0,2021-09-13T00:00:00Z,106,4,1,1,Epiphytes,Mature,ok,2021-09-14T00:00:00Z,CT,1,10,747,-1.8675,-2.1571325000000003,NA,NA,NA
5,661,13/09/2021,Paracou,16,14,157726,413,TF,TF,Casearia,javitensis,Casearia javitensis,8,3,5,2,Inf,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,413,5,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,4,769,-1.9225,-2.2010775000000002,NA,NA,NA
9,662,13/09/2021,Paracou,16,14,157691,378,BF,BF,Virola,surinamensis,Virola surinamensis,28,4,25,3,Inf,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,378,9,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,5,517,-1.2925,-1.6977075000000001,NA,NA,NA
11,663,13/09/2021,Paracou,16,15,158037,205,BF,Generalists,Chrysophyllum,prieurii,Chrysophyllum prieurii,28,4,24,3,Mid,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,205,11,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,8,981,-2.4525,-2.6245475000000003,NA,NA,NA
12,664,13/09/2021,Paracou,16,15,158036,204,BF,BF,Laetia,procera,Laetia procera,33,5,33,5,Sup,2021-08-19T00:00:00Z,1,2021-09-13T00:00:00Z,204,12,1,1,Healthy,Mature,ok,2021-08-14T00:00:00Z,AB,2,4,606,-1.5150000000000001,-1.8754850000000003,NA,NA,NA
13,665,13/09/2021,Paracou,16,16,158450,101,TF,Generalists,Protium,stevensonii,Protium stevensonii,28,4,26,4,Sup,2021-08-19T00:00:00Z,1,2021-09-14T00:00:00Z,101,13,1,1,Healthy,Mature,ok,2021-09-15T00:00:00Z,MK,2,4,637,-1.5925,-1.9374075000000002,NA,NA,NA
15,666,13/09/2021,Paracou,16,16,158485,136,TF,Generalists,Protium,stevensonii,Protium stevensonii,25,3,22,3,Inf,2021-08-19T00:00:00Z,1,2021-09-14T00:00:00Z,136,15,1,1,Healthy,Mature,ok,2021-09-15T00:00:00Z,MK,2,8,753,-1.8825,-2.1691175000000005,NA,NA,NA
