Code,idTree,RWCnr_myData,spName_CorrBota,LSWC_E.per,RWC_E.per,My_LSWC_E.per_corr,My_RWC_E.per_corr,posm,ptlp,gmin.my.function,gmin_manual_Clement,Name_Project
1,145493,M1,Iryanthera_hostmannii,1.523.372,1.006.294,1.523.372,100,-1.13,-1.568,1.245.205.807,1.235,Metradica
2,147663,M2,Gustavia_hexapetala,1.842.128,96.89,1.842.128,96.89,-1.56,-1.911,904.284.056,916,Metradica
3,147783,M3,Iryanthera_hostmannii,1.502.864,1.006.669,1.502.864,100,-1.028,-1.486,1.029.293.618,1.046,Metradica
4,147625,M4,Tachigali_melinonii,1.118.377,1.015.544,1.118.377,100,-1.51,-1.871,3.195.730.133,3.368,Metradica
5,148586,M5,Chrysophyllum_prieurii,110.043,938.307,110.043,938.307,-2.403,-2.585,184.564.338,1.869,Metradica
6,149072,M6,Conceveiba_guianensis,118.836,987.423,118.836,987.423,-1.328,-1.726,6.696.137.352,6.776,Metradica
7,146131,M7,Licania_membranacea,1.241.807,969.584,1.241.807,969.584,-1.605,-1.947,3.598.848.149,3.64,Metradica
8,149660,M8,Iryanthera_hostmannii,1.181.204,997.839,1.181.204,997.839,-1.22,-1.64,1.178.301.642,1.196,Metradica
9,146342,M9,Hymenopus_heteromorphus,1.445.455,972.908,1.445.455,972.908,-1.168,-1.598,9.010.340.393,7.089,Metradica
10,146466,M10,Conceveiba_guianensis,1.124.017,970.298,1.124.017,970.298,-1.515,-1.875,9.470.976.658,9.621,Metradica
11,146404,M11,Hymenopus_heteromorphus,1.174.948,975.581,1.174.948,975.581,-1.058,-1.51,412.099.427,4.459,Metradica
12,148074,M12,Jacaranda_copaia subsp. copaia,1.695.652,977.722,1.695.652,977.722,NA,NA,3.467.217.138,6.269.598.263,Metradica
13,146431,M13,Dicorynia_guianensis,1.578.594,981.466,1.578.594,981.466,-823,-1.322,5.090.236.795,5.157,Metradica
14,146475,M14,Dicorynia_guianensis,1.579.045,96.329,1.579.045,96.329,-848,-1.342,3.312.854.253,3.34,Metradica
15,147620,M15,Casearia_javitensis,1.039.659,947.168,1.039.659,947.168,-1.703,-2.025,2.449.708.674,2.481,Metradica
16,148282,M16,Hymenopus_heteromorphus,1.425.612,948.073,1.425.612,948.073,-1.09,-1.536,2.336.023.709,2.079,Metradica
17,147574,M17,Bocoa_prouacensis,656.269,980.481,656.269,980.481,-1.588,-1.933,4.023.485.917,4.063,Metradica
18,148283,M18,Chrysophyllum_prieurii,1.169.318,944.963,1.169.318,944.963,-2.46,-2.631,990.219.923,0.87,Metradica
19,147656,M19,Hymenopus_heteromorphus,1.238.676,962.025,1.238.676,962.025,-1.085,-1.532,5.221.173.036,7.383,Metradica
20,148077,M20,Bocoa_prouacensis,1.159.612,97.396,1.159.612,97.396,-1.258,-1.67,161.139.754,1.64,Metradica
21,149561,M21,Iryanthera_hostmannii,1.268.751,1.002.557,1.268.751,100,-1.275,-1.684,862.613.786,885,Metradica
22,149441,M22,Carapa_surinamensis,1.732.756,984.716,1.732.756,984.716,-1.333,-1.73,1.026.960.245,1.043,Metradica
23,149447,M23,Eperua_falcata,1.399.931,976.704,1.399.931,976.704,-1.258,-1.67,1.370.799.989,1.397,Metradica
24,149545,M24,Hymenopus_heteromorphus,1.065.058,966.323,1.065.058,966.323,-0.94,-1.416,3.018.752.754,3.071,Metradica
26,149683,M26,Hymenopus_heteromorphus,1.051.839,971.383,1.051.839,971.383,-948,-1.422,176.575.801,17.868,Metradica
27,149727,M27,Bocoa_prouacensis,94.77,988.258,94.77,988.258,-1.395,-1.78,2.480.561.424,2.511,Metradica
28,149733,M28,Eperua_falcata,1.101.597,919.954,1.101.597,919.954,-1.528,-1.885,2.103.666.033,2.136,Metradica
29,145356,M29,Poraqueiba_guianensis,1.282.889,940.349,1.282.889,940.349,-1.658,-1.989,1.970.976.344,2.051,Metradica
30,145769,M30,Poraqueiba_guianensis,1.604.218,925.883,1.604.218,925.883,-1.61,-1.951,2.509.521.078,2.569,Metradica
31,145376,M31,Eschweilera_coriacea,1.854.249,992.622,1.854.249,992.622,-1.268,-1.678,4.924.760.576,5.069,Metradica
32,148668,M32,Tachigali_melinonii,112.963,942.623,112.963,942.623,-1.18,-1.608,1.850.910.518,1.895,Metradica
33,148907,M33,Gustavia_hexapetala,2.253.025,940.229,2.253.025,940.229,-1.565,-1.915,2.288.823.836,2.374,Metradica
34,102705,M34,Protium_opacum subsp. rabelianum,1.074.991,96.035,1.074.991,96.035,-1.735,-2.051,5.657.114.222,5.761,Metradica
35,149111,M35,Protium_opacum subsp. rabelianum,119.798,992.005,119.798,992.005,-1.588,-1.933,2.484.854.726,2.559,Metradica
36,149208,M36,Carapa_surinamensis,1.237.459,970.319,1.237.459,970.319,-1.36,-1.752,2.311.740.186,2.346,Metradica
37,227102,M37,Pterocarpus_officinalis,2.206.426,994.777,2.206.426,994.777,-1.128,-1.566,1.700.641.752,1.749,Metradica
38,148949,M38,Pterocarpus_officinalis,1.606.056,986.168,1.606.056,986.168,-1.468,-1.838,2.653.540.425,3.022,Metradica
39,148940,M39,Pterocarpus_officinalis,2.512.937,936.507,2.512.937,936.507,-1.673,-2.001,2.134.961.121,2.297,Metradica
40,149391,M40,Bocoa_prouacensis,2.478.814,1.005.786,2.478.814,100,-1.588,-1.933,2.277.515.925,2.338,Metradica
41,181305,M41,Protium_opacum subsp. rabelianum,107.345,979.649,107.345,979.649,-1.675,-2.003,3.761.833.861,3.831,Metradica
42,102701,M42,Protium_opacum subsp. rabelianum,118.219,952.555,118.219,952.555,-1.913,-2.193,309.069.547,3.092,Metradica
43,178746,M43,Carapa_surinamensis,1.115.842,96.539,1.115.842,96.539,-1.213,-1.634,1.672.096.197,1.72,Metradica
44,205764,M44,Protium_opacum subsp. rabelianum,1.270.851,973.979,1.270.851,973.979,-1.808,-2.109,8.023.368.062,7.998,Metradica
45,145931,M45,Conceveiba_guianensis,1.376.789,971.643,1.376.789,971.643,-1.413,-1.794,2.248.042.739,2.311,Metradica
46,145945,M46,Symphonia_globulifera,2.599.848,984.345,2.599.848,984.345,-1.353,-1.746,1.964.248.568,1.971,Metradica
47,145883,M47,Symphonia_globulifera,2.163.541,99.738,2.163.541,99.738,-1.343,-1.738,1.840.147.844,1.839,Metradica
48,145949,M48,Jacaranda_copaia subsp. copaia,1.861.683,964.694,1.861.683,964.694,-855,-1.348,5.044.137.749,4.852,Metradica
49,145666,M49,Carapa_surinamensis,1.270.937,93.773,1.270.937,93.773,-1.39,-1.776,2.728.732.978,2.814,Metradica
50,147391,M50,Gustavia_hexapetala,1.612.775,954.899,1.612.775,954.899,-1.835,-2.131,943.789.089,1.029,Metradica
51,147235,M51,Dicorynia_guianensis,1.564.003,955.109,1.564.003,955.109,-1.175,-1.604,7.731.146.895,7.764,Metradica
