Code,Site,Genus,Species,Weight_mg_CNS,%N,%C,%S,Remark Sample,Weight_g_trace,P (g/kg),Fe (g/kg),Mn (g/kg),Mg (g/kg),Al (g/kg),Ca (g/kg),Na (g/kg),K (g/kg),Cr (mg/kg),Cu (mg/kg),Ni (mg/kg),Pb (mg/kg),Rb (mg/kg),Sr (mg/kg),Zn (mg/kg),Commentaires
1,Paracou,Iryanthera,hostmannii,8.048,1.43,53.62,0.11,NA,0.1996,0.887238664829659,0.0708717017368069,0.125250501002004,2.05839245156981,0.035068318455092,3.58686327199854,0.0486382765531062,11.196360104825,5.63156160654643,13.6679358717435,5.06342266350884,0,74.8997995991984,41.1341774458007,22.6548096192385,NA
2,Paracou,Gustavia,hexapetala,8.479,2.3,49.74,0.245,NA,0.1996,0.708380949398798,0.131167292919172,0.0207765531062124,8.15107782231129,0.103435051922026,6.68180315175806,1.37774649298597,7.40377493448436,5.41419353707415,8.57775551102205,4.67284150118419,0,30.3481963927856,175.738385862634,19.4584168336673,NA
3,Paracou,Iryanthera,hostmannii,8.25,1.54,53.56,0.112,NA,0.2001,0.934496939030485,0.0702448359153757,0.11504247876062,2.16419356988173,0.0370246694834401,3.06090909090909,0.0560629685157421,11.3932707492408,5.47529416958188,9.55332333833084,3.82643759938213,0,41.0944527736132,47.0159011403389,21.3888055972014,NA
4,Paracou,Tachigali,melinonii,7.673,2.36,52.29,0.093,NA,0.2004,0.672119947604791,0.114251455422488,0.18373253493014,1.51823918829009,0.0499782253674469,2.58202549446561,0.426587824351297,6.53589559342853,6.10207766134398,10.8913173652695,5.84655271275631,0,23.3433133732535,18.4949192524043,13.5673652694611,NA
5,Paracou,Chrysophyllum,prieurii,7.893,1.68,53.59,0.081,NA,0.2005,0.606448067331671,0.322847838736492,0.014997506234414,0.885063009143807,0.0727463160281116,3.74732124234867,0.779043391521197,8.18849614425475,5.88387213632585,10.8385037406484,6.2318162774881,0,15.5062344139651,50.7600090682385,7.02194513715711,NA
6,Paracou,Conceveiba,guianensis,8.374,1.38,49.44,0.082,NA,0.1996,0.513491169839679,0.184974908149633,0.0608717434869739,3.22823213092852,0.175429039897978,9.45234423392239,0.268728456913828,2.48894527516572,3.34851467935872,4.26663326653307,5.81798178174531,0,3.30060120240481,117.622153397705,9.68637274549098,NA
7,Paracou,Licania,membranacea,8.357,1.41,49.06,0.181,NA,0.2,0.3907891875,0.112329958333333,0.44605,3.75727566666667,0.0983781818181818,8.84843954545455,1.354991,5.41896738461538,4.15626181666667,6.0781,5.88854581818182,0,11.16,95.3369090909091,7.307,NA
8,Paracou,Iryanthera,hostmannii,8.224,1.33,54.26,0.105,NA,0.2001,0.467080647176412,0.130264825920373,0.267166416791604,5.14970081625854,0.148778792421971,9.34376766162373,0.164058970514743,3.14264606158459,3.12616206896552,7.09455272363818,6.82793185225569,0,5.96201899050475,126.873472354732,36.3713143428286,NA
9,Paracou,Hymenopus,heteromorphus,8.416,1.32,51.9,0.185,NA,0.2002,0.39209709040959,0.0925124458874459,0.0285664335664336,2.35591974691975,0.0914866951230588,2.28840114431024,1.54944155844156,3.99522216245293,2.42744520479521,10.8272727272727,10.1619838343475,0,8.33666333666334,34.2052038870221,6.54545454545455,NA
10,Paracou,Conceveiba,guianensis,8.258,1.8,48.32,0.102,NA,0.2004,0.94707004740519,0.057415128077179,0.0353642714570858,1.88500565535595,0.0234313191798222,5.72698557430593,0.0574261477045908,7.02990756947643,1.83590334331337,10.7740518962076,1.28199183451279,0,15.7335329341317,59.0188713482127,10.5284431137725,NA
