"sample_id","RWCnr_original","Date_collect","Forest","Habitat","Type","idTree","SpecCode_CorrBota","spName_CorrBota","Genus_CorrBota","Species_CorrBota","Family_CorrBota","gmin.slope","Code_Meas_quality","R2","beta","LA_cm2","Vpsat.kPa_mean","VPD_mean","T.cels_mean","RH.perc_mean","t0","timeMeas_chosen.h","timeMeas_chosen.min","time_start","time_end","nMeas_chosen","nMeas_total","first_chosen_meas","last_chosen_meas","mass_start","mass_end","mass_Loss_Meas_chosen","file"
"1","M1",2020-10-26,"Paracou","BF","BF",145493,"Iry.hos","Iryanthera_hostmannii","Iryanthera","hostmannii","Myristicaceae",1.12698960793513,"1",1,-0.00023720600530735,49.8552333333333,3.03439129953095,0.0195452515421448,24.275,34.725,2020-10-26 16:12:45,3.63333333333333,218,2020-10-26 17:31:00,2020-10-26 21:09:00,4,8,4,7,1.1928,1.1407,0.0521,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"2","M2",2020-10-26,"Paracou","TF","TF",147663,"Gus.hex","Gustavia_hexapetala","Gustavia","hexapetala","Lecythidaceae",0.822035947434672,"1",1,-0.00019882459993519,53.8179361111111,3.23998241779667,0.0208064754221707,25.3166666666667,34.9,2020-10-26 16:13:25,4.63333333333333,278,2020-10-26 16:31:00,2020-10-26 21:09:00,6,8,2,7,1.1806,1.1256,0.0550000000000002,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"3","M3",2020-10-26,"Paracou","BF","BF",147783,"Iry.hos","Iryanthera_hostmannii","Iryanthera","hostmannii","Myristicaceae",0.935228521230669,"1",1,-0.0002005422963232,45.4286472222222,3.28860749981118,0.0218526789342577,25.5714285714286,32.8571428571429,2020-10-26 16:13:53,4.93527777777778,296.116666666667,2020-10-26 16:13:53,2020-10-26 21:10:00,7,8,1,7,1.0564,0.996,0.0604,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"4","M4",2020-10-26,"Paracou","TF","Generalist",147625,"Tac.mel","Tachigali_melinonii","Tachigali","melinonii","Fabaceae",2.26409975129416,"adj.PartofCurve",0.98,-0.00010317087971307,10.7756361111111,3.02980263995704,0.0195778460226581,24.25,34.525,2020-10-26 16:14:17,3.63333333333333,218,2020-10-26 17:33:00,2020-10-26 21:11:00,4,8,4,7,0.197,0.1737,0.0233,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"4","M4",2020-10-26,"Paracou","TF","Generalist",147625,"Tac.mel","Tachigali_melinonii","Tachigali","melinonii","Fabaceae",2.26409975129416,"adj.PartofCurve",0.98,-0.00010317087971307,10.7756361111111,3.02980263995704,0.0195778460226581,24.25,34.525,2020-10-26 16:14:17,3.63333333333333,218,2020-10-26 17:33:00,2020-10-26 21:11:00,4,8,4,7,0.197,0.1737,0.0233,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"5","M5",2020-10-26,"Paracou","TF","Generalist",148586,"Chr.pri","Chrysophyllum_prieurii","Chrysophyllum","prieurii","Sapotaceae",1.67508092464401,"1",1,-0.0002699375889488,34.6393388888889,3.22991431357789,0.0215379431177818,25.2666666666667,32.65,2020-10-26 16:15:10,4.65,279,2020-10-26 16:32:00,2020-10-26 21:11:00,6,8,2,7,1.0816,1.006,0.0755999999999999,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"6","M6",2020-10-26,"Paracou","TF","Generalist",149072,"Con.gui","Conceveiba_guianensis","Conceveiba","guianensis","Euphorbiaceae",6.04636243863351,"1",1,-0.00205391265390104,70.8189944444444,3.26800611277623,0.0222067133599696,25.46,31.32,2020-10-26 16:15:43,2.23333333333333,134,2020-10-26 16:33:00,2020-10-26 18:47:00,5,8,2,6,1.4331,1.1582,0.2749,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"7","M7",2020-10-26,"Paracou","TF","TF",146131,"Lic.mem","Licania_membranacea","Licania","membranacea","Chrysobalanaceae",3.26856322549238,"1",1,-0.00062735770078689,40.6302111111111,3.28053026044499,0.0218703389121003,25.5285714285714,32.6428571428571,2020-10-26 16:17:19,4.91138888888889,294.683333333333,2020-10-26 16:17:19,2020-10-26 21:12:00,7,8,1,7,0.9039,0.7173,0.1866,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"9","M9",2020-10-26,"Paracou","TF","Generalist",146342,"Hym.het","Hymenopus_heteromorphus","Hymenopus","heteromorphus","Chrysobalanaceae",3.3772616241762,"adj.PartofCurve",0.95,-0.00043996724586299,30.6597611111111,3.03434418405364,0.0196713027712297,24.275,34.325,2020-10-26 16:19:09,3.65,219,2020-10-26 17:34:00,2020-10-26 21:13:00,4,8,4,7,0.6216,0.5197,0.1019,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"9","M9",2020-10-26,"Paracou","TF","Generalist",146342,"Hym.het","Hymenopus_heteromorphus","Hymenopus","heteromorphus","Chrysobalanaceae",3.3772616241762,"adj.PartofCurve",0.95,-0.00043996724586299,30.6597611111111,3.03434418405364,0.0196713027712297,24.275,34.325,2020-10-26 16:19:09,3.65,219,2020-10-26 17:34:00,2020-10-26 21:13:00,4,8,4,7,0.6216,0.5197,0.1019,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"10","M10",2020-10-26,"Paracou","TF","Generalist",146466,"Con.gui","Conceveiba_guianensis","Conceveiba","guianensis","Euphorbiaceae",8.57917014259305,"1",1,-0.00178344724120687,43.526425,3.2590990292711,0.0221109924388417,25.42,31.4,2020-10-26 16:20:31,2.21666666666667,133,2020-10-26 16:35:00,2020-10-26 18:48:00,5,8,2,6,0.8846,0.647,0.2376,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"11","M11",2020-10-26,"Paracou","TF","Generalist",146404,"Hym.het","Hymenopus_heteromorphus","Hymenopus","heteromorphus","Chrysobalanaceae",3.7481758231717,"1",1,-0.00027643458653536,15.1996972222222,3.29248232962245,0.0224638265149078,25.6,31,2020-10-26 16:21:04,1.56666666666667,94,2020-10-26 16:36:00,2020-10-26 18:10:00,4,8,2,5,0.2885,0.2622,0.0263,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"12","M12",2020-10-26,"Paracou","TF","Generalist",148074,"Jac.cop","Jacaranda_copaia subsp. copaia","Jacaranda","copaia subsp. copaia","Bignoniaceae",3.59116333999947,"adj.PartofCurve",0.94,-0.00036220830961866,23.707425,3.02980326942107,0.0196963210228598,24.25,34.15,2020-10-26 16:21:31,3.65,219,2020-10-26 17:36:00,2020-10-26 21:15:00,4,8,4,7,0.5694,0.4851,0.0843,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"12","M12",2020-10-26,"Paracou","TF","Generalist",148074,"Jac.cop","Jacaranda_copaia subsp. copaia","Jacaranda","copaia subsp. copaia","Bignoniaceae",3.59116333999947,"adj.PartofCurve",0.94,-0.00036220830961866,23.707425,3.02980326942107,0.0196963210228598,24.25,34.15,2020-10-26 16:21:31,3.65,219,2020-10-26 17:36:00,2020-10-26 21:15:00,4,8,4,7,0.5694,0.4851,0.0843,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"13","M13",2020-10-26,"Paracou","TF","TF",146431,"Dic.gui","Dicorynia_guianensis","Dicorynia","guianensis","Fabaceae",4.62410905307648,"1",1,-0.0010782559623123,48.961225,3.25080771820206,0.022048942970092,25.38,31.4,2020-10-26 16:22:10,2.21666666666667,133,2020-10-26 16:37:00,2020-10-26 18:50:00,5,8,2,6,1.2667,1.1216,0.1451,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"14","M14",2020-10-26,"Paracou","TF","TF",146475,"Dic.gui","Dicorynia_guianensis","Dicorynia","guianensis","Fabaceae",3.00655978432398,"1",1,-0.00045131019317754,32.6354277777778,3.18888804044933,0.0212942445623621,25.0666666666667,32.5166666666667,2020-10-26 16:22:50,4.65,279,2020-10-26 16:37:00,2020-10-26 21:16:00,6,8,2,7,0.8185,0.6918,0.1267,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
"15","M15",2020-10-26,"Paracou","TF","TF",147620,"Cas.jav","Casearia_javitensis","Casearia","javitensis","Salicaceae",2.22991395999396,"1",1,-0.00100137246410606,97.9933055555556,3.14557613858829,0.0212157006861404,24.85,31.75,2020-10-26 16:23:31,1.95,117,2020-10-26 16:54:00,2020-10-26 18:51:00,4,8,3,6,1.7887,1.6711,0.1176,"D:/Mes Donnees/R/Trait_Data_Cleaning/traits/input/Gmin/input/Metradica/Paracou/input/Campaign_2020/Jour_1_Gmin_26_10_2020.csv"
