Code,FW,SW,DW,LSWC
1,1.2679999999999998,1.2632,0.5006,1.5233719536556132
2,1.2930000000000001,1.3196,0.4643,1.842127934525092
3,0.8774999999999995,0.874,0.3492,1.5028636884306985
4,0.258,0.2559,0.1208,1.1183774834437086
5,1.0868000000000002,1.1231,0.5347,1.1004301477464
6,2.1957999999999993,2.2109,1.0103,1.1883598931010593
7,1.1904000000000003,1.2108,0.5401,1.241807072764303
8,1.451200000000001,1.4529,0.6661,1.181204023419907
9,0.6881999999999993,0.6994,0.286,1.4454545454545458
10,2.2606,2.2967,1.0813,1.124017386479238
11,0.3067000000000002,0.3108,0.1429,1.1749475157452767
12,0.37289999999999957,0.3782,0.1403,1.6956521739130432
13,1.7077999999999998,1.7274,0.6699,1.5785938199731304
14,1.6265999999999998,1.664,0.6452,1.5790452572845628
15,2.0017999999999994,2.0572,1.0086,1.0396589331746977
16,2.6112,2.6934,1.1104,1.4256123919308357
17,1.3856000000000002,1.3964,0.8431,0.6562685327956354
18,0.8864000000000001,0.9135,0.4211,1.1693184516741868
19,0.5031999999999996,0.514,0.2296,1.2386759581881532
20,1.5796000000000001,1.602,0.7418,1.1596117551900782
21,2.3112999999999992,2.308,1.0173,1.268750614371375
22,2.248100000000001,2.2701,0.8307,1.7327555074033945
23,0.6895999999999995,0.6991,0.2913,1.3999313422588398
24,4.0111,4.082,1.9767,1.0650579248242018
25,NA,NA,NA,NA
26,0.36270000000000024,0.3681,0.1794,1.051839464882943
27,0.5221,0.5251,0.2696,0.9477002967359051
28,0.6301999999999994,0.6578,0.313,1.101597444089457
29,1.2830000000000004,1.3275,0.5815,1.2828890799656059
30,1.2018999999999993,1.2594,0.4836,1.6042183622828785
31,1.0796999999999999,1.0849,0.3801,1.8542488818731913
32,0.3567999999999998,0.368,0.1728,1.1296296296296295
33,1.1856,1.2368,0.3802,2.2530247238295633
34,2.16,2.2053,1.0628,1.0749905908919832
35,1.6680000000000001,1.6753,0.7622,1.1979795329309892
36,5.422600000000001,5.5131,2.464,1.2374594155844154
