Code,SpCode,Countx10,Countx20,Countx40,ImageSizex20_mm2,ImageSizex40_mm2,Comment_Stomata,SD
17,Boc.pro,NA,78,NA,0.312,0.0792,yes,250
20,Boc.pro,NA,73,NA,0.312,0.0792,yes,233.97435897435898
27,Boc.pro,NA,55,NA,0.312,0.0792,yes,176.28205128205127
40,Boc.pro,NA,54,NA,0.312,0.0792,yes,173.07692307692307
53,Boc.pro,NA,56,NA,0.312,0.0792,yes,179.48717948717947
68,Boc.pro,NA,60,NA,0.312,0.0792,yes,192.30769230769232
75,Boc.pro,NA,NA,13,0.312,0.0792,yes + x40,164.14141414141412
134,Boc.pro,NA,68,NA,0.312,0.0792,,217.94871794871796
150,Boc.pro,NA,76,NA,0.312,0.0792,,243.5897435897436
164,Boc.pro,NA,79,21,0.312,0.0792,,253.2051282051282
199,Boc.pro,NA,NA,15,0.312,0.0792,"only x40, impossible to detect stomata on x20",189.39393939393938
242,Boc.pro,NA,79,NA,0.312,0.0792,yes,253.2051282051282
15,Cas.jav,NA,110,NA,0.312,0.0792,yes,352.56410256410254
105,Cas.jav,NA,96,NA,0.312,0.0792,yes,307.6923076923077
130,Cas.jav,NA,127,NA,0.312,0.0792,,407.05128205128204
152,Cas.jav,NA,NA,26,0.312,0.0792,,328.28282828282823
18,Chr.pri,NA,70,NA,0.312,0.0792,yes,224.35897435897436
56,Chr.pri,NA,49,NA,0.312,0.0792,yes,157.05128205128204
62,Chr.pri,120,37,NA,0.312,0.0792,une photo x10 et x20 ce n'est pas du x40,118.58974358974359
86,Chr.pri,NA,35,NA,0.312,0.0792,yes,112.17948717948718
92,Chr.pri,NA,83,NA,0.312,0.0792,yes,266.02564102564105
93,Chr.pri,NA,NA,14,0.312,0.0792,yes + X40,176.76767676767676
142,Chr.pri,NA,58,14,0.312,0.0792,,185.89743589743588
161,Chr.pri,NA,54,NA,0.312,0.0792,,173.07692307692307
210,Chr.pri,NA,68,NA,0.312,0.0792,yes,217.94871794871796
231,Chr.pri,NA,55,NA,0.312,0.0792,yes,176.28205128205127
237,Chr.pri,NA,88,NA,0.312,0.0792,yes,282.05128205128204
6,Con.gui,NA,87,NA,0.312,0.0792,yes,278.84615384615387
10,Con.gui,NA,NA,12,0.312,0.0792,only x40,151.5151515151515
45,Con.gui,NA,84,NA,0.312,0.0792,yes,269.2307692307692
57,Con.gui,NA,72,NA,0.312,0.0792,yes,230.76923076923077
60,Con.gui,NA,102,NA,0.312,0.0792,yes,326.9230769230769
72,Con.gui,NA,69,NA,0.312,0.0792,yes,221.15384615384616
82,Con.gui,NA,36,NA,0.312,0.0792,yes meme si photo un peu degradée,115.38461538461539
90,Con.gui,NA,54,NA,0.312,0.0792,yes,173.07692307692307
234,Con.gui,NA,70,23,0.312,0.0792,yes + x40,224.35897435897436
14,Dic.gui,NA,87,NA,0.312,0.0792,yes,278.84615384615387
51,Dic.gui,NA,66,NA,0.312,0.0792,yes,211.53846153846155
153,Dic.gui,NA,115,NA,0.312,0.0792,,368.5897435897436
23,Epe.fal,NA,147,NA,0.312,0.0792,yes,471.15384615384613
28,Epe.fal,NA,159,51,0.312,0.0792,yes +40X,509.61538461538464
85,Epe.fal,NA,132,NA,0.312,0.0792,yes,423.0769230769231
125,Epe.fal,NA,165,NA,0.312,0.0792,,528.8461538461538
132,Epe.fal,NA,160,NA,0.312,0.0792,,512.8205128205128
147,Epe.fal,NA,151,NA,0.312,0.0792,,483.97435897435895
201,Epe.fal,NA,154,NA,0.312,0.0792,yes,493.5897435897436
202,Epe.fal,NA,127,NA,0.312,0.0792,yes,407.05128205128204
213,Epe.fal,NA,146,NA,0.312,0.0792,yes,467.94871794871796
225,Epe.fal,NA,99,NA,0.312,0.0792,yes,317.3076923076923
240,Epe.fal,NA,66,NA,0.312,0.0792,"yes, stomates seem different than rest",211.53846153846155
