Code RWC,idTree,idLeaf,NrRunLeaf,spName,statusLeaf,phenoLeaf,DenseSecVeins,idVapro,NrRunVapro,C_0,comment storag/disc/run/health/pheno,P_osmo,P_tlp
1,NA,1,1,Iry.hos,healthy,mature,ok,1,8,452,NA,-1.1300000000000001,-1.56787
2,NA,1,1,Gus.hex,healthy,mature,ok,1,5,624,NA,-1.56,-1.9114400000000002
3,NA,1,1,Iry.hos,healthy,mature,ok,1,4,411,2 petits trous : herbivory?,-1.0275,-1.4859725000000001
4,NA,1,1,Tac.mel,herbivory,mature,ok,1,4,604,NA,-1.51,-1.87149
5,NA,2,1,Chr.pri,healthy,mature,ok,1,7,961,NA,-2.4025,-2.5845975
6,NA,1,1,Con.gui,healthy,mature,ok,1,5,531,NA,-1.3275000000000001,-1.7256725000000002
7,NA,1,1,Lic.mem,healthy,mature,ok,1,4,642,un peu herbivorie (-),-1.605,-1.947395
8,NA,1,1,Iry.hos,healthy,mature,ok,1,6,488,NA,-1.22,-1.63978
9,NA,1,1,Hym.het,herbivory,mature,ok,1,5,467,Clean avant le suivant,-1.1675,-1.5978325
10,NA,1,1,Con.gui,healthy,mature,ok,1,4,606,NA,-1.5150000000000001,-1.8754850000000003
11,NA,1,1,Hym.het,healthy,mature,ok,1,4,423,NA,-1.0575,-1.5099425000000002
12,NA,5,1,Jac.cop,healthy,mature,ok,1,10,NA,"refait plusieurs fois, pas de stabilisation",NA,NA
13,NA,1,1,Dic.gui,healthy,mature,ok,1,8,329,NA,-0.8225,-1.3221775
14,NA,1,1,Dic.gui,healthy,mature,ok,1,8,339,NA,-0.8475,-1.3421525
15,NA,1,2,Cas.jav,healthy,mature,ok,1,5,681,NA,-1.7025000000000001,-2.0252975
16,NA,1,1,Hym.het,healthy,mature,ok,1,5,436,qq point d'herbivorie,-1.09,-1.53591
17,NA,1,1,Boc.pro,healthy,mature,ok,1,8,635,feuille sale (vieille)?,-1.5875000000000001,-1.9334125000000002
18,NA,1,1,Chr.pri,healthy,mature,ok,1,8,984,NA,-2.46,-2.63054
19,NA,1,1,Hym.het,herbivory,mature,ok,1,5,434,feuille sale (vieille)?,-1.085,-1.5319150000000001
20,NA,1,1,Boc.pro,healthy,mature,ok,1,6,503,NA,-1.2575,-1.6697425000000001
21,NA,1,2,Iry.hos,herbivory,mature,ok,1,4,510,NA,-1.2750000000000001,-1.6837250000000001
22,NA,1,1,Car.sur,herbivory,mature,ok,1,5,533,NA,-1.3325,-1.7296675000000001
23,NA,1,1,Epe.fal,healthy,mature,ok,1,4,503,un point d'herbivorie,-1.2575,-1.6697425000000001
24,NA,1,1,Hym.het,herbivory,mature,ok,1,5,376,NA,-0.9400000000000001,-1.41606
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pas d'individus,NA,NA
26,NA,1,1,Hym.het,herbivory,mature,ok,1,5,379,NA,-0.9475,-1.4220525
27,NA,1,1,Boc.pro,healthy,mature,ok,1,6,558,qq points marrons,-1.395,-1.779605
28,NA,1,1,Epe.fal,herbivory,mature,ok,1,8,611,NA,-1.5275,-1.8854725
