Code,idTree,DateField,Forest,Plot,SubPlot,FieldNbr,Habitat,Type,Genus,Species,Name,gmin,tlp,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA,N,C,P,Ca,Na,K,LSWC,SD,fvfm,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition
1,145493,26/10/2020,Paracou,15,1,182,BF,BF,Iryanthera,hostmannii,Iryanthera hostmannii,1.12698960793513,-1.56787,0.311733524,1.7320258115,3.895902389,5.9396617245,1.43,53.62,0.887238664829659,3.58686327199854,0.0486382765531062,11.196360104825,1.5233719536556132,227.5641026,0.786,12,4,10,4,High
2,147663,26/10/2020,Paracou,15,3,178,TF,TF,Gustavia,hexapetala,Gustavia hexapetala,0.822035947434672,-1.9114400000000002,0.29420474799999996,1.1287494745,3.261022014,4.6839762364999995,2.3,49.74,0.708380949398798,6.68180315175806,1.37774649298597,7.40377493448436,1.842127934525092,192.3076923,0.797,11,2,9,2,High
3,147783,26/10/2020,Paracou,15,3,298,BF,BF,Iryanthera,hostmannii,Iryanthera hostmannii,0.935228521230669,-1.4859725000000001,0.302325974,1.4398700034999998,4.6395366135,6.3817325905,1.54,53.56,0.934496939030485,3.06090909090909,0.0560629685157421,11.3932707492408,1.5028636884306985,198.7179487,0.807,12,2,13,3,High
4,147625,26/10/2020,Paracou,15,3,140,TF,Generalist,Tachigali,melinonii,Tachigali melinonii,2.26409975129416,-1.87149,0.5465697764999999,2.538922392,4.256712641,7.34220481,2.36,52.29,0.672119947604791,2.58202549446561,0.426587824351297,6.53589559342853,1.1183774834437086,294.8717949,0.84,33,5,23,4,Middle
5,148586,26/10/2020,Paracou,15,3,1103,TF,Generalist,Chrysophyllum,prieurii,Chrysophyllum prieurii,1.67508092464401,-2.5845975,0.33342907499999996,1.076097558,5.692870441,7.102397073500001,1.68,53.59,0.606448067331671,3.74732124234867,0.779043391521197,8.18849614425475,1.1004301477464,NA,0.773,24,4,21,4,High
6,149072,26/10/2020,Paracou,15,4,369,TF,Generalist,Conceveiba,guianensis,Conceveiba guianensis,6.04636243863351,-1.7256725000000002,0.21895994800000002,0.836178098,2.2352241165,3.290362163,1.38,49.44,0.513491169839679,9.45234423392239,0.268728456913828,2.48894527516572,1.1883598931010593,278.8461538,0.8,15,2,14,3,High
7,146131,26/10/2020,Paracou,15,1,824,TF,TF,Licania,membranacea,Licania membranacea,3.26856322549238,-1.947395,0.2094532025,1.0842903795,1.3812403115,2.6749838935000003,1.41,49.06,0.3907891875,8.84843954545455,1.354991,5.41896738461538,1.241807072764303,NA,0.82,20,4,15,2,Low
9,146342,26/10/2020,Paracou,15,2,84,TF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,3.3772616241762,-1.5978325,0.2951786165,1.1650841564999999,3.146078157,4.60634093,1.32,51.9,0.39209709040959,2.28840114431024,1.54944155844156,3.99522216245293,1.4454545454545458,144.2307692,0.784,20,4,18,3,Low
10,146466,26/10/2020,Paracou,15,2,209,TF,Generalist,Conceveiba,guianensis,Conceveiba guianensis,8.57917014259305,-1.8754850000000003,0.24928567000000001,0.85303324,2.6728600145,3.775178924,1.8,48.32,0.94707004740519,5.72698557430593,0.0574261477045908,7.02990756947643,1.124017386479238,151.5151515,0.812,18,3,16,3,High
11,146404,26/10/2020,Paracou,15,2,147,TF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,3.7481758231717,-1.5099425000000002,0.4709202535,2.2044516955,5.382497452,8.057869401000001,1.38,50.76,0.43149843828086,2.78104902094407,1.69764217891054,2.2938204743782,1.1749475157452767,227.5641026,0.79,22,2,18,3,Low
12,148074,26/10/2020,Paracou,15,3,590,TF,Generalist,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,3.59116333999947,NA,0.3548206135,1.4524235115,3.8340464279999997,5.641290553,2.07,53.18,0.658318391521197,4.23659805032872,0.972060847880299,3.41941883752158,1.6956521739130432,266.025641,0.794,28,5,26,5,High
13,146431,26/10/2020,Paracou,15,2,174,TF,TF,Dicorynia,guianensis,Dicorynia guianensis,4.62410905307648,-1.3221775,0.2399887745,1.500403236,2.53387524,4.2742672505,1.88,53.17,0.710109132933533,1.43172368361274,0.137422288855572,6.80056710106485,1.5785938199731304,NA,0.814,32,5,26,3,Middle
14,146475,26/10/2020,Paracou,15,2,218,TF,TF,Dicorynia,guianensis,Dicorynia guianensis,3.00655978432398,-1.3421525,0.311391576,1.660683584,2.418404907,4.390480067,2.12,52.4,0.7534641875,1.54343954545455,0.102941,6.68896738461539,1.5790452572845628,278.8461538,0.818,30,4,24,2,Middle
15,147620,26/10/2020,Paracou,15,3,135,TF,TF,Casearia,javitensis,Casearia javitensis,2.22991395999396,-2.0252975,0.19577186749999997,0.7998282645,2.2853219175,3.2809220505,1.4,51.51,0.548141974538193,4.77976989061862,0.0991422865701448,3.38339229617113,1.0396589331746977,352.5641026,0.797,10,3,10,3,High
16,148282,26/10/2020,Paracou,15,3,798,TF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,2.11926859152893,-1.53591,0.261319896,1.2167137845,4.355341033,5.8333747135,0.96,50.68,0.458247692115768,4.91361232081292,0.132725548902196,6.77541655151236,1.4256123919308357,227.5641026,0.747,17,3,17,3,Middle
17,147574,26/10/2020,Paracou,15,3,89,BF,Generalist,Bocoa,prouacensis,Bocoa prouacensis,3.64843995433143,-1.9334125000000002,0.383592788,1.5065442725,1.437168862,3.3273059225,1.7,55.87,0.347919389027431,0.864777601450918,0.603482294264339,1.41592756570113,0.6562685327956354,250,0.789,18,4,16,4,High
18,148283,26/10/2020,Paracou,15,3,799,TF,Generalist,Chrysophyllum,prieurii,Chrysophyllum prieurii,0.897533342255546,-2.63054,0.327076567,1.2998702545,7.532606517,9.159553339,NA,NA,NA,NA,NA,NA,1.1693184516741868,224.3589744,0.785,23,5,21,5,Middle
19,147656,26/10/2020,Paracou,15,3,171,TF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,4.72902716143242,-1.5319150000000001,0.379723696,2.1859626785,7.0103845545,9.576070931,1.26,49.99,0.4303141875,3.16843954545455,1.054991,2.83996738461538,1.2386759581881532,205.1282051,0.744,15,3,13,3,High
