Code,idTree,Name,Genus,Species,Family,TLP,ptlp_Marechaux2016,Forest,Habitat,Type,Gmin,DateField,Plot,SubPlot,FieldNbr,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA,Nitrogen,Carbon,X.S,Phosphorous,Fe..g.kg.,Mn..g.kg.,Mg..g.kg.,Al..g.kg.,Ca..g.kg.,Na..g.kg.,Potassium,Cr..mg.kg.,Cu..mg.kg.,Ni..mg.kg.,Pb..mg.kg.,Rb..mg.kg.,Sr..mg.kg.,Zn..mg.kg.,LSWC,SD,fvfm,Xutm,Yutm,Latitude,Longitude,DBH,TWI
1,145493,Iryanthera_hostmannii,Iryanthera,hostmannii,Myristicaceae,-1.57116,-1.56787,Paracou,BF,BF,1.126989608,26/10/2020,15,1,182,0.311733524,1.732025812,3.895902389,5.939661725,1.43,53.62,0.11,0.887238665,0.070871702,0.125250501,2.058392452,0.035068318,3.586863272,0.048638277,11.1963601,5.631561607,13.66793587,5.063422664,0,74.8997996,41.13417745,22.65480962,152.3372,227.5641026,0.786,"286,315.69","583,636.63",5.277200222,-52.92810059,13.05732484,8.069946
2,147663,Gustavia_hexapetala,Gustavia,hexapetala,Lecythidaceae,-1.92892,-1.91144,Paracou,TF,TF,0.822035947,26/10/2020,15,3,178,0.294204748,1.128749475,3.261022014,4.683976237,2.3,49.74,0.245,0.708380949,0.131167293,0.020776553,8.151077822,0.103435052,6.681803152,1.377746493,7.403774934,5.414193537,8.577755511,4.672841501,0,30.34819639,175.7383859,19.45841683,184.2128,192.3076923,0.797,"286,347.38","583,537.88",5.276299953,-52.92779922,13.53503185,5.82837
3,147783,Iryanthera_hostmannii,Iryanthera,hostmannii,Myristicaceae,-1.48588,-1.4859725,Paracou,BF,BF,0.935228521,26/10/2020,15,3,298,0.302325974,1.439870004,4.639536614,6.381732591,1.54,53.56,0.112,0.934496939,0.070244836,0.115042479,2.16419357,0.037024669,3.060909091,0.056062969,11.39327075,5.47529417,9.553323338,3.826437599,0,41.09445277,47.01590114,21.3888056,150.2864,198.7179487,0.807,"286,328.34","583,621.81",5.277100086,-52.9280014,17.03821656,8.069946
4,147625,Tachigali_melinonii,Tachigali,melinonii,Fabaceae,-1.88732,-1.87149,Paracou,TF,Generalist,2.264099751,26/10/2020,15,3,140,0.546569777,2.538922392,4.256712641,7.34220481,2.36,52.29,0.093,0.672119948,0.114251455,0.183732535,1.518239188,0.049978225,2.582025494,0.426587824,6.535895593,6.102077661,10.89131737,5.846552713,0,23.34331337,18.49491925,13.56736527,111.8377,294.8717949,0.84,"286,332.56","583,578.50",NA,NA,61.78343949,5.82837
5,148586,Chrysophyllum_prieurii,Chrysophyllum,prieurii,Sapotaceae,-2.62988,-2.5845975,Paracou,TF,Generalist,1.675080925,26/10/2020,15,3,1103,0.333429075,1.076097558,5.692870441,7.102397074,1.68,53.59,0.081,0.606448067,0.322847839,0.014997506,0.885063009,0.072746316,3.747321242,0.779043392,8.188496144,5.883872136,10.83850374,6.231816277,0,15.50623441,50.76000907,7.021945137,110.043,NA,0.773,"286,440.63","583,568.25",NA,NA,33.75796178,8.083855
6,149072,Conceveiba_guianensis,Conceveiba,guianensis,Euphorbiaceae,-1.73548,-1.7256725,Paracou,TF,Generalist,6.046362439,26/10/2020,15,4,369,0.218959948,0.836178098,2.235224117,3.290362163,1.38,49.44,0.082,0.51349117,0.184974908,0.060871743,3.228232131,0.17542904,9.452344234,0.268728457,2.488945275,3.348514679,4.266633267,5.817981782,0,3.300601202,117.6221534,9.686372745,118.836,278.8461538,0.8,"286,465.06","583,651.19",NA,NA,15.60509554,7.018794
7,146131,Licania_membranacea,Licania,membranacea,Chrysobalanaceae,-1.96636,-1.947395,Paracou,TF,TF,3.268563225,26/10/2020,15,1,824,0.209453203,1.08429038,1.381240312,2.674983894,1.41,49.06,0.181,0.390789188,0.112329958,0.44605,3.757275667,0.098378182,8.848439545,1.354991,5.418967385,4.156261817,6.0781,5.888545818,0,11.16,95.33690909,7.307,124.1807,NA,0.82,"286,386.94","583,719.75",NA,NA,23.08917197,8.124021
9,146342,Hymenopus_heteromorphus,Hymenopus,heteromorphus,Chrysobalanaceae,-1.60236,-1.5978325,Paracou,TF,Generalist,3.377261624,26/10/2020,15,2,84,0.295178617,1.165084157,3.146078157,4.60634093,1.32,51.9,0.185,0.39209709,0.092512446,0.028566434,2.355919747,0.091486695,2.288401144,1.549441558,3.995222162,2.427445205,10.82727273,10.16198383,0,8.336663337,34.20520389,6.545454545,144.5455,144.2307692,0.784,"286,388.16","583,754.25",NA,NA,21.81528662,8.124021
10,146466,Conceveiba_guianensis,Conceveiba,guianensis,Euphorbiaceae,-1.89148,-1.875485,Paracou,TF,Generalist,8.579170143,26/10/2020,15,2,209,0.24928567,0.85303324,2.672860015,3.775178924,1.8,48.32,0.102,0.947070047,0.057415128,0.035364271,1.885005655,0.023431319,5.726985574,0.057426148,7.029907569,1.835903343,10.7740519,1.281991835,0,15.73353293,59.01887135,10.52844311,112.4017,151.5151515,0.812,"286,449.00","583,674.81",NA,NA,16.24203822,7.018794
11,146404,Hymenopus_heteromorphus,Hymenopus,heteromorphus,Chrysobalanaceae,-1.51084,-1.5099425,Paracou,TF,Generalist,3.748175823,26/10/2020,15,2,147,0.470920254,2.204451696,5.382497452,8.057869401,1.38,50.76,0.189,0.431498438,0.21539726,0.04878061,2.920315509,0.208349007,2.781049021,1.697642179,2.293820474,7.751755939,6.23998001,3.145603017,0,4.555222389,33.63509155,10.36431784,117.4948,227.5641026,0.79,"286,420.09","583,725.06",NA,NA,18.94904459,5.708247
