"Code","Genus","Species","Name","Habitat","Type","Forest","Gmin","TLP","LSWC","MajVLA","N","C","P","K","TWI","SD"
2,"Gustavia","hexapetala","Gustavia_hexapetala","TF","TF","Paracou",0.822035947434674,-1.92892,184.2128,4.6839762365,2.3,49.74,0.708380949398798,7.40377493448436,5.82837,192.307692307692
7,"Licania","membranacea","Licania_membranacea","TF","TF","Paracou",3.26856322549238,-1.96636,124.1807,2.6749838935,1.41,49.06,0.3907891875,5.41896738461538,8.124021,NA
13,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Paracou",4.62410905307648,-1.31532,157.8594,4.2742672505,1.88,53.17,0.710109132933533,6.80056710106485,5.708247,NA
14,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Paracou",3.00655978432399,-1.33612,157.9045,4.390480067,2.12,52.4,0.7534641875,6.68896738461539,5.708247,278.846153846154
156,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",1.72846590511377,-2.09948,119.0406,4.527417986,1.12,50.19,0.386825241425242,3.59025010703582,5.588491,298.076923076923
160,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",4.19157732313851,-2.03916,172.1575,4.922137905,1.13,47.68,0.640087066666667,5.61859035714286,8.119463,304.48717948718
166,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",1.44544975458304,-1.83116,133.7578,4.421231839,0.93,53.18,0.378265331998665,2.60894930644931,8.119463,352.564102564103
170,"Iryanthera","sagotiana","Iryanthera_sagotiana","TF","TF","Paracou",1.00698750909141,-1.5982,164.2501,9.1674604675,1.11,48.76,0.584756579826319,6.11582200114515,5.770796,73.7179487179487
175,"Dicorynia","guianensis","Dicorynia_guianensis","TF","TF","Paracou",2.68313164210749,-1.45468,156.9881,5.2293209915,2.36,52.05,1.01559486409872,7.14216143786179,6.838751,NA
140,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",3.85035238455184,-1.95596,121.2291,4.4397771405,1.06,51.46,0.453060536398468,4.43087491968302,7.750878,314.102564102564
184,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",6.34502996639492,-1.88108,116.7065,4.265121341,0.73,46.3,0.387818157587873,6.56530770329121,7.750878,365.384615384615
189,"Virola","michelii","Virola_michelii","TF","Generalist","Paracou",1.69064925119925,-2.05788,124.7359,6.5000923295,1.47,49.01,0.503087066666667,5.01109035714286,6.146863,NA
190,"Virola","michelii","Virola_michelii","TF","Generalist","Paracou",2.92187040932001,-2.04748,130.519,5.896248661,1.44,52.55,0.481868935602269,4.09268304018304,6.146863,NA
191,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",0.888803299525104,-1.86652,140.6373,5.162907154,1.17,56.68,0.432344411077744,3.15399435149435,6.814266,326.923076923077
193,"Virola","michelii","Virola_michelii","TF","Generalist","Paracou",2.45019095151018,-1.7334,147.5944,5.110937381,1.9,50.91,0.579666733400067,4.49333369083369,6.814266,NA
29,"Poraqueiba","guianensis","Poraqueiba_guianensis","TF","TF","Paracou",1.78818898364891,-2.01004,128.2889,4.1672255765,1.12,51.49,0.563746060530265,3.58776126524801,5.543244,391.025641025641
