Code,Genus,Species,Name,Habitat,Type,Forest,Gmin,TLP,LSWC,MajVLA,Nitrogen,Carbon,Phosphorous,Potassium,SD
M2,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Paracou,-0.195971153,-0.656960261,5.216091611,1.544147372,0.832909123,3.906809438,-0.344773266,2.001989996,5.259096653
M7,Licania,membranacea,Licania_membranacea,TF,TF,Paracou,1.184350508,-0.676184118,4.821737763,0.983943359,0.343589704,3.893044039,-0.939587027,1.689905278,NA
M13,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Paracou,1.531283715,-0.274079982,5.061704763,1.452612684,0.631271777,3.973494328,-0.342336612,1.917006006,NA
M14,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Paracou,1.100796496,-0.289769891,5.06199042,1.479438576,0.751416089,3.958906591,-0.28307379,1.90045951,5.63066021
M156,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,0.547234255,-0.741689695,4.779464611,1.510151796,0.113328685,3.915815804,-0.94978226,1.278221868,5.697351584
M160,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,1.433077113,-0.712537958,5.148409755,1.59374297,0.122217633,3.864512023,-0.44615107,1.726080806,5.718628983
M166,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,0.368420522,-0.604949646,4.896030702,1.486418354,-0.072570693,3.973682386,-0.972159393,0.958947576,5.865232457
M170,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Paracou,0.00696321,-0.468877996,5.101390266,2.215660309,0.104360015,3.886910305,-0.536559621,1.810879184,4.300246307
M175,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Paracou,0.986984636,-0.374785945,5.056170006,1.65428144,0.858661619,3.952204795,0.015474514,1.966015453,NA
M140,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,1.348164673,-0.670881122,4.797682144,1.490604182,0.058268908,3.940804807,-0.791729528,1.488597063,5.74971957
M184,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,1.847671824,-0.63184608,4.759662236,1.450470631,-0.314710745,3.835141961,-0.947218715,1.881799377,5.90095054
M189,Virola,michelii,Virola_michelii,TF,TF,Paracou,0.525112627,-0.721676327,4.826198702,1.871816381,0.385262401,3.892024359,-0.686992029,1.611653528,NA
M190,Virola,michelii,Virola_michelii,TF,TF,Paracou,1.072223962,-0.716609769,4.87151881,1.774316329,0.364643114,3.961765097,-0.73008312,1.409200755,NA
M191,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,-0.117879328,-0.624075735,4.946184236,1.641499823,0.157003749,4.037421415,-0.838532761,1.148669698,5.789724904
M193,Virola,michelii,Virola_michelii,TF,TF,Paracou,0.896165961,-0.550084798,4.994467971,1.631382828,0.641853886,3.930059368,-0.545301938,1.502594896,NA
M29,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,0.581203367,-0.698154622,4.854284752,1.427250485,0.113328685,3.941387614,-0.573151376,1.277528405,5.968773136
M30,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,0.822757764,-0.678297467,5.077806596,1.613734413,0.09531018,3.937885665,-0.501759863,1.760263192,5.413247333
M33,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Paracou,0.730710966,-0.659114586,5.417443944,1.634729817,0.463734016,3.921973336,-0.511884813,2.429887984,5.846883318
M50,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Paracou,-0.155182429,-0.769052109,5.083126484,1.703776466,0.542324291,3.853121898,-0.715523033,1.688829535,5.259096653
M51,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Paracou,1.947929785,-0.475364235,5.052418746,1.495994425,0.553885113,3.948162052,-0.728434131,1.266515788,5.354406833
M74,Licania,membranacea,Licania_membranacea,TF,TF,Paracou,1.208664711,-0.671943973,5.061158559,1.382255939,0.223143551,3.910021003,-0.902132654,2.496948216,NA
M88,Virola,michelii,Virola_michelii,TF,TF,Paracou,0.763447182,-0.550084798,5.043618647,2.049012802,0.746687947,3.974622147,-0.387242361,1.756388925,5.607403348
M94,Licania,membranacea,Licania_membranacea,TF,TF,Paracou,1.368027851,-0.652637637,4.977062654,1.58061719,0.559615788,3.858622229,-0.489063697,2.194171357,NA
M96,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Paracou,1.180806526,-0.466271674,5.064426267,2.106333927,0.470003629,3.989169215,-0.192691289,2.293889111,5.096577724
M98,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Paracou,-0.385254947,-0.472774786,5.025615856,2.177562687,0.231111721,3.996180313,-0.461310944,1.981874746,4.775670004
M101,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,0.554485463,-0.7022853,4.922818502,1.896602243,0.113328685,3.945070859,-0.408584697,1.863137744,5.856099973
M106,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Paracou,1.976202907,-0.377641599,5.075530002,1.214353416,0.604315967,3.924346755,-0.728746801,1.632356559,NA
M113,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Paracou,1.690904105,-0.57964248,5.495966684,1.728596455,0.806475866,3.918203865,-0.260156831,2.369080356,5.718628983
M114,Licania,membranacea,Licania_membranacea,TF,TF,Paracou,1.664654971,-0.775777307,4.720808702,1.838795375,0.231111721,3.919792743,-0.937728108,1.711240145,NA
M107,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,1.095414476,-0.617367042,4.864353242,1.485195259,-0.15082289,3.966889907,-0.758454742,1.397396836,5.883250962
M121,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Paracou,0.555666498,-0.393203575,4.989181464,1.67666902,0.31481074,3.96783607,-0.222659351,2.66639302,3.937340813
M129,Virola,michelii,Virola_michelii,TF,TF,Paracou,1.64014604,-0.566744603,4.874964472,1.555319313,0.357674444,3.977436144,-0.695681317,1.629002851,5.323635175
M146,Licania,membranacea,Licania_membranacea,TF,TF,Paracou,1.508713467,-0.640653166,4.698537571,1.959288075,0.19062036,3.918203865,-0.894499723,2.198178606,NA
M151,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Paracou,0.292856184,-0.732733212,5.048713688,1.634469682,-0.051293294,3.770920164,-0.664390512,1.811331736,5.619099387
M153,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Paracou,1.836007266,-0.533142734,4.893848262,1.5952897,0.641853886,3.946037884,-0.585238298,1.703402669,5.90968422
M154,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Paracou,0.489912247,-0.484374867,5.211826581,1.597074886,0.2390169,3.859887251,-0.844999649,0.792938431,4.327538449
B250,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Bafog,0.573338344,-0.577309751,5.280791176,0.93473234,0.727548607,3.888959066,-0.510325499,2.213778497,5.653388461
B251,Virola,michelii,Virola_michelii,TF,TF,Bafog,2.007756344,-0.525793051,5.030577781,1.835811557,0.770108222,3.987130478,-0.381992752,1.217772196,NA
B252,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Bafog,0.316081465,-0.481808675,5.087573495,1.977089511,0.500775288,3.924741778,-0.701070596,1.278586254,5.076775097
B253,Licania,membranacea,Licania_membranacea,TF,TF,Bafog,1.380437996,-0.647207949,5.130431709,2.143324321,0.476234179,3.912822686,-0.89516188,2.439227911,NA
B259,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Bafog,1.486883989,-0.402982028,5.137842229,1.477593878,0.970778917,3.970669201,-0.308384655,1.699811141,5.59556889
B260,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,Bafog,1.148158992,-0.474070349,5.024633527,1.836373668,0.512823626,3.933980173,-0.448567534,2.101494401,5.056572389
B263,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,1.014412229,-0.600395724,4.93922307,1.727536234,0.122217633,3.958715733,-0.682696725,1.259003768,5.534199944
B266,Virola,michelii,Virola_michelii,BF,TF,Bafog,1.190376188,-0.509680969,5.327433352,1.638957256,0.854415328,4.010962953,-0.411243293,1.398531343,5.559201246
B269,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Bafog,2.478979955,-0.245202455,5.061515336,NA,0.854415328,3.971234865,-0.318391076,1.251587955,NA
B271,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Bafog,2.406636953,-0.213787924,4.778567877,1.614542047,1.00063188,3.97518558,-0.162430742,1.725057493,5.969766185
B272,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,1.619124248,-0.695045378,5.032496585,2.085784493,-0.020202707,3.966511191,-0.933093619,0.72079447,5.918342282
B275,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,1.536399583,-0.649383363,5.021659635,1.752670016,0.350656872,3.967646909,-0.67874415,1.049536991,5.259096653
B281,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Bafog,2.127083666,-0.701254229,5.106644018,2.150316347,0.2390169,3.964425684,-0.651505112,1.500937604,5.490370331
B283,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Bafog,1.80313255,-0.422256671,5.21739252,1.466711865,1.071583616,3.954124181,-0.12499649,1.881089705,NA
B284,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,Bafog,1.687881558,-0.374785945,5.055314161,1.45158085,0.989541194,3.961003628,-0.183221512,1.764342241,4.848516445
