idTree,Plot.x,SubPlot.x,BlocsParacou,TreeFieldNum,idTaxon,TaxonConcat,TaxonActu,Clade,Family,BotaSource,BotaCertainty,MaxDeAnnee,Circ,Xutm.x,Yutm.x,PrefHabitat,StudyLevel,DateField.x,Operator,Forest,Plot.y,SubPlot.y,Habitat,Genus.x,Species.x,FieldCode,TreeHeight.x,TreeDawkins.x,BranchHeight.x,BranchDawkins.x,CrownPosition,Comment,Genus.y,Species.y,Gmin,RWC,FvFm,LA,LT,LDMC,CC,Ptlp,SLA,DateField.y,TreeHeight.y,TreeDawkins.y,BranchHeight.y,BranchDawkins.y,DBH,TWI,Xutm.y,Yutm.y
101046,6,1,1,435,3345,Casearia_javitensis,Casearia_javitensis,Rosids,Salicaceae,Bota,4,2019,45.5,286468.96875,583130.8125,TF,tree,2021-09-17T00:00:00Z,FTH,Paracou,6,1,TF,Casearia,javitensis,89,18,3,16,3,Inf,,Casearia,javitensis,1.8739,0.9688608156,821,1.0055385981,200.333333333333,0.545557046066666,647,-2.1012025,2.15416458333333,2021-09-17T00:00:00Z,18,3,16,3,14.4830998213624,1.23532569408416,286468.96875,583130.8125
153081,16,6,4,286,3345,Casearia_javitensis,Casearia_javitensis,Rosids,Salicaceae,Bota,4,2015,62,285132.4375,581572.3125,TF,tree,2021-09-15T00:00:00Z,FTH,Paracou,16,6,TF,Casearia,javitensis,41,10,3,9,4,Inf,,Casearia,javitensis,2.3324,0.9700795354,911,2.31601479166666,155.666666666666,0.600838698433333,651,-1.8814775,2.78868295533333,2021-09-15T00:00:00Z,10,3,9,4,19.735212943395,1.09511733055114,285132.4,581572.3
153081,16,6,4,286,3345,Casearia_javitensis,Casearia_javitensis,Rosids,Salicaceae,Bota,4,2015,62,285132.4375,581572.3125,TF,tree,2021-09-30T00:00:00Z,SS/MB,Paracou,16,6,TF,Casearia,javitensis,97,12,1,11,3,Sup,,Casearia,javitensis,,0.93744804655029,,,,,,-1.8894675,,2021-10-30T00:00:00Z,12,1,11,3,,,,
153135,16,6,4,340,3345,Casearia_javitensis,Casearia_javitensis,Rosids,Salicaceae,Bota,4,2015,52,285154.125,581576.75,TF,tree,2021-09-15T00:00:00Z,FTH,Paracou,16,6,TF,Casearia,javitensis,43,8,2,5,3,Inf,,Casearia,javitensis,3.7115,0.9336265494,923,2.47468280433333,163,0.4861320221,594.333333333333,,3.056162342,2021-09-15T00:00:00Z,8,2,5,3,16.5521140815571,1.63758862018585,285154.1,581576.8
153135,16,6,4,340,3345,Casearia_javitensis,Casearia_javitensis,Rosids,Salicaceae,Bota,4,2015,52,285154.125,581576.75,TF,tree,2021-09-30T00:00:00Z,SS/MB,Paracou,16,6,TF,Casearia,javitensis,96,12,2,8,3,Inf,,Casearia,javitensis,,0.980263157894737,,,,,,-1.7176825,,2021-10-30T00:00:00Z,12,2,8,3,,,,
153190,16,6,4,395,1694,Chrysophyllum_prieurii,Chrysophyllum_prieurii,Asterids,Sapotaceae,Bota,4,2015,84,285181.28125,581533.6875,généraliste,tree,2021-09-15T00:00:00Z,FTH,Paracou,16,6,BF,Chrysophyllum,prieurii,47,30,5,26,3,Inf,,Chrysophyllum,prieurii,1.6375,0.8863554108,915,1.110406992,211.666666666666,0.416417507866666,782,-2.243025,2.30416066533333,2021-09-15T00:00:00Z,30,5,26,3,28.6478897565411,2.46978902816772,285181.3,581533.7
151265,16,3,4,103,1694,Chrysophyllum_prieurii,Chrysophyllum_prieurii,Asterids,Sapotaceae,Bota,4,2015,80,285249.59375,581735.125,généraliste,tree,2021-09-15T00:00:00Z,FTH,Paracou,16,3,BF,Chrysophyllum,prieurii,49,30,4,30,4,Sup,,Chrysophyllum,prieurii,1.5239,0.9327160494,813,2.41509260033333,214,0.457571367,892,-2.4367825,2.20128250166666,2021-09-15T00:00:00Z,30,4,30,4,27.6929600979897,2.48790287971496,285249.59375,581735.125
161595,16,21,4,122,1408,Protium_picramnioides,Protium_stevensonii,Rosids,Burseraceae,Bota,4,2015,83,285192.8125,581269.1875,généraliste,tree,2021-09-16T00:00:00Z,FTH,Paracou,16,21,BF,Protium,stevensonii,63,17,4,15,3,Mid,,Protium,stevensonii,10.5689,0.9787031151,818,0.5101993872,246.666666666666,0.503762917833333,458,-2.5206775,2.038285644,2021-09-16T00:00:00Z,17,4,15,3,26.7380304394384,2.30610275268554,285192.8,581269.2
161595,16,21,4,122,1408,Protium_picramnioides,Protium_stevensonii,Rosids,Burseraceae,Bota,4,2015,83,285192.8125,581269.1875,généraliste,tree,2021-09-30T00:00:00Z,SS/MB,Paracou,16,21,TF,Protium,stevensonii,95,15,3,11,3,Inf,,Protium,stevensonii,,0.968756641870353,,,,,,-2.003325,,2021-10-30T00:00:00Z,15,3,11,3,,,,
205242,16,5,4,2730,4944,Virola_michelii,Virola_michelii,Magnoliids,Myristicaceae,Bota,4,2015,42,285471.4375,581709,généraliste,tree,2021-09-15T00:00:00Z,FTH,Paracou,16,5,BF,Virola,michelii,58,13,2,12,3,Mid,,Virola,michelii,4.7568,0.9420999889,987,1.3177816992,181.333333333333,0.393629734199999,665.333333333333,-2.059255,2.857235733,2021-09-15T00:00:00Z,13,2,12,3,17.8253536262922,2.07482933998107,285477.8,581705.2
159754,16,18,4,77,4944,Virola_michelii,Virola_michelii,Magnoliids,Myristicaceae,Bota,4,2015,63,285357.625,581422.5625,généraliste,tree,2021-09-16T00:00:00Z,FTH,Paracou,16,18,BF,Virola,michelii,69,17,4,14,3,Inf,,Virola,michelii,2.6391,0.9699225277,902,1.07008219406666,151,0.374762752966666,692.333333333333,-1.9573825,3.960686149,2021-09-16T00:00:00Z,17,4,14,3,20.6901426019463,1.99740183353424,285357.6,581422.6
157691,16,14,4,378,4947,Virola_surinamensis,Virola_surinamensis,Magnoliids,Myristicaceae,Bota,4,2015,112,285486.46875,581527.375,BF,tree,2021-09-13T00:00:00Z,FTH,Paracou,16,14,BF,Virola,surinamensis,9,28,4,25,3,Inf,,Virola,surinamensis,3.1355,0.9341644488,803,0.925387331733333,273.333333333333,0.342261636166666,863,-1.6977075,2.65789105233333,2021-09-13T00:00:00Z,28,4,25,3,37.4014116265954,5.44490623474121,285486.5,581527.4
158148,16,15,4,320,4947,Virola_surinamensis,Virola_surinamensis,Magnoliids,Myristicaceae,Bota,4,2015,113,285569.28125,581590.75,BF,tree,2021-09-13T00:00:00Z,FTH,Paracou,16,15,BF,Virola,surinamensis,1,25,5,25,5,Sup,,Virola,surinamensis,2.5967,0.9424366455,690,0.854106325133333,394.333333333333,0.391836691066666,786.333333333333,-1.7836,1.77359214666666,2021-09-13T00:00:00Z,25,5,25,5,40.2662006022495,6.6321849822998,285569.3,581590.8
191854,16,15,4,2727,4947,Virola_surinamensis,Virola_surinamensis,Magnoliids,Myristicaceae,Bota,4,2015,71.5,285566.3125,581602.375,BF,tree,2021-09-13T00:00:00Z,FTH,Paracou,16,15,BF,Virola,surinamensis,3,18,4,18,4,Sup,,Virola,surinamensis,4.5321,1.007667355,822,1.085241368,323.333333333333,0.357460333033333,655.333333333333,-1.67174,2.033693066,2021-09-13T00:00:00Z,18,4,18,4,23.8732414637843,5.74608516693115,285566.3,581602.4
161834,16,21,4,364,4947,Virola_surinamensis,Virola_surinamensis,Magnoliids,Myristicaceae,Bota,4,2015,165,285245.625,581265.6875,BF,tree,2021-09-16T00:00:00Z,FTH,Paracou,16,21,BF,Virola,surinamensis,65,17,4,15,3,Mid,,Virola,surinamensis,2.1679,0.9603218956,767,1.03260783923333,352.666666666666,0.4414930056,734,-1.82355,1.94899403466666,2021-09-16T00:00:00Z,17,4,15,3,55.7042300821633,8.40074443817138,285245.6,581265.7
