Sheets,Headers,Meaning
,,
,,
,,
Metradica,Code,Code of individual
,Genus,Genus
,Species,Species
,Name,Genus_species
,Forest,"Forest (Paracou, Bafog or Kaw)"
,Habitat,where it was collected : TF (Terra firme habitat) or BF ('bas-fond' or in english seasonally flooded habitat)
,Type,habitat affiliation: Metradica project categorization into generalist species or specialist species of either habtiats : TF (Terra firme habitat) or BF ('bas-fond' or in english seasonally flooded habitat)
,HabitatType,"Habitat variable and Type variable combined : Metradica project categorization into generalist species collected in Terra firme habitat TFGeneralist, generalist species collected in seasonally flooded habitat BFGeneralist, specialist species collected in terra firme habitat TFTF, or specialist species collected in seasonally flooded habitat BFBF. "
,Gmin,minimal leaf conductance (mmolH2O.m-2.s-1)
,FvFm,Chlorophyll fluorescence 
,TLP,Turgor loss point (MPa)
,LA,without petiole for vein measurements (cm2)
,SLA,specific leaf area (cm2)
,LSWC,Leaf saturated water content : (SW-DW/ DW)
,FW,fresh weight (g)
,SW,saturated weight (g)
,DW,dry weight (g)
,Midrib VLA,Midrib Vein length per leaf area  : Midrib length / LA (cm.cm-2)
,2VLA,Secundary vein length per leaf area : 2e length / LA (cm.cm-2)
,3VLA,Tertiary vein length per leaf area: ((2e+3e)/tertiary box area ) - 2VLA  (cm.cm-2)
,MajVLA,Major vein length per leaf area aka major vein density : sum of Midrib VLA+ 2VLA+3VLA  (cm.cm-2)
,MidribWidth,Midrib width (cm)
,SecundaryWidth,Secundary width  (cm)
,TreeHeight,Total tree height (m) assesed visually
,TreeDawkins,Tree dawkins index
,BranchHeight,Branch height where sample was collected
,BranchDawkins,Branch dawkins index
,CrownPosition,Crown postition where sample was collected
,LT,Leaf thickness for FTH Paracou only (µm)
,CC,Chlorophyll content  for FTH Paracou only (SPAD unit)
,LDMC,Leaf dry mass content  for FTH Paracou only : leaf dry weight divided by fresh weight (g.g-1)
,Xutm,Xutm position UTM 22N (EPSG : 32 622)
,Yutm,Y utm position UTM 22N (EPSG : 32 622)
,Latitude,"Tree position (WGS 84, EPSG : 4326)"
,Longitude,"Tree position (WGS 84, EPSG : 4326)"
,DBH,Diameter at breast height  for FTH Paracou only
,TWI,Topographic wetness index  for FTH Paracou only calculated using S. Schmitt R script
