Code,idTree,Genus,Species,Name,Forest,Habitat,Type,HabitatType,Gmin,FvFm,TLP,LA,SLA,LSWC,FW,SW,DW,Midrib VLA,2VLA,3VLA,MajVLA,MidribWidth,SecundaryWidth,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,LT,CC,LDMC,Xutm,Yutm,Latitude,Longitude,DBH,TWI
1,145493,Iryanthera,hostmannii,Iryanthera_hostmannii,Paracou,BF,BF,BFBF,1.12970896,0.786,-1.56787,49.55910417,98.99940904,1.523371954,1.268,1.2632,0.5006,0.311734,1.732026,3.895902,5.939662,0.0358525,0.01218083,12,4,10,4,Sup,,,,"286,315.69","583,636.63",5.277200222,-52.92810059,,
2,147663,Gustavia,hexapetala,Gustavia_hexapetala,Paracou,TF,TF,TFTF,0.82042309,0.797,-1.91144,53.79393611,115.8602975,1.842127935,1.293,1.3196,0.4643,0.294205,1.128749,3.261022,4.683976,0.060093333,0.02693667,11,2,9,2,Sup,,,,"286,347.38","583,537.88",5.276299953,-52.92779922,,
3,147783,Iryanthera,hostmannii,Iryanthera_hostmannii,Paracou,BF,BF,BFBF,0.93382346,0.807,-1.4859725,45.27519028,129.6540386,1.502863688,0.8775,0.874,0.3492,0.302326,1.43987,4.639537,6.381733,0.032543333,0.0171825,12,2,13,3,Sup,,,,"286,328.34","583,621.81",5.277100086,-52.9280014,,
4,147625,Tachigali,melinonii,Tachigali_melinonii,Paracou,TF,Generalist,TFGeneralist,2.89926808,0.84,-1.87149,10.77581944,89.20380335,1.118377483,0.258,0.2559,0.1208,0.54657,2.538922,4.256713,7.342205,0.0275925,0.01261,33,5,23,4,Mid,,,,"286,332.56","583,578.50",,,,
5,148586,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Paracou,TF,Generalist,TFGeneralist,1.67448445,0.773,-2.5845975,33.90810278,63.41519128,1.100430148,1.0868,1.1231,0.5347,0.333429,1.076098,5.69287,7.102397,0.153161667,0.01679917,24,4,21,4,Sup,,,,"286,440.63","583,568.25",,,,
6,149072,Conceveiba,guianensis,Conceveiba_guianensis,Paracou,TF,Generalist,TFGeneralist,6.0751148,0.8,-1.7256725,70.34390833,69.62675278,1.188359893,2.1958,2.2109,1.0103,0.21896,0.836178,2.235224,3.290362,0.077824167,0.02913917,15,2,14,3,Sup,,,,"286,465.06","583,651.19",,,,
7,146131,Licania,membranacea,Licania_membranacea,Paracou,TF,TF,TFTF,3.26507633,0.82,-1.947395,40.56281667,75.10241931,1.241807073,1.1904,1.2108,0.5401,0.209453,1.08429,1.38124,2.674984,0.042574167,0.01759083,20,4,15,2,Inf,,,,"286,386.94","583,719.75",,,,
8,149660,Iryanthera,hostmannii,Iryanthera_hostmannii,Paracou,BF,BF,BFBF,1.06601059,0.76,-1.63978,26.57938056,39.90298837,1.181204023,1.4512,1.4529,0.6661,0.404034,1.83408,3.445755,5.68387,0.025008333,0.00997167,12,2,11,3,Sup,,,,"286,539.41","583,624.56",,,,
9,146342,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Paracou,TF,Generalist,TFGeneralist,7.48926982,0.784,-1.5978325,30.42738611,106.3894619,1.445454545,0.6882,0.6994,0.286,0.295179,1.165084,3.146078,4.606341,0.046965833,0.01029583,20,4,18,3,Inf,,,,"286,388.16","583,754.25",,,,
10,146466,Conceveiba,guianensis,Conceveiba_guianensis,Paracou,TF,Generalist,TFGeneralist,8.59268521,0.812,-1.875485,43.07095694,39.83256908,1.124017386,2.2606,2.2967,1.0813,0.249286,0.853033,2.67286,3.775179,0.06884,0.01630417,18,3,16,3,Sup,,,,"286,449.00","583,674.81",,,,
11,146404,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Paracou,TF,Generalist,TFGeneralist,3.56584523,0.79,-1.5099425,15.09324444,105.6210248,1.174947516,0.3067,0.3108,0.1429,0.47092,2.204452,5.382497,8.057869,0.0230775,0.01143583,22,2,18,3,Inf,,,,"286,420.09","583,725.06",,,,
12,148074,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Paracou,TF,Generalist,TFGeneralist,3.14565442,0.794,,23.60600417,168.2537717,1.695652174,0.3729,0.3782,0.1403,0.354821,1.452424,3.834046,5.641291,0.041305833,0.01318833,28,5,26,5,Sup,,,,"286,384.66","583,588.06",,,,
13,146431,Dicorynia,guianensis,Dicorynia_guianensis,Paracou,TF,TF,TFTF,4.61810991,0.814,-1.3221775,48.69007778,72.68260603,1.57859382,1.7078,1.7274,0.6699,0.239989,1.500403,2.533875,4.274267,0.022950833,0.01933417,32,5,26,3,Mid,,,,"286,427.44","583,696.19",,,,
14,146475,Dicorynia,guianensis,Dicorynia_guianensis,Paracou,TF,TF,TFTF,3.0056386,0.818,-1.3421525,32.4115375,50.23486903,1.579045257,1.6266,1.664,0.6452,0.311392,1.660684,2.418405,4.39048,0.02077,0.00987667,30,4,24,2,Mid,,,,"286,447.97","583,684.31",,,,
15,147620,Casearia,javitensis,Casearia_javitensis,Paracou,TF,TF,TFTF,2.22251253,0.797,-2.0252975,97.38743333,96.55704277,1.039658933,2.0018,2.0572,1.0086,0.195772,0.799828,2.285322,3.280922,0.095035,0.04026417,10,3,10,3,Sup,,,,"286,328.66","583,584.06",,,,
16,148282,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Paracou,TF,Generalist,TFGeneralist,2.11940104,0.747,-1.53591,37.27067778,33.56509166,1.425612392,2.6112,2.6934,1.1104,0.26132,1.216714,4.355341,5.833375,0.040420833,0.01307,17,3,17,3,Mid,,,,"286,400.97","583,597.13",,,,
