"","Code","idTree","Name","Genus","Species","Family","ptlp_Bartlett2012","ptlp_Marechaux2016","Name_Site","Habitat","Type","gmin","DateField","Plot","SubPlot","FieldNbr","midribVLA","SecondaryVLA","TertiaryVLA","MajVLA","%N","%C","%S","P (g/kg)","Fe (g/kg)","Mn (g/kg)","Mg (g/kg)","Al (g/kg)","Ca (g/kg)","Na (g/kg)","K (g/kg)","Cr (mg/kg)","Cu (mg/kg)","Ni (mg/kg)","Pb (mg/kg)","Rb (mg/kg)","Sr (mg/kg)","Zn (mg/kg)","LSWC","SD","fvfm"
"1","M1","145493","Iryanthera_hostmannii","Iryanthera","hostmannii","Myristicaceae",-1.57116,-1.56787,"Paracou","BF","BF",1.12698960793513,"26/10/2020","15","1","182",0.311733524,1.7320258115,3.895902389,5.9396617245,1.43,53.62,0.11,0.887238664829659,0.0708717017368069,0.125250501002004,2.05839245156981,0.035068318455092,3.58686327199854,0.0486382765531062,11.196360104825,5.63156160654643,13.6679358717435,5.06342266350884,0,74.8997995991984,41.1341774458007,22.6548096192385,152.3372,227.564102564103,0.786
"2","M2","147663","Gustavia_hexapetala","Gustavia","hexapetala","Lecythidaceae",-1.92892,-1.91144,"Paracou","TF","TF",0.822035947434674,"26/10/2020","15","3","178",0.294204748,1.1287494745,3.261022014,4.6839762365,2.3,49.74,0.245,0.708380949398798,0.131167292919172,0.0207765531062124,8.15107782231129,0.103435051922026,6.68180315175806,1.37774649298597,7.40377493448436,5.41419353707415,8.57775551102205,4.67284150118419,0,30.3481963927856,175.738385862634,19.4584168336673,184.2128,192.307692307692,0.797
"3","M3","147783","Iryanthera_hostmannii","Iryanthera","hostmannii","Myristicaceae",-1.48588,-1.4859725,"Paracou","BF","BF",0.935228521230671,"26/10/2020","15","3","298",0.302325974,1.4398700035,4.6395366135,6.3817325905,1.54,53.56,0.112,0.934496939030485,0.0702448359153757,0.11504247876062,2.16419356988173,0.0370246694834401,3.06090909090909,0.0560629685157421,11.3932707492408,5.47529416958188,9.55332333833084,3.82643759938213,0,41.0944527736132,47.0159011403389,21.3888055972014,150.2864,198.717948717949,0.807
"4","M4","147625","Tachigali_melinonii","Tachigali","melinonii","Fabaceae",-1.88732,-1.87149,"Paracou","TF","Generalist",2.26409975129416,"26/10/2020","15","3","140",0.5465697765,2.538922392,4.256712641,7.34220481,2.36,52.29,0.093,0.672119947604791,0.114251455422488,0.18373253493014,1.51823918829009,0.0499782253674469,2.58202549446561,0.426587824351297,6.53589559342853,6.10207766134398,10.8913173652695,5.84655271275631,0,23.3433133732535,18.4949192524043,13.5673652694611,111.8377,294.871794871795,0.84
"5","M5","148586","Chrysophyllum_prieurii","Chrysophyllum","prieurii","Sapotaceae",-2.62988,-2.5845975,"Paracou","TF","Generalist",1.67508092464401,"26/10/2020","15","3","1103",0.333429075,1.076097558,5.692870441,7.1023970735,1.68,53.59,0.081,0.606448067331671,0.322847838736492,0.014997506234414,0.885063009143807,0.0727463160281116,3.74732124234867,0.779043391521197,8.18849614425475,5.88387213632585,10.8385037406484,6.2318162774881,0,15.5062344139651,50.7600090682385,7.02194513715711,110.043,NA,0.773
"6","M6","149072","Conceveiba_guianensis","Conceveiba","guianensis","Euphorbiaceae",-1.73548,-1.7256725,"Paracou","TF","Generalist",6.04636243863351,"26/10/2020","15","4","369",0.218959948,0.836178098,2.2352241165,3.290362163,1.38,49.44,0.082,0.513491169839679,0.184974908149633,0.0608717434869739,3.22823213092852,0.175429039897978,9.45234423392239,0.268728456913828,2.48894527516572,3.34851467935872,4.26663326653307,5.81798178174531,0,3.30060120240481,117.622153397705,9.68637274549098,118.836,278.846153846154,0.8
"7","M7","146131","Licania_membranacea","Licania","membranacea","Chrysobalanaceae",-1.96636,-1.947395,"Paracou","TF","TF",3.26856322549238,"26/10/2020","15","1","824",0.2094532025,1.0842903795,1.3812403115,2.6749838935,1.41,49.06,0.181,0.3907891875,0.112329958333333,0.44605,3.75727566666667,0.0983781818181818,8.84843954545455,1.354991,5.41896738461538,4.15626181666667,6.0781,5.88854581818182,0,11.16,95.3369090909091,7.307,124.1807,NA,0.82
"8","M9","146342","Hymenopus_heteromorphus","Hymenopus","heteromorphus","Chrysobalanaceae",-1.60236,-1.5978325,"Paracou","TF","Generalist",3.3772616241762,"26/10/2020","15","2","84",0.2951786165,1.1650841565,3.146078157,4.60634093,1.32,51.9,0.185,0.39209709040959,0.0925124458874459,0.0285664335664336,2.35591974691975,0.0914866951230588,2.28840114431024,1.54944155844156,3.99522216245293,2.42744520479521,10.8272727272727,10.1619838343475,0,8.33666333666334,34.2052038870221,6.54545454545455,144.5455,144.230769230769,0.784
"9","M10","146466","Conceveiba_guianensis","Conceveiba","guianensis","Euphorbiaceae",-1.89148,-1.875485,"Paracou","TF","Generalist",8.57917014259307,"26/10/2020","15","2","209",0.24928567,0.85303324,2.6728600145,3.775178924,1.8,48.32,0.102,0.94707004740519,0.057415128077179,0.0353642714570858,1.88500565535595,0.0234313191798222,5.72698557430593,0.0574261477045908,7.02990756947643,1.83590334331337,10.7740518962076,1.28199183451279,0,15.7335329341317,59.0188713482127,10.5284431137725,112.4017,151.515151515152,0.812
"10","M11","146404","Hymenopus_heteromorphus","Hymenopus","heteromorphus","Chrysobalanaceae",-1.51084,-1.5099425,"Paracou","TF","Generalist",3.74817582317171,"26/10/2020","15","2","147",0.4709202535,2.2044516955,5.382497452,8.057869401,1.38,50.76,0.189,0.43149843828086,0.215397259703482,0.0487806096951524,2.92031550891221,0.208349007314525,2.78104902094407,1.69764217891054,2.2938204743782,7.75175593869732,6.239980009995,3.14560301667348,0,4.5552223888056,33.6350915451365,10.3643178410795,117.4948,227.564102564103,0.79
