fid,Plot,idPlot,idTopo,TypeTopo,TypeTopoEN,NUMPOINTS
"1","13","913","37",BasFond,Bottomland,1
"2","1","91","2",BasFond,Bottomland,4
"3","2","92","5",BasFond,Bottomland,0
"4","3","93","8",BasFond,Bottomland,0
"5","4","94","10",BasFond,Bottomland,0
"6","5","95","14",BasFond,Bottomland,0
"7","7","97","19",BasFond,Bottomland,0
"8","8","98","23",BasFond,Bottomland,0
"9","9","99","26",BasFond,Bottomland,0
"10","10","910","29",BasFond,Bottomland,0
"11","12","912","35",BasFond,Bottomland,0
"12","16","916","46",BasFond,Bottomland,31
"13","6","96","16",BasFond,Bottomland,7
"14","14","914","41",BasFond,Bottomland,9
"15","15","915","45",BasFond,Bottomland,1
"16","11","911","33",BasFond,Bottomland,1
