"","Pouteria_rodriguesiana","Iryanthera_sagotiana","Licania_canescens","Poraqueiba_guianensis","Eschweilera_coriacea","Stryphnodendron_polystachyum","Bocoa_prouacensis","Gustavia_hexapetala","Eschweilera_decolorans","Eperua_falcata","Vouacapoua_americana","Oenocarpus_bataua var. bataua","Pourouma_minor","Inga_huberi","Protium_sagotianum","Dicorynia_guianensis","Pouteria_gonggrijpii","Diospyros_capreifolia","Aspidosperma_excelsum","Inga_rubiginosa","Ptychopetalum_olacoides","Virola_michelii","Oenocarpus_bacaba","Swartzia_arborescens","Rhodostemonodaphne_grandis","Cordia_sagotii","Tachigali_paraensis","Melicoccus_pedicellaris","Ocotea_oblonga","Sterculia_pruriens","Licaria_martiniana","Lecythis_idatimon","Chrysophyllum_sanguinolentum","Ocotea_floribunda","Pourouma_villosa","Qualea_rosea","Mabea_piriri","Inga_alba","Lecythis_poiteaui","Ambelania_acida","Protium_decandrum","Casearia_javitensis","Carapa_surinamensis","Eschweilera_grandiflora","Laetia_procera","Unonopsis_rufescens","Goupia_glabra","Siparuna_decipiens","Caryocar_glabrum","Licania_majuscula","Tachigali_melinonii","Parahancornia_fasciculata","Conceveiba_guianensis","Guatteria_wachenheimii","Hebepetalum_humiriifolium","Micropholis_melinoniana","Inga_capitata","Couratari_oblongifolia","Protium_stevensonii","Diospyros_carbonaria","Brosimum_rubescens","Talisia_hexaphylla","Chrysophyllum_argenteum","Dendrobangia_boliviana","Thyrsodium_puberulum","Garcinia_madruno","Iryanthera_hostmannii","Sextonia_rubra","Protium_apiculatum","Minquartia_guianensis","Swartzia_polyphylla","Licania_membranacea","Neocalyptrocalyx_maroniensis","Sacoglottis_guianensis","Catostemma_fragrans","Oxandra_asbeckii","Fusaea_longifolia","Anacardium_spruceanum","Guarea_guidonia","Trichilia_schomburgkii","Glycydendron_amazonicum","Licaria_cannella","Protium_trifoliolatum","Brosimum_guianense","Inga_cylindrica","Theobroma_guianense","Cecropia_obtusa","Inga_sarmentosa","Talisia_simaboides","Couepia_caryophylloides","Dussia_discolor","Quiina_obovata","Hymenopus_heteromorphus","Pourouma_melinonii","Inga_melinonii","Drypetes_variabilis","Trattinnickia_rhoifolia","Hirtella_bicornis var. bicornis","Ocotea_percurrens","Symphonia_sp.1","Inga_pezizifera","Trymatococcus_oligandrus","Eschweilera_micrantha","Rinorea_flavescens","Astrocaryum_sciophilum","Protium_guianense","Zygia_racemosa","Xylopia_nitida","Guatteria_schomburgkiana","Simarouba_amara","Licania_alba","Thyrsodium_spruceanum","Ecclinusa_guianensis","Maquira_guianensis","Licania_ovalifolia","Pouteria_torta","Pouteria_hispida","Virola_kwatae","Licania_micrantha","Cupania_scrobiculata","Bagassa_guianensis","Pouteria_jariensis","Albizia_pedicellaris","Aniba_taubertiana","Neea_floribunda","Pradosia_cochlearia","Monteverdia_oblongata","Hirtella_glandulosa","Ocotea_argyrophylla","Helicostylis_pedunculata","Sterculia_speciosa","Dipteryx_odorata","Chrysophyllum_prieurii","Aspidosperma_album","Symplocos_martinicensis","Protium_tenuifolium","Abarema_jupunba var. jupunba","Pouteria_ambelaniifolia","Platymiscium_pinnatum","Helicostylis_tomentosa","Couma_guianensis","Himatanthus_articulatus","Hieronyma_alchorneoides","Thyrsodium_guianense","Terminalia_amazonia","Chaunochiton_kappleri","Trattinnickia_demerarae","Moronobea_coccinea","Swartzia_panacoco var. panacoco","Lecythis_zabucajo","Chimarrhis_turbinata","Pterocarpus_officinalis","Symphonia_globulifera","Pradosia_ptychandra","Eschweilera_sagotiana","Vantanea_parviflora","Manilkara_bidentata","Licaria_chrysophylla","Cecropia_sciadophylla","Enterolobium_schomburgkii","Didymopanax_decaphyllus","Micropholis_egensis","Pouteria_singularis","Tapirira_guianensis","Croton_matourensis","Virola_surinamensis","Ruizterania_albiflora","Antonia_ovata","Brosimum_parinarioides","Byrsonima_densa","Protium_surinamense","Homalolepis_cedron","Lueheopsis_rugosa","Tachigali_paniculata","Pouteria_guianensis","Parkia_pendula","Diplotropis_purpurea","Ocotea_tomentella","Bellucia_arborescens","Tovomita_longifolia","Paypayrola_guianensis","Handroanthus_serratifolius","Tabernaemontana_attenuata","Parkia_velutina","Brosimum_acutifolium","Socratea_exorrhiza","Mouriri_crassifolia","Mouriri_nigra","Erisma_uncinatum","Ocotea_guianensis","Hymenaea_courbaril","Peltogyne_venosa","Pterocarpus_rohrii","Paramachaerium_ormosioides","Pourouma_guianensis","Apeiba_glabra","Parkia_nitida","Amaioua_guianensis","Tapura_guianensis","Protium_altissimum","Pseudopiptadenia_suaveolens","Pouteria_melanopoda","Pourouma_mollis","Palicourea_guianensis","Lecythis_chartacea","Couratari_guianensis","Hymenolobium_flavum","Annona_exsucca","Ormosia_coccinea","Platonia_insignis","Chaetocarpus_schomburgkianus","Macoubea_guianensis","Duroia_aquatica","Duguetia_calycina","Inga_paraensis","Geissospermum_laeve","Ocotea_nigra","Dialium_guianense","Chrysophyllum_cuneifolium","Trichilia_micrantha","Micropholis_venulosa","Eriotheca_longitubulosa","Eschweilera_pedicellata","Talisia_praealta","Tapirira_obtusa","Tachigali_richardiana","Swartzia_grandifolia","Cheiloclinium_cognatum","Posoqueria_latifolia","Touroulia_guianensis","Lacmellea_aculeata","Andira_coriacea","Recordoxylon_speciosum","Drypetes_fanshawei","Apeiba_petoumo","Vataireopsis_surinamensis","Inga_gracilifolia","Quararibea_duckei","Guarea_silvatica","Leonia_glycycarpa","Inga_longipedunculata","Ocotea_cinerea","Psychotria_ficigemma","Pseudopiptadenia_psilostachya","Osteophloeum_platyspermum","Manilkara_huberi","Eschweilera_chartaceifolia","Micropholis_cayennensis","Rhodostemonodaphne_rufovirgata","Abarema_curvicarpa","Eschweilera_simiorum","Swartzia_canescens","Ecclinusa_ramiflora","Pouteria_engleri","Virola_multicostata","Andira_surinamensis","Vouarana_guianensis","Inga_stipularis","Handroanthus_impetiginosus","Couratari_multiflora","Sterculia_frondosa","Vatairea_erythrocarpa","Coussapoa_angustifolia","Tabernaemontana_undulata","Guatteria_punctata","Lueheopsis_rosea","Homalolepis_morettii","Psidium_striatulum","Himatanthus_bracteatus","Tachigali_sp.B","Prunus_accumulans","Casearia_commersoniana","Agonandra_silvatica","Euplassa_pinnata","Chrysophyllum_eximium","Matayba_arborescens","Xylopia_surinamensis","Micropholis_longipedicellata","Protium_subserratum","Miconia_punctata","Simaba_polyphylla","Dacryodes_nitens","Heisteria_densifrons","Catostemma_commune","Pouteria_decorticans","Dacryodes_cuspidata","Naucleopsis_guianensis","Chrysophyllum_pomiferum","Sloanea_brevipes","Pouteria_flavilatex"
"11",0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
