"","sp_1","sp_2","sp_3","sp_4","sp_5","sp_6","sp_7","sp_8","sp_9","sp_10","sp_11","sp_12","sp_13","sp_14","sp_15","sp_16","sp_17","sp_18","sp_19","sp_20","sp_21","sp_22"
"11",1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1
"12",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"15",1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
"21",0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"22",0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"23",0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"24",0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"26",0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"31",1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"32",1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1
"33",1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1
"34",1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1
"35",0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"36",0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"41",1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"42",1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1
"43",1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0
"51",1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0
"52",1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"53",1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"71",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0
"1001",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
"1101",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
"1102",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
"1103",1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1
"1104",1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0
"1105",1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1
"1201",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1301",1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
"1401",1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
"1501",1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
"1502",1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
